content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
小时候在这部与小樱中选择了看小樱(,5,不过不失,20h 13m  ago,绳梦,3128,数码宝贝大冒险,92,8.3
童年,10,超神作,1d  ago,夏凪,3128,数码宝贝大冒险,92,8.3
第一部，童年,10,超神作,2026-4-9 22:02,uru_official,3128,数码宝贝大冒险,92,8.3
之前看还不觉得奇怪，现在才感觉这进化的太猎奇的，有种家电冰箱拿着加特林的感觉,7,推荐,2026-4-6 01:09,Hout ZhuoSi,3128,数码宝贝大冒险,92,8.3
爱守TV，启动！,0,未评分,2026-4-1 12:37,恋文,3128,数码宝贝大冒险,92,8.3
太光！！！成年后才看 感觉亏了好几个亿 人设很多都很讨喜！！！哪怕是亚麻头（,8,力荐,2026-3-23 11:09,ald,3128,数码宝贝大冒险,92,8.3
补标，经典~,8,力荐,2026-3-22 15:28,毕方,3128,数码宝贝大冒险,92,8.3
童年,8,力荐,2026-3-16 00:51,在世界中心呼喚愛的野獸 ..,3128,数码宝贝大冒险,92,8.3
补标 童年回忆 梦想成为被选召的孩子,10,超神作,2026-3-10 08:43,奈芙莲,3128,数码宝贝大冒险,92,8.3
童年回忆！,10,超神作,2026-3-2 00:33,黑丝傲娇远坂凛,3128,数码宝贝大冒险,92,8.3
【8】，童年回忆，神,8,力荐,2026-2-28 21:33,樱姬花吹雪,3128,数码宝贝大冒险,92,8.3
童年神作,10,超神作,2026-2-20 23:36,unhappy马希洛,3128,数码宝贝大冒险,92,8.3
补，童年回忆,7,推荐,2026-2-6 17:22,蚂蚁下树,3128,数码宝贝大冒险,92,8.3
永远难忘的童年回忆，子供向动画的天花板,10,超神作,2026-2-2 20:50,小黑鸡,3128,数码宝贝大冒险,92,8.3
無限大な夢のあとの~,8,力荐,2026-2-1 19:29,Ancoruza,3128,数码宝贝大冒险,92,8.3
永远的童年,9,神作,2026-1-29 20:46,茜夏,3128,数码宝贝大冒险,92,8.3
看数码宝贝是童年很幸福的时光呢,10,超神作,2026-1-25 17:50,你笑一笑我会很高兴的 ( *,3128,数码宝贝大冒险,92,8.3
补标，这么多年居然没标,8,力荐,2026-1-24 21:40,Hiumi,3128,数码宝贝大冒险,92,8.3
"2017-02-05 标记
与童年情怀无关，勇气、友情、爱心、知识、诚实、纯真、希望、光明，为八位主角贴上标签使形象鲜明的同时，却又通过他们各自的家庭背景来使人物丰满，再加上非常优秀的故事节奏，放到现在也绝对是不错的群像剧",8,力荐,2026-1-7 12:07,躁动的U型锁,3128,数码宝贝大冒险,92,8.3
童年回忆，第一部看完的日配动画,8,力荐,2026-1-7 01:33,sora,3128,数码宝贝大冒险,92,8.3
我的童年值得满分,10,超神作,2026-1-5 10:20,kita,3128,数码宝贝大冒险,92,8.3
童年经典,9,神作,2026-1-3 01:25,Fasir,3128,数码宝贝大冒险,92,8.3
童年神作,9,神作,2025-12-29 10:14,专业炒鸡蛋,3128,数码宝贝大冒险,92,8.3
火箭队，补个标,6,还行,2025-12-28 19:09,loveanime,3128,数码宝贝大冒险,92,8.3
童年回忆这一块，还是太给力了,9,神作,2025-12-27 02:47,dntcm,3128,数码宝贝大冒险,92,8.3
補標/突然聊起小時候看的阿尼妹，然後想起沒標。小時候我爸媽不想理我就在電腦下好digimon叫我自己坐在電腦前看，我還真看的津津有味。小時候看最後的離別看哭了，長大後被那幾個傻逼劇場版坑哭了,0,未评分,2025-12-20 02:18,界FFLLOW,3128,数码宝贝大冒险,92,8.3
经典+情怀,7,推荐,2025-12-19 19:40,咖喱,3128,数码宝贝大冒险,92,8.3
想重温了。,0,未评分,2025-12-17 19:10,Chan,3128,数码宝贝大冒险,92,8.3
小时候的童年情怀,9,神作,2025-12-10 16:08,记得请我干饭,3128,数码宝贝大冒险,92,8.3
童年回忆，无需多言,9,神作,2025-12-8 08:11,Nijūplusone,3128,数码宝贝大冒险,92,8.3
真·童年,8,力荐,2025-12-8 02:07,SSSSSSako,3128,数码宝贝大冒险,92,8.3
抛去童年滤镜来看的话，还是存有不少瑕疵的一作，但毕竟人终究还是无法以绝对客观的视角来品味作品，在看着本作的同时，我也在看着十余年前那个纯真的自己。,8,力荐,2025-12-7 22:36,流朔,3128,数码宝贝大冒险,92,8.3
补标2019再看一遍，童年回忆比起童年滤镜更多的是制作，还能看见早期的徳本善信,10,超神作,2025-12-7 09:55,終末停滞委員会21,3128,数码宝贝大冒险,92,8.3
无法忽略的情怀,9,神作,2025-12-6 01:28,净陌,3128,数码宝贝大冒险,92,8.3
小时候看这集被收回召唤其了,9,神作,2025-12-5 22:24,xLnnnnn,3128,数码宝贝大冒险,92,8.3
补标,0,未评分,2025-11-29 22:55,槍鋼鋼的凰華,3128,数码宝贝大冒险,92,8.3
