content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
哦卡哇伊口头,8,力荐,1h 26m  ago,nagisa,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
去其糟粕取其精华的完美诠释,10,超神作,1h 55m  ago,BlueberryChoco,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
一种慷慨的喜剧，一种黏着而不自信的关系,6,还行,8h 47m  ago,芝麻,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
"A1NB
赤坂明跪下",8,力荐,13h 11m  ago,BKCPT,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
一如既往,8,力荐,18h 24m  ago,失败主义观察员,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
好看,8,力荐,23h 8m  ago,杨,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
永远可以相信A1！,9,神作,23h 45m  ago,Roxy,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
看结尾应该是给完结篇铺垫的 期待期待,7,推荐,1d 7h ago,灰色序章,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
A1 牛逼,9,神作,1d 8h ago,dianlunite,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
给我甜蒙了,8,力荐,1d 13h ago,是鸭不是nga,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
赤坂明你去给A1辉夜组磕一辈子头去吧，你何德何能啊，得到如此用心如此饱含着爱的改编 // 言过了，希望大赤老师能好好和制作组一起打磨一下原创完结篇吧（但愿）。总之我是没想到辉夜能一路改编到结局的，更没有想到能改得这么好，当初深夜追连载、水贴吧的那些时光还历历在目，当然也包含后来在财阀篇失望退坑……百感交集啊看到这样的改编,9,神作,1d 18h ago,风居住的街道,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
谢谢你A1。,7,推荐,1d 21h ago,木目,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
非常好改编,8,力荐,1d 22h ago,q,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
笨蛋情侣，青春真美好啊,7,推荐,1d 22h ago,鲸落,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
最爱的恋爱喜剧结束了呜呜，辉夜会长99,8,力荐,2d 2h ago,🍁HouUshin.n,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
拿一血时的前后剧情处理得很自然?,7,推荐,2d 16h ago,鲜葱团子,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
居然还是得手了吗，岂可修?,8,力荐,2d 19h ago,咻期,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
没有辜负我的期待，小情侣日常真不错，前戏详细到我都希望能做成里番了哈哈哈，其他桥段也不错，期待完结篇！,9,神作,2d 21h ago,nocedjames,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
太好看了，辉夜去会长家那一段笑得我肚子疼,8,力荐,2026-4-10 13:17,大畏高怕飞,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
我想起那天下午夕阳下的奔跑，那是我逝去的青春,9,神作,2026-4-10 00:44,acshen123,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
再见了，永远的炒面和摄影师,8,力荐,2026-4-9 22:02,Zerco,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
sbcbm,8,力荐,2026-4-9 13:14,陈蔚蓝cwleste,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
平稳落地是“辉夜”这部作品最好的结局！,8,力荐,2026-4-9 00:07,叉烧酱.zZ,565802,辉夜大小姐想让我告白 通往大人的阶梯,96,8.3
