subject_id,name,name_original,rank,score,vote_count
326,攻壳机动队 S.A.C. 2nd GIG,攻殻機動隊 S.A.C. 2nd GIG,1,9.2,9709
876,CLANNAD 〜AFTER STORY〜,,2,9.2,30434
25961,猫和老鼠,Tom and Jerry,3,9.1,13671
253,星际牛仔,カウボーイビバップ,4,9.1,18945
324,攻壳机动队 STAND ALONE COMPLEX,攻殻機動隊 STAND ALONE COMPLEX,5,9.1,11091
1728,浪客剑心 追忆篇,るろうに剣心 -明治剣客浪漫譚- 追憶編,6,8.9,9320
6049,新世纪福音战士剧场版 Air/真心为你,新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,7,8.9,21142
10380,命运石之门,STEINS;GATE,8,8.8,38876
237,攻壳机动队,GHOST IN THE SHELL / 攻殻機動隊,9,8.8,12377
211567,3月的狮子 第二季,3月のライオン 第2シリーズ,10,8.8,10248
1428,钢之炼金术师 FULLMETAL ALCHEMIST,鋼の錬金術師 FULLMETAL ALCHEMIST,11,8.8,24110
321,机动警察剧场版2 和平保卫战,機動警察パトレイバー 2 the Movie,12,8.8,3884
839,蓝色恐惧,PERFECT BLUE,13,8.7,11027
110467,白箱,SHIROBAKO,14,8.7,22606
3375,凉宫春日的消失,涼宮ハルヒの消失,15,8.7,23762
263750,进击的巨人 第三季 Part.2,進撃の巨人 Season 3 Part.2,16,8.7,22428
2907,银河英雄传说,銀河英雄伝説,17,8.7,2835
840,千年女优,千年女優,18,8.7,12517
11834,银魂',銀魂',19,8.7,13391
265,新世纪福音战士,新世紀エヴァンゲリオン,20,8.7,33125
238,攻壳机动队2 无罪,イノセンス,21,8.7,7975
340,虫师,蟲師,22,8.7,11557
247,银魂,銀魂,23,8.7,13537
93739,乒乓,ピンポン THE ANIMATION,24,8.7,16806
1270,水星领航员 第三季,ARIA The ORIGINATION,25,8.7,2801
37460,哆啦A梦 大山版,ドラえもん,26,8.7,3166
216371,莉兹与青鸟,リズと青い鳥,27,8.6,19495
311,千与千寻,千と千尋の神隠し,28,8.6,26497
1608,灌篮高手,スラムダンク,29,8.6,9243
1015,机动战士高达0080 口袋里的战争,機動戦士ガンダム0080 ポケットの中の戦争,30,8.6,5782
67753,明日之丈2,あしたのジョー2,31,8.7,850
1962,大闹天宫,大闹天宫,32,8.6,5617
4019,四叠半神话大系,四畳半神話大系,33,8.6,14969
9717,魔法少女小圆,魔法少女まどか☆マギカ,34,8.6,37357
44693,剧场版 魔法少女小圆 [新篇] 叛逆的物语,劇場版 魔法少女まどか☆マギカ [新編] 叛逆の物語,35,8.6,17174
106207,虫师 续章 第2部分,蟲師 続章 第2クール,36,8.6,4271
518519,航海王：粉丝来信,ONE PIECE FAN LETTER,37,8.6,4028
770,天元突破 红莲螺岩,天元突破グレンラガン,38,8.5,16059
254,混沌武士,サムライチャンプルー,39,8.5,10862
400602,葬送的芙莉莲,葬送のフリーレン,40,8.5,34334
325285,奇巧计程车,オッドタクシー,41,8.5,20889
294135,剧场版 少女☆歌剧 Revue Starlight,劇場版 少女☆歌劇 レヴュースタァライト,42,8.5,10684
9622,机动战士Z高达,機動戦士Ζガンダム,43,8.5,5123
18692,哆啦A梦,ドラえもん,44,8.5,5886
146457,瑞克和莫蒂 第三季,Rick and Morty Season 3,45,8.5,5209
92705,虫师 续章,蟲師 続章,46,8.5,4713
298,天空之城,天空の城ラピュタ,47,8.5,15041
4583,机动战士高达 逆袭的夏亚,機動戦士ガンダム 逆襲のシャア,48,8.5,4958
9912,日常,日常,49,8.5,24767
39923,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,REVIVAL OF EVANGELION 新世紀エヴァンゲリオン劇場版 DEATH (TRUE)² / Air / まごころを、君に,50,8.5,8370
152091,吹响吧！上低音号 第二季,響け！ユーフォニアム2,51,8.5,17389
841,红辣椒,パプリカ,52,8.5,12769
132373,猫的协奏曲,The Cat Concerto,53,8.5,1159
848,蜂蜜与四叶草II,ハチミツとクローバー II,54,8.5,4388
1333,剧场版 空之境界 第五章 矛盾螺旋,劇場版 空の境界 第五章 矛盾螺旋,55,8.4,12089
3774,轻音少女 第二季,けいおん！！,56,8.4,23984
3302,福音战士新剧场版：破,ヱヴァンゲリヲン新劇場版:破,57,8.4,17571
1453,少女革命,少女革命ウテナ,58,8.4,5467
93377,瑞克和莫蒂 第一季,Rick and Morty Season 1,59,8.4,6087
1704,猎人,HUNTER×HUNTER,60,8.4,5624
173849,排球少年 乌野高校 VS 白鸟泽学园高校,ハイキュー!! 烏野高校 VS 白鳥沢学園高校,61,8.4,6461
847,蜂蜜与四叶草,ハチミツとクローバー,62,8.4,5662
141530,瑞克和莫蒂 第二季,Rick and Morty Season 2,63,8.4,5011
1671,化物语,化物語,64,8.4,24193
1773,死亡笔记,DEATH NOTE,65,8.4,24702
493016,异国日记,違国日記,66,8.4,5404
10291,攻壳机动队2.0,GHOST IN THE SHELL / 攻殻機動隊2.0,67,8.4,2928
12426,轻音少女 剧场版,映画けいおん！,68,8.4,16107
335036,英雄联盟：双城之战,Arcane,69,8.4,11748
