rank,subject_id,name,name_original,score,vote_count,comment_count,status
1,326,攻壳机动队 S.A.C. 2nd GIG,攻殻機動隊 S.A.C. 2nd GIG,9.2,9709,0,无评论
2,876,CLANNAD 〜AFTER STORY〜,,9.2,30434,0,无评论
3,25961,猫和老鼠,Tom and Jerry,9.1,13671,0,无评论
4,253,星际牛仔,カウボーイビバップ,9.1,18945,0,无评论
5,324,攻壳机动队 STAND ALONE COMPLEX,攻殻機動隊 STAND ALONE COMPLEX,9.1,11091,0,无评论
6,1728,浪客剑心 追忆篇,るろうに剣心 -明治剣客浪漫譚- 追憶編,8.9,9320,0,无评论
7,6049,新世纪福音战士剧场版 Air/真心为你,新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,8.9,21142,0,无评论
8,10380,命运石之门,STEINS;GATE,8.8,38876,0,无评论
9,237,攻壳机动队,GHOST IN THE SHELL / 攻殻機動隊,8.8,12377,0,无评论
10,211567,3月的狮子 第二季,3月のライオン 第2シリーズ,8.8,10248,0,无评论
11,1428,钢之炼金术师 FULLMETAL ALCHEMIST,鋼の錬金術師 FULLMETAL ALCHEMIST,8.8,24110,0,无评论
12,321,机动警察剧场版2 和平保卫战,機動警察パトレイバー 2 the Movie,8.8,3884,0,无评论
13,839,蓝色恐惧,PERFECT BLUE,8.7,11027,0,无评论
14,110467,白箱,SHIROBAKO,8.7,22606,0,无评论
15,3375,凉宫春日的消失,涼宮ハルヒの消失,8.7,23762,0,无评论
16,263750,进击的巨人 第三季 Part.2,進撃の巨人 Season 3 Part.2,8.7,22428,0,无评论
17,2907,银河英雄传说,銀河英雄伝説,8.7,2835,0,无评论
18,840,千年女优,千年女優,8.7,12517,0,无评论
19,11834,银魂',銀魂',8.7,13391,0,无评论
20,265,新世纪福音战士,新世紀エヴァンゲリオン,8.7,33125,0,无评论
21,238,攻壳机动队2 无罪,イノセンス,8.7,7975,0,无评论
22,340,虫师,蟲師,8.7,11557,0,无评论
23,247,银魂,銀魂,8.7,13537,0,无评论
24,93739,乒乓,ピンポン THE ANIMATION,8.7,16806,0,无评论
25,1270,水星领航员 第三季,ARIA The ORIGINATION,8.7,2801,0,无评论
26,37460,哆啦A梦 大山版,ドラえもん,8.7,3166,0,无评论
27,216371,莉兹与青鸟,リズと青い鳥,8.6,19495,0,无评论
28,311,千与千寻,千と千尋の神隠し,8.6,26497,0,无评论
29,1608,灌篮高手,スラムダンク,8.6,9243,0,无评论
30,1015,机动战士高达0080 口袋里的战争,機動戦士ガンダム0080 ポケットの中の戦争,8.6,5782,0,无评论
31,67753,明日之丈2,あしたのジョー2,8.7,850,0,无评论
32,1962,大闹天宫,大闹天宫,8.6,5617,0,无评论
33,4019,四叠半神话大系,四畳半神話大系,8.6,14969,0,无评论
34,9717,魔法少女小圆,魔法少女まどか☆マギカ,8.6,37357,0,无评论
35,44693,剧场版 魔法少女小圆 [新篇] 叛逆的物语,劇場版 魔法少女まどか☆マギカ [新編] 叛逆の物語,8.6,17174,0,无评论
36,106207,虫师 续章 第2部分,蟲師 続章 第2クール,8.6,4271,0,无评论
37,518519,航海王：粉丝来信,ONE PIECE FAN LETTER,8.6,4028,0,无评论
38,770,天元突破 红莲螺岩,天元突破グレンラガン,8.5,16059,0,无评论
39,254,混沌武士,サムライチャンプルー,8.5,10862,0,无评论
40,400602,葬送的芙莉莲,葬送のフリーレン,8.5,34333,0,无评论
41,325285,奇巧计程车,オッドタクシー,8.5,20889,0,无评论
42,294135,剧场版 少女☆歌剧 Revue Starlight,劇場版 少女☆歌劇 レヴュースタァライト,8.5,10684,0,无评论
43,9622,机动战士Z高达,機動戦士Ζガンダム,8.5,5123,0,无评论
44,18692,哆啦A梦,ドラえもん,8.5,5886,0,无评论
45,146457,瑞克和莫蒂 第三季,Rick and Morty Season 3,8.5,5209,0,无评论
46,92705,虫师 续章,蟲師 続章,8.5,4713,0,无评论
47,298,天空之城,天空の城ラピュタ,8.5,15041,0,无评论
48,4583,机动战士高达 逆袭的夏亚,機動戦士ガンダム 逆襲のシャア,8.5,4958,0,无评论
49,9912,日常,日常,8.5,24767,0,无评论
50,39923,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,REVIVAL OF EVANGELION 新世紀エヴァンゲリオン劇場版 DEATH (TRUE)² / Air / まごころを、君に,8.5,8370,0,无评论
51,152091,吹响吧！上低音号 第二季,響け！ユーフォニアム2,8.5,17389,0,无评论
52,841,红辣椒,パプリカ,8.5,12769,0,无评论
