content,rate,rate_label,time,user_name,subject_id,anime_title
其实这一部还可以吧好像。？（看反了先看的母鸡卡导致剧情全记混了）但是也是神人扎堆。咕咕嘎嘎,7,推荐,5h 11m  ago,日刀昭,428735,mygo
"2026年5月4日二刷。
一瞬一瞬，累积起来就是一辈子。
语言无法传达，就用歌声吧。
国内太急于清算了。真的是好东西。
我就是喜欢看屁大点事闹麻了的作品，反正我的人生也是屁大点事闹麻了。


期待后续祥子角色的发展。
变有钱真给我听哭了，。",9,神作,1d 15h ago,OwnedByLola,428735,mygo
mygo其实是一部不把观众当低龄，同时也会回应观众的期待的动画，前期有克制的埋暗线，能让观众产生一些怀疑，soyo是不是别有用心，同时也怀疑是不是自己想复杂了，最终也回应了观众期待，这其实是很有满足感的观影体验,8,力荐,1d 23h ago,。。口,428735,mygo
前所未有的追番体验，最乐队的一集（）,9,神作,2d 3h ago,benshuaizi,428735,mygo
爆点之所以是爆点，就是因为剧情和人物塑造里存在经不起推敲的部分。个人并不排斥羊的配音和演唱，然而比起一众少女乐队番来说，综合素质并不能算上乘。,7,推荐,2026-5-2 23:46,狗头鸵鸟,428735,mygo
歌好听，很多地方少女的情感也很细腻，但是问题也不少，有些地方的剧情很抽象,7,推荐,2026-5-2 11:20,npk,428735,mygo
确实是有点神在身上的，身为一部少女乐队番，一开始就以矛盾开局，以矛盾为剧情推进，而不是以往的合家欢，光这一点就算是开创先河，其中更是爆典无数，属于是新时代少女乐队番的开拓者，说白了这才是乐队的真实形态。可惜梗小鬼太多，作品以外实在是神人太多。,9,神作,2026-5-2 10:41,B小町大队长,428735,mygo
"(评价时尚未观看mujika)
较好的3d观感，出色的live表现力，极为复杂、立体的角色设计成就了这部番。但为后续mujika的剧情拓展(?)留出空间，却从叙事节奏与观感上严重拖累了mygo的剧情节奏与角色塑造。
虽然先出现问题、然后解决问题、最后包饺子，是这类作品的公式与底层逻辑。但番中大量与mygo成员的超过必要层次的互动，长期用与c团成员的关系作为问题发起角度与剧情推进者，从仅mygo本身的视角来看过于刻意，同一个问题纠结过久显得扭扭捏捏。更严重的问题在于，纠结的纠葛在c团成员间，讲的却是mygo的故事，产生了微妙的割裂与未完成感。提出的是c团中的问题，最后却在mygo中解决并包饺子，c团的问题就被有意无意的忽视了，结局饺子也就显得包得刻意。",7,推荐,2026-5-2 03:34,vapourbun,428735,mygo
一般吧，看的出来有爆火的点，但不值得,6,还行,2026-5-2 03:20,Noah,428735,mygo
纯压力。,6,还行,2026-5-2 02:28,玉团,428735,mygo
哈哈哈哈哈哈哈哈哈,10,超神作,2026-4-30 23:33,你的问题就是这里啦 ...,428735,mygo
当时追着看的，很有意思的追番体验所以加了分，作品9分,10,超神作,2026-4-30 20:49,Hoshiro,428735,mygo
对不起，我无法忘记Mygo,9,神作,2026-4-30 20:26,一凉同学,428735,mygo
"二次元小时代,但是木柜子乐队好看",7,推荐,2026-4-29 23:08,就爱看番,428735,mygo
没必要有第13集，但是羊姐唱歌还不赖,8,力荐,2026-4-29 22:11,大老师,428735,mygo
追着看的时候其实只是觉得还挺好看，但是后续二创的浪潮裹挟着我冲向了大少女乐队时代，至今仍沉迷其中无法自拔，我想我永远都无法忘记那个夏天吧,9,神作,2026-4-29 19:20,konoDIOdadada,428735,mygo
切割mujica，切割bangdream，化吾为王。,10,超神作,2026-4-29 19:10,魔飯,428735,mygo
二次元小时代，你劝我不看。,7,推荐,2026-4-29 05:17,希瓦汗国,428735,mygo
7.5 剧情很赶，,7,推荐,2026-4-28 00:00,可可,428735,mygo
给予了我一定的启发,9,神作,2026-4-27 12:42,凌壹,428735,mygo
只是类型不合适,0,未评分,2026-4-26 22:59,喵呜,428735,mygo
"用极其大胆的方式来描绘乐队中的个个人物，让人物看起来极其写实。
3D作画有点不习惯，声优声音也有点奇怪，需要前一两集适应",8,力荐,2026-4-26 09:51,一个-地球人,428735,mygo
一直听说mygo很闹麻 全篇看完感觉最后不也包饺子了 应该不会往下看了 对少女乐队没太大兴趣 但mygo的3d镜头运用确实有一手,6,还行,2026-4-26 09:31,Mr.Sleep,428735,mygo
反正就是第十集呗，要是一集没讲完放到两集里这片就惨了，有这场live在，前面后面驴唇马嘴自有道理。祥子听说live上多说话有奇效于是想出了ave mujica？mygo不光关系不好，战力削弱到得靠鼓手作曲，麻弥这么长时间都没说作一回。,7,推荐,2026-4-25 19:48,ハローチープヲ,428735,mygo
gogogo 扭曲 美味,8,力荐,2026-4-25 15:59,一只大植物,428735,mygo
情感细腻，剧情节奏舒适，有活有乐子有感动的非常不错的少女乐队，为什么要奏响春日影!.jpg，可惜摊上了母鸡卡这样的续作，在母鸡卡里毁掉了Mygo建立起的人设，虽然很想切割，但还是降一星给到七吧,6,还行,2026-4-25 12:09,醒冬,428735,mygo
木柜子乐队有点儿意思，看完魔怔了，二创也不错,9,神作,2026-4-24 17:48,洞爷湖,428735,mygo
年代最佳。,8,力荐,2026-4-24 12:15,莱可鹅杰德,428735,mygo
剧情回想起来感觉本质闹麻，母鸡卡看完后更是奇异搞笑地拉高了这种闹麻，想搞现实的就整点无所吊谓的要素弄人物上，然而人物的问题完全没那么严重，也不是没有乐队就无解的问题，没看见乐队的重要性在哪，导致乐队本身也是非常无所吊谓，还有羊这个唱功真的难崩给我笑晕了，导致mygo的歌也不耐听,6,还行,2026-4-23 19:49,张茬dirtea,428735,mygo
再来一季吧，我什么都会做的，不要用mujica恶心我口牙,8,力荐,2026-4-23 09:22,Yukino,428735,mygo
二创多而好,9,神作,2026-4-22 19:32,锦绣山河,428735,mygo
mygo我一直觉得没那么好，就像惊世一跪我也没觉得祥子说得有那么错....但沾上母鸡卡之后，总觉得一切的评价都失去了意义。整体合格5分，加1分给爱音。,6,还行,2026-4-22 13:40,冬临鱿鱼子,428735,mygo
没什么要演奏春日影！,7,推荐,2026-4-21 23:46,湛对穿,428735,mygo
追番的时候忐忐忑忑，第十集的处理实在不能赞同而弃了，没想到后来能掀起这么大波澜,0,未评分,2026-4-21 23:39,意象的形象,428735,mygo
咕咕嘎嘎saki酱,6,还行,2026-4-21 10:24,penguin,428735,mygo
"从世音的“中门对夹”到春日影的爆火，再到邦邦的翻红，mygo成功让番剧进入了少女乐队的时代。与传统乐队番相比mygo没有相遇--热血--克服困难--成功圆梦的老套剧情，上来就是乐队解散，感情破裂，全员心理创伤，没有天才，没有主角光环，没有完美人设，每个人都很拧巴，很自卑，带着伤痛，逃避现实。这恰好映射了现代世界的你我，孤独、自卑、找不到归属、害怕被抛弃、沉迷于过去。春物里面平冢静对大老师说的：“人只要存在自身，就会在不知不觉中伤害到谁......与人扯上关联就会受伤，但不与人关联也会让人受伤.....”人和人就是会互相伤害，但也只能靠彼此取暖。
一群残缺的人，用音乐拼出一个勉强完整的自己，用音乐表达自己内心的声音。我们都会迷路，但就算迷路我们也要放声呐喊！
我大概一辈子也不会忘记mygo了。",9,神作,2026-4-21 00:57,timefail,428735,mygo
3 7 10挺能调动情绪的，喜欢mujica的live演出,8,力荐,2026-4-20 19:37,地图上のkagami,428735,mygo
这下是真的忘不了mygo了（），是谁在26年还在痛惜自己看了mygo后就期待mujica然后一直追了下去,7,推荐,2026-4-19 18:43,1232,428735,mygo
给二次元男大一点类小时代厕纸震撼,6,还行,2026-4-19 12:49,Aoyama丶uuz,428735,mygo
看过很多梗，终于把动画本体给补完了，的确还行，故事讲的很波澜起伏。,10,超神作,2026-4-18 20:23,文科,428735,mygo
过于难忘的7月,7,推荐,2026-4-18 12:32,绳梦,428735,mygo
……,0,未评分,2026-4-18 00:05,070918yu,428735,mygo
引发我很深的情感共鸣了,10,超神作,2026-4-17 21:50,hahaha,428735,mygo
