content,rate,rate_label,time,user_name,subject_id,anime_title
不是贬义，但无论是故事、人物本身，还是大段的类似舞台剧式让人尴尬得起鸡皮疙瘩的独白，都非常的低龄，不是一个适合高龄二次元欣赏的动画。,6,还行,1h 54m  ago,kyonkoo,100444,四月是你的谎言
极其优秀的配乐，每年四月都想重新看一遍，每一次看都想哭出来,9,神作,2h 43m  ago,白石真绪,100444,四月是你的谎言
"果然是花江，跟佐仓一样有股味辨识度很高。//作为不大感冒的校园恋爱，能让我几乎无尿点的连续看完几集，对我来说已经能说明制作之精良，叙事节奏之强了。配乐也是过程中肉耳可听出来的出色。
//但果然还是不太喜欢用并不搞笑的Q版片段打破沉重氛围的手法，但往后可能是我逐渐习惯了，也可能是剧情的展开和对人物性格的逐渐熟悉赋予了其强颜欢笑的色彩。//虽然无论是暴力还是逼男主去揭伤疤本作都有自知之明，不过前期也确实影响了观感。//母亲线没能和解，不过其他配角的文戏佳回不少。女主线对早就知道的女主的事的铺垫和处理自然也挺自然的。//观完难说很喜欢哪个角色，可能还是更喜欢大和抚子型，但果然有德彪西月光都是良作。",7,推荐,3h 13m  ago,Monaka2671,100444,四月是你的谎言
看完好像没有那么大的感觉...可能是不对我胃口，不过这种girl save boy的剧情还是会渴望有。但看的时候很难代入，因为知道这不是一部单纯“服务型”的番剧，不是那种后宫番一样的对废柴男主谄媚，而是彼此之间有血有肉的，但也就是这样，当想给这部番剧视作一部立体的、优秀的动画去对待的时候，却无法放空大脑想着如此闪闪发光的宫园薰会来拯救有马公生了，因为题材更贴近真实，无法让我相信。那也只能只是将其当做一个童话般的故事。哎，如果隔壁的Darling in the FranXX，能拿到这么优秀和平稳的制作，那我觉得真的可以配为神作。因为像是战斗题材的世界观+自由、放荡不羁的Zero Two，那么可以因为一眼之缘而对男主好，但是就四慌的设定来说，确实最后看到结局时，也为觉得公生感到失落，但未能达到我的“催泪”标准,6,还行,9h 34m  ago,Frisk,100444,四月是你的谎言
可惜看的时候还年轻，很多事没有什么理解,8,力荐,9h 40m  ago,海的味道鬼知道,100444,四月是你的谎言
音乐和画面的配合是四谎最打动我的地方，除了横山克超级顶的配乐以外OP和ED也很给力,9,神作,11h 8m  ago,Thousands,100444,四月是你的谎言
每年四月都会想起你,7,推荐,1d 5h ago,泣鸯,100444,四月是你的谎言
最后来看此谎言成为本作最无趣的部分了，它当然不只是当作一个谜底，而是其影响着公生对于熏反反复复的情感纠结之中，由于生活在母亲逝去的痛苦阴影，自卑此前人们对其的批判，这些往前还好，可之后却又与渡比较下的外貌性格上的自卑，仅仅看见其二者聊天便退缩，而实际上渡这个角色是相当空洞，除了足球比赛落选外几乎只作用于当喜剧作料，这不仅明眼人都看的出虚假，作为观众也感受不到这位角色的魅力在哪（工具人坐死）。不过这倒好，促使椿打出满级苦味败犬伤害好棒（划去）。但总体的观感扫去重复的上述演绎与相座兄妹回外还是挺不错的，制作优秀是一方面，而在其之上的音乐部分真是本作的精髓。几场古典乐演奏情绪上的反转与对决、夜幕下，椿的角色曲随着月光的哼唱展开、最终回肖邦的浪漫风叙一的告别叙事、以及横山克的优质配乐都组成了本作温柔行进感的氛围。再回来看时，四谎仍然是用音乐触动人心的优秀作品,7,推荐,2d 4h ago,HuoHuan9,100444,四月是你的谎言
"补录。
当一个人刚开始看番的时候，他会不停地去回头补各种作品。只要是口碑好的都会去看，逐渐就会找到自己的喜好。而这部有其特殊性，我和那谁的爱好是一样的，我甚至害怕看到悲剧。",7,推荐,2d 8h ago,半分星,100444,四月是你的谎言
只能说还行，故事有一定的趣味性，但是男女主之间的相互救赎在我看来有一点俗套，人物塑造只能说一般般，这部作品我认为音乐最大的看点。,7,推荐,2026-5-2 16:29,海底银月光,100444,四月是你的谎言
