content,rate,rate_label,time,user_name,subject_id,anime_title
11话8分,6,还行,1h 24m  ago,可可,454684,颂乐人偶
4分纯属铁血木柜子闹麻了，歌好听，剧情反向神，以及看木柜子天天炎上有意思，给个及格分没问题,6,还行,20h 31m  ago,B小町大队长,454684,颂乐人偶
猜不透剧情的走向，感觉很荒谬,5,不过不失,20h 58m  ago,大老师,454684,颂乐人偶
年轻人的第一部反诈宣传动画（）,4,较差,20h 59m  ago,懒馒头片,454684,颂乐人偶
26年回来补番，当初看到第五集就气晕不看了，现在再回来看其实还行，当初气晕我的也是喵梦，这喵梦就是纯处，到最后连句道歉也没有，好像根本自己没责任一样，海玲也是纯被天意侵蚀了我看，莫名其妙的开始信赖复读，然后初华更是纯的像串，结果没想到祥子和睦的剧情写的反而是比较完整的，但睦最后的状态也没讲明白。总结下来就是大喵纯出，但她自己的逻辑是通顺的，祥子纯糯，但逻辑也是通畅的，睦是精神病没办法，海玲和初华就是天意侵蚀了,7,推荐,21h 31m  ago,苏芙笨比,454684,颂乐人偶
软弱的我已经死了。,8,力荐,1d 4h ago,肾不吱,454684,颂乐人偶
看了Mygo就不得不吃的史。人物全是货真价实的精神病，最后一集的大转变更是令人昏厥。三分全部给歌好听。看Mygo的爆典至少会觉得好笑，母鸡卡的爆让我的血压一集更比一集高。,3,差,1d 20h ago,狗头鸵鸟,454684,颂乐人偶
从大炒作到大崩坏不过两月不到的时间，戏外比戏内精彩太多。,4,较差,1d 23h ago,诺德0737,454684,颂乐人偶
真服了，并不是乐队番，不是人格分裂胜似人格分裂。,5,不过不失,2d 3h ago,玉团,454684,颂乐人偶
好的时候够不到最好，烂的时候也够不到最烂，简称：一事无成,4,较差,2d 9h ago,young_pigoeon2,454684,颂乐人偶
该怎么说，一集一集追下来作为原创那乐子是量大管饱，剧情逻辑嘛，你都看到11集了你说还在乎个什么逻辑,2,很差,2d 23h ago,Bax,454684,颂乐人偶
包饺砸！,2,很差,2026-5-1 11:00,homo芹菜田,454684,颂乐人偶
难绷,3,差,2026-4-30 23:38,你的问题就是这里啦 ...,454684,颂乐人偶
【D】补标，大烂尾时代的又一力作。炒作、热度与噱头，充分践行着剧内人的“商业化”乐队进阶方针，在此基础上不断毁灭Mygo里那些令人坚信的事物。独具形式感的演出，歌唱所带来的情感力量，以及角色言语间隙所产生的另一种联结，在Ave Mujica里我宁可希望它们能荡然无存，但是不，柿本广大最终将这些手段彻底背离成它们曾经所代表的反面（喜欢我人格分裂、家族财阀、近亲伦理、悼明小团体、烤羊时刻与独角小剧场的点子吗），也顺带把前作一同拉下水（刻骨铭心烂作的必备项）。最后一集好歹能聚焦于纯粹的舞台演奏，在自我催眠的前提下总算能收获一些本应值得双向奔赴的狂欢。,1,不忍直视,2026-4-30 16:27,思路乐悲,454684,颂乐人偶
全员神人，如果每集都像最后一集一样是纯live就好了,4,较差,2026-4-29 17:24,konoDIOdadada,454684,颂乐人偶
虽然但是，感谢有你的陪伴，渡过了我最难熬的一个学期,6,还行,2026-4-29 08:33,超高校级的草履虫,454684,颂乐人偶
我喜欢千早爱音她是我妈,10,超神作,2026-4-29 03:26,ZmjbkkAsuka,454684,颂乐人偶
柿本根本就不懂AveMujica，比较失望吧,4,较差,2026-4-28 22:25,迷你大锅饭,454684,颂乐人偶
有点神秘的走势,4,较差,2026-4-28 16:41,GoForceX,454684,颂乐人偶
神人剧情，歌好听，还是听歌吧,4,较差,2026-4-27 16:44,lvt,454684,颂乐人偶
烂炒出来的只会是一坨,1,不忍直视,2026-4-27 13:39,凌壹,454684,颂乐人偶
初华大人太权威了，剧情有点颠，但是架不住真的有意思啊，而且社区讨论度拉满，这既是原创番的魅力吧最后一集母鸡卡两首歌唱完感觉已经被救赎了，前面的大粪什么的都无所谓了吧,7,推荐,2026-4-27 00:28,湛对穿,454684,颂乐人偶
人类？,3,差,2026-4-26 21:29,鱼鱼鱼,454684,颂乐人偶
分數全給最後一集,8,力荐,2026-4-26 13:05,SummerDays06,454684,颂乐人偶
构石,2,很差,2026-4-26 10:33,tz,454684,颂乐人偶
你就说看着乐不乐吧,6,还行,2026-4-25 20:22,猹无此猹,454684,颂乐人偶
其实真还行，和水母比的话...,6,还行,2026-4-25 17:35,Megumin,454684,颂乐人偶
柿本广大老冯飞天,2,很差,2026-4-25 16:42,一只大植物,454684,颂乐人偶
柿本广大我阐述你的梦,1,不忍直视,2026-4-25 13:23,atdax,454684,颂乐人偶
相当有乐子的少女乐队番，情节魔幻神人辈出，作为Mygo的续作相当不合格，本来要给一星的，不过看在全网二创热潮给我提供了很多乐子的份上给个两星,2,很差,2026-4-25 12:01,醒冬,454684,颂乐人偶
纳尼，情报是真的，假药成真了,4,较差,2026-4-25 08:57,春日,454684,颂乐人偶
要是能穿越回24年底第一件事就是把想追mujica的自己的手打断,4,较差,2026-4-25 08:46,1232,454684,颂乐人偶
让你炒作完了,3,差,2026-4-25 04:59,千代田 桃,454684,颂乐人偶
从没有一个番给我这么多乐子，仿佛在看曼联，唯一一个每周准时追的动画，看完动画再看B站，贴吧，消磨了不少时间啊,8,力荐,2026-4-24 17:51,洞爷湖,454684,颂乐人偶
bro以为自己是狄斯比斯。一年以来完全没有看这部是正确的。,0,未评分,2026-4-24 00:20,Fe芒什,454684,颂乐人偶
平心而论啊，不去考虑逻辑，就作为一个乐子番来说演出效果还是挺好的。烂番也有高低贵贱，怎么说都不该跟京吹3坐一桌，毕竟一个看着恶心，一个看着乐笑了。//收回前言，第十回看反胃了，虽说商业作品多少都含有媚俗的成分，但像这样一部纯粹为了媚俗而生的作品也是商业作中的神人了，就像是吃了全是调味料的预制菜，一点食材都没有，纯是味精。要说最近有什么作品能匹敌本作的kitsch程度，我觉得只有狒狒食肆7.0了。,3,差,2026-4-22 23:06,Multidimensional,454684,颂乐人偶
这是一部毫无疑问的 大粪,3,差,2026-4-22 21:56,CNutopia,454684,颂乐人偶
蓝毛蹦出的那句所以我要成为神明真的有人类能绷住吗？,4,较差,2026-4-22 21:02,天西贤治,454684,颂乐人偶
比某些里番好看啊，一直整活，抱着吃瓜心态看，我都笑得合不起来嘴，“打起来” 最喜欢看女人吵架了。,4,较差,2026-4-22 18:47,BGMを持参する,454684,颂乐人偶
真人乐队演唱会放原片会被观众嘘的含金量......,2,很差,2026-4-22 13:37,冬临鱿鱼子,454684,颂乐人偶
够颠，好久没见过这么纯发病的剧情了,9,神作,2026-4-22 11:40,Yukino,454684,颂乐人偶
闹麻了,2,很差,2026-4-21 23:18,Reina,454684,颂乐人偶
我去妈妈这个好难看。,4,较差,2026-4-21 21:33,媛嬡！,454684,颂乐人偶
没什么好说的，第7集已经过半了，能保下限就不错了,4,较差,2026-4-21 10:40,谨慎咔嚓君,454684,颂乐人偶
我觉得这个评价确实属实，但比mygo强,5,不过不失,2026-4-21 10:24,penguin,454684,颂乐人偶
這導演可以把MYGO!!!!!努力經營了人物設定，用個3集就可以全部毀面了唷。導演的小腦袋可不可以不要干涉綾奈由仁子老師。請換我綾奈由仁子老師,1,不忍直视,2026-4-20 21:39,Balance_Boy,454684,颂乐人偶
"能赤！
看到最后一集稍微有点释怀了，原来我看的是少女乐队番?",5,不过不失,2026-4-19 13:42,弗洛Ger,454684,颂乐人偶
先给个 4 吧（,4,较差,2026-4-19 09:15,Asimov_Solensan,454684,颂乐人偶
MYGO还真就是那个昙花一现了,6,还行,2026-4-19 02:36,°Ciel,454684,颂乐人偶
烧脑大作+爆点拉满+音乐这块给上最高评价，特别喜欢Imprisoned XII。/看到去年看了一半躺电脑里就补了，认真来讲不知道怎么说这个作品，就是不知道好在哪里也不知道烂在哪里，可能就是中期后期叙事和定位混乱了吧，人设被为了制造爆点带着走的感觉。/总结，我不无聊就OK了,5,不过不失,2026-4-18 18:51,未来永远,454684,颂乐人偶
神他媽牛逼,2,很差,2026-4-18 10:05,鹿戮鹿,454684,颂乐人偶
saki酱orz,4,较差,2026-4-18 10:05,绵绵,454684,颂乐人偶
垃圾,3,差,2026-4-18 01:19,070918yu,454684,颂乐人偶
非人哉,2,很差,2026-4-18 00:43,Hasegawa,454684,颂乐人偶
搞笑呢，毁角色，要不是歌好听，4分都没有,4,较差,2026-4-17 21:53,hahaha,454684,颂乐人偶
开创扭曲乐队先河，是比较符合现在人精神状态的。睦片段脑内剧场的形式很不错，氛围感强，是独属于动画的表现形式。后期乏力，无论人物间关系亦或故事发展逻辑，最后一集全程live颇为新颖，歌曲很好。,5,不过不失,2026-4-17 18:00,黑田空辰,454684,颂乐人偶
时至今日看到简中互联网还能有一群对祥神进行癔症式脑补解读和激情反黑的xz，就不得不感叹现在二刺猿里对角色塑造的认知差不多是皮套狗级别。建议持续产出母鸡卡和超时空辉夜姬这种东西，让低智群体边流口水边写万字初中小作文论证各种精神病和脸谱美少女是文娱作品里深度最嗯的角色,1,不忍直视,2026-4-17 16:19,Aumkt,454684,颂乐人偶
期待下一季(*^o^*),6,还行,2026-4-16 22:32,Othunus111,454684,颂乐人偶
