content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
"我花了八个小时过不去的第一楼，这动画只花了八分钟。

你们都说zack是老公，你不知道我一个直男玩ray被这个死男人砍死了多少次。",2018-07-08 01:40:37,71944,595,人生是勇敢者的游戏,6,0,26273789,1,Kill me... please.,Angels of Death
哈哈哈哈哈哈哈哈哈哈哈,2018-07-08 01:41:09,1676,0,跪求骰娘大成功,6,1,26273789,1,Kill me... please.,Angels of Death
噗哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈嗝,2018-07-08 01:41:41,1051,0,月亮鹄,6,1,26273789,1,Kill me... please.,Angels of Death
哈哈哈哈,2018-07-08 01:45:29,444,0,超级无敌二次元男,5,1,26273789,1,Kill me... please.,Angels of Death
哈哈哈哈,2018-07-08 01:48:03,283,0,海橖丶未眠,6,1,26273789,1,Kill me... please.,Angels of Death
哈哈哈哈,2018-07-08 01:50:32,210,0,佐手集鼬手涯,6,1,26273789,1,Kill me... please.,Angels of Death
emm 我十几分钟就过了（￣▽￣）,2018-07-08 01:57:13,397,0,珂珂_0v0,6,1,26273789,1,Kill me... please.,Angels of Death
哈哈哈哈,2018-07-08 02:38:18,108,0,糖衣炮弹MAX,6,1,26273789,1,Kill me... please.,Angels of Death
哈哈哈哈哈哈哈哈,2018-07-08 03:05:25,69,0,蓝莓酱最棒了啊,5,1,26273789,1,Kill me... please.,Angels of Death
哈哈哈哈哈哈饿,2018-07-08 08:12:48,56,0,彩布里,5,1,26273789,1,Kill me... please.,Angels of Death
哈哈哈哈哈哈,2018-07-08 18:30:18,40,0,哒哒么哩,6,1,26273789,1,Kill me... please.,Angels of Death
惨死辣,2018-07-08 18:56:15,52,0,白玉Yuri,6,1,26273789,1,Kill me... please.,Angels of Death
红红火火恍恍惚惚,2018-07-09 10:08:17,39,0,未小央央,6,1,26273789,1,Kill me... please.,Angels of Death
死男人哈哈哈哈镰刀警告,2018-07-09 16:31:54,1428,0,酥离_,6,1,26273789,1,Kill me... please.,Angels of Death
哈哈哈哈哈噗哈哈哈,2018-07-09 16:52:47,41,0,zs11,6,1,26273789,1,Kill me... please.,Angels of Death
哈哈哈哈哈哈哈哈哈哈哈哈加油,2018-07-10 23:18:20,31,0,我天呢我吃一口,6,1,26273789,1,Kill me... please.,Angels of Death
哈哈哈哈哈哈,2018-07-13 21:48:31,24,0,Archiv7773,6,1,26273789,1,Kill me... please.,Angels of Death
回复 @佐手集鼬手涯 :,2018-07-17 13:04:51,21,0,翠兰妮,6,1,26273789,1,Kill me... please.,Angels of Death
哈哈哈哈心疼,2018-07-24 23:25:37,27,0,世一呆萌小猫,6,1,26273789,1,Kill me... please.,Angels of Death
(ಡωಡ)hiahiahia,2018-07-29 19:23:42,13,0,壹玖意久,6,1,26273789,1,Kill me... please.,Angels of Death
深有感触…我现在也恨死这个死男人了(´；ω；`),2018-08-15 22:53:33,289,0,开心凌凌猫猫头,6,1,26273789,1,Kill me... please.,Angels of Death
"医生的颜文字真好玩啊哈哈哈
0v0 正常的医生
8v0 换了义眼的医生
8y0 拖着舌头想要prprpr女主的医生
(´8 ◡ 0)⸝♥ 看见女主的医生
ԅ(8﹃0ԅ) 看着女主眼睛的医生
( &#39;-&#39; )ノ)8⌓꒦ີ) 被女主拒绝的医生
_(8ཀ0」 ∠)_  被砍了的医生
(8дʘ╬) 生气的医生",2018-07-07 23:04:44,140790,752,孟德尔的青春痘,6,0,26273789,1,Kill me... please.,Angels of Death
你要是早来点，说不定就能上热评了,2018-07-07 23:30:50,5105,0,撑着纸伞的喵,6,1,26273789,1,Kill me... please.,Angels of Death
hhh好可爱ww,2018-07-07 23:47:51,1729,0,Akuma惡魔,6,1,26273789,1,Kill me... please.,Angels of Death
送你上去,2018-07-10 11:13:52,1150,0,向晚向宛,5,1,26273789,1,Kill me... please.,Angels of Death
本番说的其实是蓝月亮洗衣液和红秋裤的浪漫故事,2018-07-13 21:00:16,52285,462,笹鸠,6,0,26768045,2,Your grave is not here,Angels of Death
哈哈哈哈哈哈优秀,2018-07-13 21:00:54,1002,0,重解负极,6,1,26768045,2,Your grave is not here,Angels of Death
233333,2018-07-13 21:01:12,320,0,真是个不得了的名字,6,1,26768045,2,Your grave is not here,Angels of Death
优秀,2018-07-13 21:01:24,221,0,nemufnu,6,1,26768045,2,Your grave is not here,Angels of Death
(=・ω・=),2018-07-13 21:01:32,31,0,罂粟巧克力,6,1,26768045,2,Your grave is not here,Angels of Death
？？哈哈哈,2018-07-13 21:01:34,37,0,sanarenL,6,1,26768045,2,Your grave is not here,Angels of Death
噗噗噗(･∀･),2018-07-13 21:01:36,10,0,话唠の橘子,6,1,26768045,2,Your grave is not here,Angels of Death
还有一个8v0其实是来催婚的,2018-07-13 21:01:49,1051,0,晝葉飯,6,1,26768045,2,Your grave is not here,Angels of Death
就算你秀但你也不是大会员,2018-07-13 21:01:59,649,0,永雏幽邃,6,1,26768045,2,Your grave is not here,Angels of Death
秀（￣▽￣）,2018-07-13 21:02:15,4,0,账号已注销,0,1,26768045,2,Your grave is not here,Angels of Death
靠谱！,2018-07-13 21:02:22,3,0,cycels,6,1,26768045,2,Your grave is not here,Angels of Death
hhhh橘子树hhhh,2018-07-13 21:02:40,1,0,虚幻的小幽灵,6,1,26768045,2,Your grave is not here,Angels of Death
难道不是没头脑和不高兴重制版？,2018-07-13 21:02:51,357,0,芝士雪鸽,6,1,26768045,2,Your grave is not here,Angels of Death
哈哈哈哈哈哈哈,2018-07-13 21:02:57,0,0,沒喵餅,6,1,26768045,2,Your grave is not here,Angels of Death
秀啊！,2018-07-13 21:03:19,0,0,沉一碗舟禾,5,1,26768045,2,Your grave is not here,Angels of Death
哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑炸,2018-07-13 21:03:20,1,0,rosy春见樱,6,1,26768045,2,Your grave is not here,Angels of Death
你上的哪儿的补习班?,2018-07-13 21:03:20,50,0,海盐樱桃糕,6,1,26768045,2,Your grave is not here,Angels of Death
哈哈哈哈哈哈哈,2018-07-13 21:03:29,1,0,27皇帝,5,1,26768045,2,Your grave is not here,Angels of Death
优秀哈哈哈哈,2018-07-13 21:03:59,2,0,有口不言,6,1,26768045,2,Your grave is not here,Angels of Death
优秀,2018-07-13 21:05:01,2,0,-现在几点了-,6,1,26768045,2,Your grave is not here,Angels of Death
可太优秀了哈哈哈哈哈,2018-07-13 21:05:16,1,0,vtZda,6,1,26768045,2,Your grave is not here,Angels of Death
"我简直笑死了，正在气制作组不给我们看ray的微笑，转头就在zack的回忆中给了。
我的天哪，居然自带八百米厚的男友滤镜，zack你是什么情窦初开的少女吗？？？？？",2018-07-13 21:50:19,34648,130,落棋无悔,6,0,26768045,2,Your grave is not here,Angels of Death
哈哈哈哈大实话,2018-07-13 21:52:05,1601,0,渡見春,6,1,26768045,2,Your grave is not here,Angels of Death
自己都还没意识到！！！少年心中的那一份躁动究竟是什么呢？！！！关键是双方都还没有箭头，趁还没播到后面我还是先去买一打墨镜吧。,2018-07-13 22:28:04,2920,0,绪问礼穷,6,1,26768045,2,Your grave is not here,Angels of Death
激动地抱住列表,2018-07-13 23:51:29,213,0,查理今天过得很好,6,1,26768045,2,Your grave is not here,Angels of Death
你们看，eddie他说他知道ray为什么会出现在这里，也知道她爸爸妈妈的事情，但是他坚持没有剧透，直到最后一刻，所以你们也跟着学学[小电视_赞],2018-07-21 23:09:11,15484,53,看到我请叫我去吃零食,6,0,27304543,3,I swear to God,Angels of Death
优秀（￣▽￣）,2018-07-21 23:10:05,91,0,消失的地形线,6,1,27304543,3,I swear to God,Angels of Death
哈哈哈哈哈哈,2018-07-21 23:13:31,11,0,三斤棠木梨,6,1,27304543,3,I swear to God,Angels of Death
优秀,2018-07-21 23:20:57,7,0,一位不愿意透露姓名的粉丝,6,1,27304543,3,I swear to God,Angels of Death
但是他死了⋯别打我我错了,2018-07-21 23:30:53,636,0,会长先生,6,1,27304543,3,I swear to God,Angels of Death
回复 @会长先生 :那是因为他用了神父的bgm(〜￣△￣)〜,2018-07-21 23:41:09,219,0,艾扎克丶福斯特,6,1,27304543,3,I swear to God,Angels of Death
哈哈哈哈优秀优秀,2018-07-22 09:46:06,4,0,跪求骰娘大成功,6,1,27304543,3,I swear to God,Angels of Death
