content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
我的能力是忘记，学的东西很快就全忘了。这个能力让我考试总是不及格,2017-08-13 18:18:28,81107,396,请问你想要,4,0,2524490,1,将自己想象成他人,Charlotte
_(:3」∠)_,2017-08-14 20:06:29,24,0,天空与白鸽,6,1,2524490,1,将自己想象成他人,Charlotte
为你这句话点个赞ヾ(￣▽￣),2017-08-15 14:02:56,36,0,冬至moment,3,1,2524490,1,将自己想象成他人,Charlotte
回复 @冬至moment:谢谢????,2017-08-15 14:31:07,16,0,请问你想要,4,1,2524490,1,将自己想象成他人,Charlotte
这么巧，我也有这个能力_(:3」∠)_,2017-09-23 13:59:17,221,0,Depravedli,6,1,2524490,1,将自己想象成他人,Charlotte
回复 @取个名字咋这么难不开心:很多人都有,2017-09-23 16:42:42,28,0,请问你想要,4,1,2524490,1,将自己想象成他人,Charlotte
我的比你的还厉害点，就是记不住东西_(:3」∠)_,2017-11-04 17:50:21,1436,0,莫双余,6,1,2524490,1,将自己想象成他人,Charlotte
回复 @U乌托:一山还有一山高,2017-11-04 20:34:19,27,0,请问你想要,4,1,2524490,1,将自己想象成他人,Charlotte
还是不错的，对付克总不错,2019-04-12 22:57:41,24,0,最弱的那一环,6,1,2524490,1,将自己想象成他人,Charlotte
遗忘，是神赐予人的宝物。,2019-05-18 18:18:17,980,0,曦望望,6,1,2524490,1,将自己想象成他人,Charlotte
我比你们好点，我是快速记忆和快速遗忘(=・ω・=)(〜￣△￣)〜,2019-08-21 15:28:19,209,0,咸鱼的嘤嘤怪,2,1,2524490,1,将自己想象成他人,Charlotte
我一紧张就会忘,2019-08-28 01:44:27,9,0,蹭热度的Ark-One,6,1,2524490,1,将自己想象成他人,Charlotte
我的能力也是忘记，我已经忘了我本来要说什么了,2019-08-29 22:19:00,59,0,薛腚谔的猫猫猫猫,6,1,2524490,1,将自己想象成他人,Charlotte
我的能力是能让一切能力无效化,2019-08-30 17:40:12,18,0,一片叶子飘啊飘,6,1,2524490,1,将自己想象成他人,Charlotte
背的比谁都慢，忘的比谁都快,2019-09-02 21:23:56,63,0,祈之助いのり,6,1,2524490,1,将自己想象成他人,Charlotte
回复 @咸鱼的嘤嘤怪 :我和一样，我早上吃的什么下午就忘了,2019-10-13 21:05:06,9,0,罗Rsl,6,1,2524490,1,将自己想象成他人,Charlotte
那我的能力大概是人鱼吧，会游泳还会唱歌，只有七秒钟的记忆。,2019-10-29 13:41:47,18,0,魔女-小七,6,1,2524490,1,将自己想象成他人,Charlotte
回复 @我是锡旺 :神啊，求你夺走我的宝物吧[嫌弃],2019-11-22 07:30:25,27,0,风中之诗,6,1,2524490,1,将自己想象成他人,Charlotte
我也是,2019-11-25 12:36:14,3,0,京京麦,6,1,2524490,1,将自己想象成他人,Charlotte
我的是神游，一节课下来一句话都不知道。。,2019-12-06 10:20:44,18,0,曾经一指点死过UP,5,1,2524490,1,将自己想象成他人,Charlotte
那我可能连这个超能力都没咋掌控，就用的时候忘，不用的时候想不起来，用完了才想起来,2019-12-15 08:49:43,9,0,也丶h,6,1,2524490,1,将自己想象成他人,Charlotte
抄卷子的精髓，那就是永远不要考满分。,2019-02-12 16:15:48,23788,94,Weightofus,6,0,2524490,1,将自己想象成他人,Charlotte
真实,2019-02-13 21:33:30,58,0,月风微凉,5,1,2524490,1,将自己想象成他人,Charlotte
+1,2019-02-14 19:42:12,6,0,香菜鸭子i,6,1,2524490,1,将自己想象成他人,Charlotte
＋1,2019-02-16 10:57:09,7,0,拜年年年,6,1,2524490,1,将自己想象成他人,Charlotte
永远不能抄到太高,2019-02-28 01:41:34,183,0,星叶石,6,1,2524490,1,将自己想象成他人,Charlotte
抄到太高之后一旦翻车后果很严重,2019-09-01 09:28:57,1202,0,-闪光的夸子哥-,6,1,2524490,1,将自己想象成他人,Charlotte
回复 @Galaxy盖盖 :对。一直了会被单独安排的,2019-09-27 18:21:21,435,0,H里维斯,6,1,2524490,1,将自己想象成他人,Charlotte
明白人啊！,2019-09-28 23:00:34,44,0,南斗天机,6,1,2524490,1,将自己想象成他人,Charlotte
我是真不明白他咋知道哪个是对的 咋考满分的⊙∀⊙？,2019-12-09 20:38:45,90,0,byehhuu,6,1,2524490,1,将自己想象成他人,Charlotte
忘了告诉大家，其实我有长生不老的能力，不过过了青春期就消失了。,2015-07-16 20:24:08,14157,106,由比滨団子,6,0,2559099,2,绝望的旋律,Charlotte
回复 @大老师万岁:永远定格在0岁,2015-07-18 18:22:14,19,0,makee,6,1,2559099,2,绝望的旋律,Charlotte
回复 @大老师万岁:啊打脸了，能力是在一段时间后显现的,2015-07-18 18:27:22,18,0,makee,6,1,2559099,2,绝望的旋律,Charlotte
逻辑帝我傻了,2019-08-28 23:34:49,197,0,七海千秋Nanami_,6,1,2559099,2,绝望的旋律,Charlotte
你这么说我也有[doge][doge][doge],2020-02-11 14:36:26,31,0,记记记记者,5,1,2559099,2,绝望的旋律,Charlotte
我也拥有长生不老的能力，而且不会消失，只不过这个能力我估计再修炼个3万年就可以开启了，只不过我好像没那么长的寿命。,2020-02-17 21:23:17,1035,0,鸿衣,4,1,2559099,2,绝望的旋律,Charlotte
告诉你个秘密，没过六十秒，你的生命就会减少一分钟,2020-03-13 09:41:13,295,0,螢窗夜语,6,1,2559099,2,绝望的旋律,Charlotte
我有让整个中国有超能力的人用不了超能力的超能力,2020-03-14 20:05:51,530,0,is木杉,5,1,2559099,2,绝望的旋律,Charlotte
回复 @有趣あ :我有让全世界的超能力者都没法用超能力的超能力,2020-03-26 20:46:42,163,0,屏蔽词太多了吧,6,1,2559099,2,绝望的旋律,Charlotte
回复 @在下何贵-要干坂本:禁止套娃,2020-03-27 17:51:27,14,0,由比滨団子,6,1,2559099,2,绝望的旋律,Charlotte
回复 @到上海爆王老菊 :禁止禁止套娃,2020-04-01 14:22:41,10,0,-桃子部部长tatalong-,6,1,2559099,2,绝望的旋律,Charlotte
回复 @想和爱妈领证的塔塔龙 :禁止禁止禁止套娃,2020-04-04 11:56:17,6,0,和二乔坐飞机,3,1,2559099,2,绝望的旋律,Charlotte
回复 @-清風-- :禁止禁止禁止禁止套娃,2020-04-06 12:50:52,4,0,Na2CO3____,6,1,2559099,2,绝望的旋律,Charlotte
回复 @大爱苏打 :禁止禁止禁止禁止禁止套娃,2020-04-06 13:30:34,2,0,和二乔坐飞机,3,1,2559099,2,绝望的旋律,Charlotte
回复 @-清風-- :回复 @大爱苏打 :禁止禁止禁止禁止禁止禁止套娃,2020-04-11 21:33:06,2,0,光武星河,5,1,2559099,2,绝望的旋律,Charlotte
