content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
"游戏《fate/stay night》
游戏《Fate/hollow ataraxia》
前传小说《Fate/zero》
漫画《Fate/zero》
tv动画《Fate/stay night [fate]》
剧场版动画《Fate/stay night [Unlimited Blade Works]》
漫画《Fate/stay night [fate]》
tv动画《Fate/zero》
tv动画《Fate/stay night [Unlimited Blade Works]》
特典小说《Garden of Avalon》
月刊漫画《Fate/stay night [Heaven&#39;s Feel]》
剧场版动画《Fate/stay night [Heaven&#39;s Feel]》
小说《Lord-埃尔梅罗Ⅱ世事件簿》
游戏《Fate/Extra》
游戏《Fate/EXTRA CCC》
漫画《Fate/Extra》(尼禄线)
漫画《Fate/EXTRA CCC》(尼禄线)
月刊漫画《Fate/EXTRA CCC Fox Tail》
游戏《Fate/EXTELLA》
tv动画《Fate/EXTRA Last Encore》
小说《Fate/Apocrypha》
月刊漫画《Fate/Apocrypha》
小说《Fate/Strange fake》
漫画《Fate/Strange fake》
前传小说《Fate/Prototype 苍银的碎片》
《幻想嘉年华》特典动画《Fate/Prototype》
外传小说《Fate/Labyrinth》
月刊漫画《Fate/Kaleid Liner魔法少女☆伊莉雅》
tv动画《Fate/Kaleid Liner魔法少女☆伊莉雅》
游戏《Fate/unlimited codes》
游戏《Fate/Tiger Colosseum》
游戏《超时空花札》
游戏《Fate/Grand Order》",2016-05-25 13:24:25,51053,598,医生快来,6,0,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
666(°∀°)ﾉ,2016-05-29 23:04:22,103,0,小龙虾批发商,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
排排排,2017-01-30 15:52:29,32,0,rker_りける,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
请问大佬，推荐的顺序是出版顺序吗,2017-08-06 17:39:07,932,0,Gi文,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
大。。。大佬(ᵒ̤̑ ◁ ᵒ̤̑)wow!,2017-08-14 12:44:35,68,0,壮壮仙贝,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
好的  那  先给我翻译下吧   看不懂,2017-08-14 14:36:31,83,0,小怒角今天吃分了吗,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
回复 @无忧夜QAQ :命运,2017-08-14 21:26:05,90,0,路过的歪,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
回复 @气运之末:蟹蟹(^з^)-☆,2017-08-15 08:14:15,20,0,小怒角今天吃分了吗,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
厉害了,2017-08-15 22:35:59,21,0,-Hulifen-,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
如果说新人入坑的话看哪一部比较好，，(｀・ω・´),2017-08-16 15:59:58,1558,0,CrazyAttack,5,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
回复 @CrazyAttack:Zero,2017-08-17 14:57:28,176,0,快给我烟雾镜玩fgo,5,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
回复 @ぎんとき桑:不知道翻译就是小学生?英语不好不行么，比如我…(滑稽,2017-08-19 11:43:26,367,0,几近安好灬,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
最后fgo亮了,2017-08-20 17:40:58,39,0,南欧ナンオ,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
剧场版在哪里能看,2017-08-24 00:27:00,4,0,俺不图图,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
"哇难怪魔夜不出2,3（滑稽）",2017-08-24 21:29:08,9,0,模仿之樱,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
铁粉无疑,2017-08-25 10:27:59,22,0,不苟到六级不改名,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
虐不虐主,2017-08-27 19:33:54,9,0,禁仙七封,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
膜拜大佬,2017-08-29 13:06:29,5,0,国际纵队万岁,4,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
有extra动画啦？,2017-08-29 23:31:25,6,0,樱桃小西格玛,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
hf有剧场版啦？,2017-08-29 23:31:56,4,0,樱桃小西格玛,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
回复 @Bismark0214:官方发布消息了hf线的上中下三部曲。,2017-08-30 08:54:53,9,0,能文能武的郭大爷,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
这年头，第一集就挂了的男主还是有一些的，第零集就挂的就你一个吧233,2015-04-16 22:06:42,28260,285,顾幻真,6,0,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
打破惨案(⌒▽⌒),2017-10-08 08:53:01,35,0,Desmond-a,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
打破81赞1回复惨案,2017-12-15 00:16:05,21,0,纞龗龍龖龘,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
打破,2018-09-02 15:52:34,8,0,高仿君,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
人才。。。,2018-09-24 15:44:13,17,0,夜魔女王-五更琉璃,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
回复 @茜斯塔莉亚 :鬼才(°∀°)ﾉ,2018-10-01 16:40:13,10,0,赛雷八分钟,6,1,1577372,0,序章,Fate/stay night [Unlimited Blade Works] 第一季
