content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
"承太郎:我杀了他父亲。
康一:看照片你们长的很像。
承太郎:他是DIO儿子（我的辈分不能再低了，绝不承认他是大乔儿子）",2018-10-06 06:47:10,32460,87,星空追憶,6,0,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
哈哈哈哈，其实大乔和吊爷应该是平辈吧(｡･ω･｡),2018-10-06 08:06:36,1116,0,Yeville,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
回复 @風に舞う小小莫 :是曾爷爷辈，二乔是大乔的孙子,2018-10-06 19:07:24,801,0,细说魏文帝,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
回复 @風に舞う小小莫 :大乔是三乔高祖父了，爷爷的爷爷，所以屌爷应该也是高祖父辈的，所以，茸妹要算是三乔的曾伯公（伯曾祖父）/曾叔公（叔曾祖父）/曾祖父一辈了,2018-10-06 21:54:00,449,0,Yeville,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
承太郎：我生气起来不管他什么辈分~,2018-10-12 16:37:59,947,0,刷到推送视频一律点踩,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
回复 @二狗子智商-1-1-1-1 :我生气起来就会忍不住砸哇露多，上一个是我舅舅,2018-10-16 03:12:58,401,0,筒井光,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
"回复 @筒井光 :Eoh三乔:就算你是我祖先我也不会客气，我要揍你。大乔:大家都是好孩子呐。
DIO:切(JOJO怎么得出这个结论的)",2018-11-01 12:58:33,267,0,好大米干饭把子肉,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
这样一看好像还是五桥的辈分最高。,2019-05-26 00:11:14,204,0,吉安娜大法师,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
回复 @風に舞う小小莫 :茸茸辈分比二乔都大,2019-07-27 12:21:30,215,0,肥被,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
卖鱼强辈分-1,2019-09-06 01:35:35,99,0,LapinFraise-07,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
孙子哈哈哈,2019-09-14 18:19:09,23,0,GMGod,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
我看百度上面说五桥居然比承太郎大,2019-10-08 22:41:22,37,0,这人已死,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
见面就给小舅舅一拳的jo太郎是屑[妙啊],2019-10-26 20:59:43,79,0,长生枫,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
回复 @99787222520_bili :二乔要叫茸茸一声叔叔,2020-01-04 15:37:52,96,0,杋棂,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
但是DIO是乔家养子啊，和大乔平辈的所以其实没有逃掉,2020-01-21 19:36:59,119,0,御门338,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
[大哭],2020-01-27 22:45:11,2,0,内恰世界第三,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
康一：我寻思就跟dio跟大乔差不多大啊？败者食尘给脑子炸坏了。,2020-02-02 19:23:36,71,0,-ジョジョ-,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
徐伦:我不要面子啊,2020-02-17 14:07:26,20,0,卫宫安途默,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
回复 @明日古风 :辈分上确实是这样,2020-03-01 16:52:56,10,0,账号已注销,0,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
回复 @明日古风:辈分大,2020-03-11 13:09:21,5,0,薶九薶九薶,6,1,33160847,1,黄金体验 (Gold Experience),JOJO的奇妙冒险 黄金之风
