content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
原来，男主的交流障碍，是在交流的时候把别人谈成交流障碍么( ´_ゝ｀),2018-10-04 11:01:43,53347,101,vivian_rose,6,0,9654289,1,外行人(Beginner),NO GAME NO LIFE 游戏人生
兄弟，秀啊,2018-10-04 12:46:36,173,0,lookcloser000,6,1,9654289,1,外行人(Beginner),NO GAME NO LIFE 游戏人生
这么秀的吗？,2018-10-04 17:06:08,96,0,猞猁子神教教主,6,1,9654289,1,外行人(Beginner),NO GAME NO LIFE 游戏人生
夏洛克差不多的意思,2019-05-05 22:26:02,110,0,今天星期四了,6,1,9654289,1,外行人(Beginner),NO GAME NO LIFE 游戏人生
所以游戏渣的意思也是让和他们一起玩游戏的对手觉得自己就是个游戏渣么！！！恍然大悟,2019-06-08 16:32:10,4577,0,凤凰院★凶真,6,1,9654289,1,外行人(Beginner),NO GAME NO LIFE 游戏人生
不是有弹幕说过游戏渣的意思是除了游戏啥也不会吗[无语],2019-07-08 13:20:01,1199,0,常陸茉子-Official,6,1,9654289,1,外行人(Beginner),NO GAME NO LIFE 游戏人生
我能打破惨案吗[2233娘_喝水],2019-08-05 18:55:30,63,0,vivian_rose,6,1,9654289,1,外行人(Beginner),NO GAME NO LIFE 游戏人生
打破惨案，游戏渣指的应该是只会玩游戏的废人，空的交流障碍是在于他的说话表达方式很容易让对方暴露出内心的脆弱因此而被讨厌，简单理解就是说话过于针对性，不分场合，不给对面下台机会，导致被别人讨厌~,2019-08-26 15:53:22,2876,0,甜椒咖喱没有辣味,6,1,9654289,1,外行人(Beginner),NO GAME NO LIFE 游戏人生
回复 @观棋不语忍不住 :这么说来我还想对了是吗[小电视_我好兴奋],2019-08-26 16:47:36,125,0,vivian_rose,6,1,9654289,1,外行人(Beginner),NO GAME NO LIFE 游戏人生
回复 @Rialer :恩 ，你的理解是对，因为空的说话方式会把对面搞到自闭,2019-08-26 20:05:00,346,0,甜椒咖喱没有辣味,6,1,9654289,1,外行人(Beginner),NO GAME NO LIFE 游戏人生
