content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
按时间排序是吧[doge],2024-11-14 21:12:29,77,2,尘舞苍穹,6,0,26552395,1,统治者的忧郁,OVERLORD Ⅲ
[doge_金箍],2025-12-25 20:49:09,0,0,汤圆汤圆圆宝,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
[doge_金箍],2026-03-16 16:40:35,0,0,喵_喵_喵-_-,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
大骨汤[doge],2023-03-15 20:31:04,75,0,神社的博丽灵梦,6,0,26552395,1,统治者的忧郁,OVERLORD Ⅲ
安兹的敌对势力分布:78%氮气，21%氧气，0.94%稀有气体，0.03%二氧化碳，0.03%杂质,2018-07-11 14:37:15,56866,264,Ni3Co2,6,0,26552395,1,统治者的忧郁,OVERLORD Ⅲ
来早一点，你或许能上热评╮(￣▽￣)╭,2018-07-11 14:39:37,496,0,一般路過-えみや,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
送你上热评！,2018-07-11 14:40:49,184,0,PhilippWan,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
希望你能上去,2018-07-11 15:03:28,168,0,快乐老乡人,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
就你皮！哈哈哈哈哈哈！,2018-07-11 15:06:08,58,0,诗音大宝贝,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
破绽服，送你上去(･∀･),2018-07-11 17:38:35,36,0,雨声鱼zz,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
送你上去,2018-07-12 14:38:59,10,0,冰啵哒冰,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
你怎么上来了(°∀°)ﾉ,2018-07-13 00:04:26,11,0,清清洋洋233,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
哇，我怎么就上不去呢（￣へ￣）,2018-07-13 00:12:55,10,0,丸山萝莉,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
送你上去,2018-07-13 00:24:49,4,0,克劳泽,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
一看就知道是上过补习班,2018-07-13 00:26:38,24,0,_幽香果,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
真希望你能上去,2018-07-14 09:07:51,3,0,写不完的病历,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
哈哈哈笑出声,2018-07-15 14:59:06,2,0,アストリア,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
你怎么也上来了,2018-07-16 19:22:15,0,0,丸山萝莉,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
居然上热评了(〜￣△￣)〜,2018-07-16 19:34:54,2,0,名瀬,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
什么意思我没读懂(´･_･`),2018-07-17 22:23:59,11,0,噼噼啪啪噗噗boom,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
回复 @噼噼啪啪噗噗boom :空氣,2018-07-22 02:29:31,18,0,画册回复,5,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
蒂花之秀,2018-07-26 10:36:44,4,0,1-0-2-3,5,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
回复 @噼噼啪啪噗噗boom:空气的组成百分比。老实人。,2018-07-26 11:43:44,28,0,把你id名称给我交了,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
上去！,2018-07-26 12:01:41,2,0,我不是DD_,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
优秀,2018-07-26 13:43:27,2,0,哲学真菌,6,1,26552395,1,统治者的忧郁,OVERLORD Ⅲ
"看月亮时
老骨：这月亮真好看
小迪：月亮好看→景色真美→世界真美→征服世界独占这份美丽！！",2018-07-18 00:08:42,9931,28,吃鱼会死会死会死的吧,6,0,27081349,2,再访卡恩村,OVERLORD Ⅲ
有丶优秀,2018-07-18 00:14:53,69,0,空中想,6,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
优秀的回答,2018-07-18 00:17:38,23,0,木槿MoJi,6,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
@俺已自了宫,2019-04-21 16:33:40,3,0,-泽言真香-,6,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
思想逐渐迪化[滑稽],2019-05-07 11:02:41,67,0,寂青泠,6,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
其实那一集里老骨开玩笑的说了一句“征服世界也不错”然后小迪就当真了……,2019-05-11 17:58:19,1262,0,日常假酒少女,6,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
回复 @日常假酒少女 :是呀！哈哈哈哈,2019-07-30 14:30:05,42,0,优伤的东哥,5,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
月亮等于戒指,2020-02-16 11:57:12,12,0,一只马桶桑,6,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
月色真美,2020-02-16 16:36:06,3,0,非后浪,6,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
@夏目漱石,2020-02-16 16:36:31,4,0,非后浪,6,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
你看这月亮像不像一个戒指,2020-03-29 22:11:18,22,0,此花诞亭中,5,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
月亮真美→美→稀有→缺货→少→戒指→所以我戒指呢？,2020-04-01 21:35:58,38,0,哈院睿慈,6,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
雅儿贝德：噢噢噢噢噢噢噢噢噢！/扑倒,2020-04-02 14:07:42,4,0,许灵瑞,6,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
回复 @日常假酒少女 :原来如此！,2020-04-06 11:04:25,3,0,__summer_____,6,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
"3、夏⑨追击逃脱的冒险者，

6、安兹通过雅界级道具效果，直接慌了，以为是高玩设的套要阴他，随后回家立刻取
7、潘多拉能力平庸，但其特殊能力十分强大，他可以模拟41位公果",2020-04-10 21:00:34,15,0,是世棋呀,5,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
你看这月亮像不像戒指,2020-04-11 13:13:02,4,0,老婆们太可爱了,5,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2020-07-14 21:18:14,2,0,帮主_,5,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
"老骨：小迪有点帅哦～
小迪：[害羞][害羞][害羞]",2020-08-13 10:44:53,3,0,Lex思麻,6,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
嗯？额？哈？,2020-10-23 10:08:13,1,0,游の魂,6,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
回复 @大凶萌妹纸 :你没看第一季吗，第一季的剧情啊，还是说你已经忘了,2020-11-02 02:40:58,3,0,柑橘味的糖果屋,5,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
月色真美不是表白的意思吗[吃瓜],2020-11-08 10:08:16,3,0,祈梩,6,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
"老板：先保住公司。
员工：先赚他一个亿！",2018-07-17 23:41:51,3923,5,橙色八月0_0,6,0,27081349,2,再访卡恩村,OVERLORD Ⅲ
生动形象233333,2018-07-17 23:47:53,49,0,繁火枫叶,6,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
"老板：先保住公司。
员工：先赚他一个亿！",2020-01-31 14:34:06,93,0,海中月光,6,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
"老板：目前市场竞争压力有点大，好几家公司可能会构成威胁，那么我们下一步的目标是先保…
员工：先保底把他们全部收购了搞垄断！",2020-06-03 09:12:18,593,0,次元之陈,6,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
老板:一脸懵逼，喵喵喵,2020-06-28 22:52:46,24,0,畿丘封狐,6,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
草,2020-07-31 15:41:58,3,0,想被夜翼大腿绞杀,5,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
安兹这种心情就像马云给秘书说：你给我去买个麦当劳。然后秘书回头就把阿里巴巴收购麦当劳的方案和预算摆到马云办公桌上是一个感觉。。。唉？哪里不对劲？[小电视_吃惊],2018-07-18 11:11:38,10628,42,料理man,6,0,27081349,2,再访卡恩村,OVERLORD Ⅲ
兄弟说的好，给你点个赞！,2018-07-18 11:12:57,111,0,赵燕翎,5,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
"秘书：买好了，九十亿。
马云：？？？",2018-07-19 06:42:03,681,0,登峰造7境,5,1,27081349,2,再访卡恩村,OVERLORD Ⅲ
"安兹看似稳的不行，实则慌得一批
安莉看似稳的不行，实则慌得一批
安兹跟他手下演戏提高名声
安莉跟她手下演戏收服食人魔
人们称他为“漆黑英雄”
人们称她为“血染安莉”
果然 有其父必有其女",2018-07-24 22:32:40,12257,89,铃木悟゙,6,0,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
数字论证，请,2018-07-24 22:36:13,250,0,麻豆卡密,6,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
得占个楼  万一火了呢,2018-07-24 23:19:35,75,0,我不差六枚硬币,6,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
回复 @麻豆卡密:安兹首字母az编号为1和26，1*26=1*5*4+4+1+1组合为114514，安莉首字母编号为1和12，12=3*4，（3+1）*4=1+1+4+5+1+4是114514 论证完毕     Q.E.D,2018-07-24 23:21:55,1656,0,森远霖之助,5,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
回复 @鑫森淼焱垚燚 :过于有力(呕),2018-07-24 23:23:54,149,0,平江渡来,6,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
没毛病hhh,2018-07-24 23:40:03,12,0,小说新番都在追,6,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
回复 @麻豆卡密 :唐突论证,2018-07-24 23:50:10,40,0,账号已注销,0,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
唐突论证草,2018-07-25 00:17:27,27,0,音临海,6,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
恶  臭  回  复,2018-07-25 00:26:52,21,0,萌萌车车人,5,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
全世界都是银梦厨（确信）,2018-07-25 02:24:33,28,0,SK_KMP7,6,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
有人科普一下吗，没懂,2018-07-25 02:53:59,3,0,裹骨虫,6,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
nb,2018-07-25 02:59:18,0,0,糖人街糖仁,6,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
回复 @优雅的小彩 :你这是什么意思,2018-07-25 03:09:09,0,0,以我之命许我有缘之人,6,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
回复 @优雅的小彩 :看不懂的问一下(°∀°)ﾉ,2018-07-25 03:12:11,0,0,账号已注销,0,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
这层逐渐臭了起来(首),2018-07-25 03:27:49,6,0,鱼饵94,6,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
要 素 察 觉,2018-07-25 03:29:28,5,0,中二の传承桑哒,6,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
啥意思。,2018-07-25 03:40:34,1,0,名字句号,6,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
回复 @鑫森淼焱垚燚 :草wwwwww,2018-07-25 03:47:17,3,0,毛球狐狸喵,6,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
回复 @叶゚修 :这么恶臭的东西有什么了解的必要吗,2018-07-25 04:04:39,5,0,Sarrett7,6,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
回复 @稀神-旭东 :那个只是开玩笑吧………,2018-07-25 08:50:52,0,0,程小祤,4,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
回复 @beta量子 :那个只是开玩笑吧………,2018-07-25 08:51:08,1,0,程小祤,4,1,27629157,3,安莉动荡又匆忙的生活,OVERLORD Ⅲ
