content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
真正的重生作品，不但剧情里的主角能不断重生，番本身都能重生。,2020-01-02 20:33:50,20562,63,沂沐,6,0,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
你这评论xswl,2020-01-02 20:36:11,115,0,风杖飞鞋轻胜马,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
别的番剧都是有始有终，而这番有始无终([囧],2020-01-02 20:56:41,1234,0,五月的萌小天,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
很多番都有始半路失踪,2020-01-11 15:14:49,571,0,凤羽玄天,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
我的天，瞧瞧我发现了什么,2020-01-18 09:08:18,55,0,舔猫oo,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
你还不快去更新。,2020-01-30 16:20:35,24,0,bili_15581053,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
有时间在这里看番[小A和小B_报警],2020-01-30 16:21:13,9,0,bili_15581053,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
呀 捉住,2020-02-11 23:08:31,1,0,初恋奶糖i,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
会说话就多说点,2020-02-26 00:29:32,4,0,风轻云淡呵,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
回复 @凤羽玄天 :比如皿三味,2020-03-06 16:25:11,3,0,凌霄宝院精神科昊院长,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
回复 @凤羽玄天 :秀儿[滑稽],2020-04-03 14:04:42,0,0,史上最懒的lv6,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
捕捉野生的沂沐,2020-04-29 17:50:51,1,0,华生发现了盲点,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
确实,2021-01-25 22:44:28,1,0,账号已注销,0,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
回复 @五月的萌小天 :挖坟来了[doge],2021-07-18 23:09:43,69,0,伊地知虹夏是五字神人,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
回复 @五月的萌小天 :长月老贼努力填坑ing[脱单doge],2021-08-24 03:01:47,12,0,万千中一,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
回复 @五月的萌小天 :按小说的推进速度，动画估计永远不能完结了,2022-01-02 20:06:00,32,0,Afterimage0,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
预言家刀了[doge],2022-01-14 09:17:49,6,0,墨一厅,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
嗯，它又重生了,2022-01-18 19:11:10,7,0,帆楼望雪,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
回复 @鹿乃よゃん :挖坟的坟[doge],2022-01-18 21:50:42,2,0,余晞Erearce,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
！高仿吗？,2022-02-20 16:54:35,3,0,极阙乾,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
真，重生,2022-04-19 03:29:36,3,0,叫小蓝吧,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
不是 这一集52分钟?[笑哭],2020-01-01 23:34:08,23462,244,Amaaaaaaaaaaaaaa,6,0,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
捕捉呀，散散,2020-01-01 23:34:27,193,0,InfectedMushroom,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
高仿球[小电视_笑],2020-01-01 23:37:18,353,0,泽冮,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
错点以为是真的了,2020-01-01 23:38:56,199,0,浮梦RH,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
高仿球妈耶,2020-01-01 23:40:34,83,0,困觉大王一川,5,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
汉字的序顺并不响影阅读,2020-01-01 23:52:22,1863,0,账号已注销,0,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
散人鸭鸭,2020-01-01 23:55:03,16,0,炙热之心,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
这尼玛不是高仿吗,2020-01-01 23:56:27,531,0,怪侠奇瑞,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
？？？这个居然真的是散人,2020-01-02 00:00:02,40,0,曦珞爱吃肉嘎嘎,6,1,81626494,1,初始的终结与结束的开始,Re：从零开始的异世界生活 新编集版
"人最大的烦恼，就是记性太好，
看个新编版的番，一直在脑内，自己给自己剧透...",2020-01-08 23:30:14,9445,177,启圣澌茗,6,0,82546628,2,再遇魔女/从零开始的异世界生活,Re：从零开始的异世界生活 新编集版
终于体会到了被剧透的感觉了[抠鼻][画风突变],2020-01-08 23:38:03,181,0,五月党永不认输,3,1,82546628,2,再遇魔女/从零开始的异世界生活,Re：从零开始的异世界生活 新编集版
真的[喜极而泣]，多么希望自己有选择性遗忘的能力，这样就可以无限次初见那些好作品了，可以重新完整的感受那些感动、悲伤、催泪、欢乐,2020-01-08 23:43:10,694,0,小小青蛙丶不输风雨,6,1,82546628,2,再遇魔女/从零开始的异世界生活,Re：从零开始的异世界生活 新编集版
艹。。。我也一样,2020-01-08 23:43:11,31,0,一本正经老绅士,6,1,82546628,2,再遇魔女/从零开始的异世界生活,Re：从零开始的异世界生活 新编集版
+1,2020-01-08 23:52:42,6,0,学生会长立华奏,6,1,82546628,2,再遇魔女/从零开始的异世界生活,Re：从零开始的异世界生活 新编集版
"新编版是第一季内容的画质提升版＋改动了一点内容，目前来看改动不大，希望后面能把一些伏笔填上，比如寡妇的骑士阿尔是穿越者，并且对于蕾姆居然还活着这件事表示不可置信和恶心。也不要说炒冷饭啥的，新编版就是给第二季预热用的，第一季内容两集合一到四月份正好无缝衔接第二季，并且还能起到拉一些新观众这种用法，何乐而不为呢？对于想重温剧情的还是可以继续观看的。傲慢IF：https://tieba.baidu.com/p/5057656255 
愤怒IF：https://tieba.baidu.com/p/5629677437
顺便来看看if线呗，写的还是挺好看的[吃瓜]。。
容我插个楼。。。。",2020-01-08 23:53:28,110,0,叶子fen___,5,1,82546628,2,再遇魔女/从零开始的异世界生活,Re：从零开始的异世界生活 新编集版
幸好我都忘的差不多了[doge][doge],2020-01-09 00:20:08,33,0,こどくi,6,1,82546628,2,再遇魔女/从零开始的异世界生活,Re：从零开始的异世界生活 新编集版
