content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
"14话长月的实况解说（摘选）：

1、奥托作为行商人是有学过护身术的，486只跟父亲学过职业摔跤技。

2、486不找他人帮忙，除了因为在多娜和罗兹瓦尔身上吃了很大苦头外，蕾姆的事也有很大影响。拜托帮忙的结果导致蕾姆沉睡，所以本能就忌讳拜托谁了。

3、伴随486心情变化的日出，以及这里的插入歌！！
　　【STRAIGHT BET】同时也是这话的标题，本来就是第一季的插入歌。（小说里也用了）
　　因为觉得正应该放在这里！实际也放了所以大满足！

4、486能有如此大的变化以及这宣言，对罗兹瓦尔来说也是预料之外。
　　他本以为486会就此消沉、磨耗内心、最后用【死亡回归】选择救最少一方的。

5、实际486也压根没想过拉姆会变为敌人，这也许归因于姐姐大人的品德吧。

6、说明着最初4人的琉兹，实际上是【阿尔玛】、【毕尔玛】、【希玛】、【德尔玛】4人轮换行动的。言行举止基本上是作为同一人的，但还是会有细节上的记忆差异和会话的不一致。
　　但不明详情的集落里的人只会觉得她犯痴呆了。

7、对486来说，除了和罗兹瓦尔的对决以外，作为【圣域】的问题挡在面前的加菲尔也将成为不得不突破的敌人。
　　和琉兹交谈、各种询问时，486就在想自己的立场该怎么办。

8、用被子盖住头坐在地上的emt就像个小孩子。
　　实际上也是有个孩子躲着的感觉。

9、冰封中的emt是被帕克唤醒的，之后和帕克度过的时间里发生的事就是OVA《冰结之绊》的故事了。

10、emt无法回忆起沉睡前在大森林里度过的岁月。蕾姆被大家忘记也是，长月觉得，失去记忆的话，说到底就没有了【回忆起】的选项。
　　因此，注意到消失的选项就会动摇。",2021-01-06 23:00:33,42463,390,零の幻影,6,0,203538276,14,STRAIGHT BET,Re：从零开始的异世界生活 第二季 后半
"11、帕克仅仅是无法从结晶石里出来。虽说起来的条件是emt有危险，但从486光是那样做就被非常动真格地冻了起来来看，父爱也是很认真（很深）。

12、帕克不在后emt会怎样之后还会稍作说明。
　　现在姑且先认为，帕克不在后不知什么原因emt心里发生了变化，就行了。

13、emt梦见从未见过的人物。
　　这虽是帕克不在了的影响，但究竟是怎么回事，下回以后会说明。

14、又没有OPED！？
　　对不起，谢谢！

15、从奥托开始，又在奥托结束。

（完，下面是个人补充）",2021-01-06 23:03:43,8673,0,零の幻影,6,1,203538276,14,STRAIGHT BET,Re：从零开始的异世界生活 第二季 后半
上去，，,2021-01-06 23:04:26,33,0,水凛子,6,1,203538276,14,STRAIGHT BET,Re：从零开始的异世界生活 第二季 后半
找到了[热词系列_爷青回],2021-01-06 23:04:51,36,0,离人阙未归,5,1,203538276,14,STRAIGHT BET,Re：从零开始的异世界生活 第二季 后半
"回复 @零の幻影 :个人补充-1：

1、486之前不找奥托帮忙一是因为3周目奥托的死，二是怕他不相信。
　　这里告诉奥托的过程中没提茶会和死归的事，由于这些关键部分是空白，486自己也知道解释漏洞百出，但奥托却还是信了。
　　说完后本来还有一段对话，动画直接总结为奥托有生以来第一次无视胜算了。

2、罗兹瓦尔之所以接受赌约，一是本来就对遵照书中记载创造结果会怎样有兴趣，即使在已经与记载出现偏差的世界，也要让事态的发展和书的内容一致。
　　二是正如奥托说的，罗兹瓦尔没什么输过的经验，他既有头脑又有胆量、很擅长玩赌局，是真的不认为486能赢。

3、然后小说里其实还有一段对话，关于万一486输了、却在下轮反悔食言、不对罗兹瓦尔言听计从怎么办。
　　对此486反问：你觉得我会么，会的话谈话就到此为止了。结果罗兹瓦尔选择继续。
　　但别看这样，他其实还是在暗中防了486一手、做了某件事了。
　　小说web版是当面做的，文库版改成了暗中、后面再讲明。
　　动画是基于文库的，所以我这里也先不剧透。

4、【圣域】下雪和宅邸袭击都在3天后——由于现在已是来圣域的第2天，3天后仍是轮回的最后期限第5天。

5、划重点：
（1）拉姆提示：emt自己没察觉到栽跟头的原因，只要不先弄清原因，就会重蹈覆辙。

（2）至今为止486第一次告诉拉姆书的记载有了偏差、罗兹瓦尔自由了。
　　这句话对拉姆会有何影响，请拭目以待。

6、罗兹瓦尔管理圣域也是遵守书籍记述的一环，一切都是为了迎来等待之人，琉兹认为就是486。
　　——还是那句话，会有那人来是书告诉罗兹瓦尔的，书又是多娜给的，所以这也同样表明，这个局是多娜在很久以前就布下了。

7、之所以问琉兹名字，正是第10话被琉兹・毕尔玛拜托的第二天再问一遍。
　　而这是至今为止第一次在第2天来设施见琉兹，所以才遇到了琉兹・阿尔玛。",2021-01-06 23:05:13,5344,0,零の幻影,6,1,203538276,14,STRAIGHT BET,Re：从零开始的异世界生活 第二季 后半
"回复 @零の幻影 :个人补充-2：

8、至此，琉兹、芙蕾、加菲尔这条线就全串起来了：

（1）10年前，加菲尔挑战试炼（圣域居民光挑战是可以的，但挑战了也无法解除结界——第5话10分29秒），期间看见了和母亲离别时的事，之后开始害怕外面的世界。
　　虽然挑战失败，却成了强欲使徒。（说明也跟多娜有过接触）

（2）琉兹・希玛进墓把加菲尔带回。进墓本身违反了和多娜的誓约，所以被解除了管理圣域的岗位。
　　琉兹从4人轮班变为了3人。
　　希玛从此一个人住，只和加菲尔有见面。只有希玛知道加菲尔对试炼的感想。
　　加菲尔也很听希玛的话，视她不同于另3个琉兹，但重要性又等同于另3个琉兹。

（3）之后芙蕾离开圣域（第10话没塞下的加回来了：去为大家创造外面的容身之所，但加菲尔不知道），再也没回，让加菲尔更憎恨外界。
　　加菲尔想追出去但又不能抛下琉兹（注意这里会被结界阻拦的只提到了琉兹），自己又无法解放圣域。

　　与此同时也埋下了新伏笔——既然希玛进过墓，她会有经历过试炼吗？有的话看见了怎样的过去、对希玛又造成了怎样的影响？

9、emt明显从昨晚起就一直没睡好，这说明之前的轮回里也彻夜未眠过，试炼失败也有这个原因。

10、被冰封在森林里，指的是艾利欧尔大森林的永久冻土，小说里486对这个词是有印象的，因为王选时罗兹瓦尔和帕克曾演过一场戏威胁在场诋毁emt的贵族，期间emt就表明了自己的身世和帕克大精灵的身份、提到了大森林。动画第一季没做。

11、根据emt的发言可知：emt实际年龄114岁，外表年龄18岁，精神年龄14岁。
　　——但要注意的是，实际年龄只是建立在7+100+7的假设之上的。

　　其中，醒来后的7年（根据《冰结之绊》原文信息，其实是7年半以上）是完全没有问题的，帕克、罗兹瓦尔等人都能作证。
　　冰封的100年也多半没问题，也有某些人的发言作证，涉及剧透、先不说是谁。

　　但冰封前的7年就不一定了——冰封前在大森林里是6、7岁，未必就等于在世上出生了7年。
　　有2个角度可以埋坑：（1）时间流速（2）记忆
　　这里就不展开了，总之还是那句话，Re0里的信息不是谁说是就一定是的，需要多方验证才能实锤。",2021-01-06 23:06:18,5332,0,零の幻影,6,1,203538276,14,STRAIGHT BET,Re：从零开始的异世界生活 第二季 后半
找到了,2021-01-06 23:06:23,26,0,夏之青风,6,1,203538276,14,STRAIGHT BET,Re：从零开始的异世界生活 第二季 后半
回复 @零の幻影 :敲了敲房间的门，等待数秒。但是，没有回应。转动门把后，门简单的被打开了，菜月昴为这不小心皱起眉。“这是存在着安全问题呐。必须告诉她要好好上锁呢。”一边嘟哝，一边朝打开的门的缝隙里往房间中看去。并不是因为好奇心才打算偷看的，是为了确认里面的人是否无防备的在瞌睡。幸好，房间伸出的床上没有人影。与对此感到安心的反面，稍微有点困惑。“虽然听说是在房间里的，这让人为难啊。在哪里……”“……菜月昴？”“诶，那个？艾米莉亚碳，在的吗？”明明没有身影，但却能听到声音，菜月昴吃惊了。于是，从床对面出现白色的手。那好像是在床的另外一侧的地板上静坐着的什么人的手。理解到那自己在寻找的艾米莉亚后，菜月昴进入房间向她走去。“怎么了，艾米莉亚碳，坐在地上。屁股会弄脏的喔？”“那个，睡相太差的关系……对不起，说谎了。气势，稍微有点谁不着。”“为什么撒这么微妙的谎什么的，就当做没听到吧……是嘛”坐在地板上抱着膝盖，迎接菜月昴的艾米莉亚一脸不体面的样貌。那匀称的可爱样貌上有一点点阴沉是如同她自己所说的一样，是睡眠不足的疲劳导致的吧。肯定也有精神上的负担。菜月昴页有谁不着的夜晚，蹲坐着度过的经验。“昨晚，和我碰到的时间之后有稍微睡过么？”“……嗯”微微的点头并不是表达肯定，让人感觉到只是单纯的表达出听到了的话的意思。如果是昨晚开始睡不着一直到早上的话，通宵一晚也不仅限于这一次轮回中。状况渐渐的崩溃是因为身心都被消耗的结果。“……对不起。让你见到这么不好意思的地方。”“艾米莉亚？”“昨天，明明刚说过希望菜月昴看着努力的我。让你看到这么软弱的一面是不行的呢。不要紧的，会在晚上之前好好休息会的。”对着担心着的菜月昴，艾米莉亚打算振奋起来似的捏了捏自己的脸。对于这实在可爱的决意表明，菜月昴不由得放松了表情。“马上就要早上了，还宣言从现在睡到晚上的艾米莉亚碳，真是怠惰呢。”“呜……这说法，有种非常奇怪的感觉。真是的，菜月昴好坏。”对着菜月昴的俏皮话艾米莉亚笑了，就这样两人稍微度过了一会轻松的时间。艾米莉亚的决意，那份志向很珍贵。昨晚艾米莉亚的话并不光打碎了菜月昴自以为是的认为，对她而言也是充满勇气，拥有重要意义的话。,2021-01-06 23:06:35,1272,0,实厕所吧吧务之父,5,1,203538276,14,STRAIGHT BET,Re：从零开始的异世界生活 第二季 后半
光速前来点赞,2021-01-06 23:06:36,6,0,洛卡kkk,6,1,203538276,14,STRAIGHT BET,Re：从零开始的异世界生活 第二季 后半
蹭一蹭,2021-01-06 23:06:48,5,0,实厕所吧吧务之父,5,1,203538276,14,STRAIGHT BET,Re：从零开始的异世界生活 第二季 后半
