content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
"趁现在没人看
我对紫苑的料理一心一意[doge]",2021-05-02 18:29:07,2202,19,_____刺,6,0,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
[脱单doge]命不久矣,2021-05-02 18:29:40,97,0,抛抛不是泡泡,6,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
[热词系列_危],2021-05-02 20:58:33,12,0,独爱哔站的霞,6,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
人不能，至少不应该[妙啊],2021-05-03 10:05:42,33,0,零之詩,6,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
虽然人的XP很自由，但我还是建议你检查一下[doge],2021-05-04 13:59:44,121,0,我和蔡徐坤谁漂亮,6,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
[热词系列_危]非死即残[doge],2021-05-04 18:28:00,13,0,碳酸氢钠鸽子鱼,5,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
活着吗？[来古-震撼],2021-07-06 12:59:27,2,0,Lordsaber,3,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
[热词系列_秀][热词系列_不愧是你],2021-07-13 15:18:37,1,0,遗失乘客,6,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
你怎么做到140赞成为第一的[妙啊],2022-04-30 22:47:37,0,0,锅里没有鱼乄,6,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
牛[doge],2022-07-11 15:29:43,0,0,安荃_yu,6,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
获得技能毒抗性成功,2022-08-21 16:01:05,7,0,这么小声还想上B站,6,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
第二季，获得了料理人，可以吃了[脱单doge],2023-01-11 17:48:56,3,0,雁皮纸黑樱桃白,6,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
6,2023-01-16 02:15:40,0,0,困困雪,5,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
https://www.bilibili.com/video/BV198411N7LG/?vd_source=157a13ec9c098dd7973fc46824775ca7,2023-02-27 18:53:49,0,0,喵噗喵-,3,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
那你还真是个人才。你自己保重吧。,2023-03-26 16:37:42,1,0,我起什么名咋都存在,6,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
铁胃,2023-06-11 00:30:52,0,0,歌鸦,6,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
优秀,2023-08-06 11:17:44,0,0,韩家小孩,6,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
回复 @雁皮纸黑樱桃白 :不能吃，料理人只是改变了味道，但毒性还是没变，利姆露和红丸是单纯的抗性高[笑哭][笑哭],2024-01-14 09:54:00,1,0,星与空的独白,6,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
笑死，跟我们食堂的饭菜比何足挂齿？[doge],2024-02-13 14:03:49,0,0,拝啓の瑞少,6,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
难道他真的是天才,2024-03-17 18:19:23,0,0,予小凡,5,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
老实说，虽然漫画很好看，但是能够把短小日常的漫画改编成现在这种动画，不得不说制作组可以啊。原作篇幅短，小转折给读者带来会心一笑的乐趣，动画组还原度竟然很高，经费也都花在了刀刃处，漫画的小细节完美还原，分镜与色调，恰到好处的bgm，让人感觉非常惊喜，充满厨力之作。,2021-05-02 13:14:47,2524,4,香草咖啡圣女果,6,0,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
打破零回复[滑稽],2021-05-03 10:26:48,4,0,浥尘em,5,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
比起原作后期战力膨胀得过分尤其是帝国篇开始就泛滥的节奏比，我是真的更喜欢日记的感觉.,2021-05-04 19:24:01,76,0,英格拉姆98式MK2,6,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
回复 @叫呜喵的家伙 :战力膨胀是不是长篇爽漫/爽文的通病啊？我好像没见过作者能把严谨设定贯穿始终的这类作品,2021-05-13 00:54:07,61,0,CringySlime,6,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
回复 @_WayneW :说真的我甚至怀疑帝国篇开始就是找个水货代笔了....,2021-05-13 01:11:10,10,0,英格拉姆98式MK2,6,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
"寻求一个动漫名，应该是日漫，电影版的
印象不是很深了，说一些记得的情节吧
故事开始是男主因为好奇，偷偷跟着一个忘记了是什么的生物，穿过小巷来到了一个神秘的世界（中间一大段具体的忘记了，大体就是男主生活在了那个世界，发生了一些事）到中后期男主回到人类世界，在大街上走着，发现镜子里的自己心脏变成了黑洞（是因为男主是人类，因为男主是人类，所以在那个世界生活的时候慢慢遭受了诅咒之类的东西，并且没有发觉）（这一片内容忘记了）（好像反派也就是那个神秘的世界的生物来入侵人类世界了）最后边的时候好像还有鲲的影子在路上移动（友军）
没记错的话应该是部致郁的动漫，差不多就记得这些了，求求各位好心人知道的报个名，有线索的报个线索，感谢！",2021-05-27 19:34:00,261,8,千亦夜夜,3,0,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
忽然对剧情感兴趣了，找到踹我一脚,2021-05-28 18:10:35,4,0,吾目Wimbledon,5,1,760300963,1,魔物城镇的居民们,关于我转生变成史莱姆这档事 转生史莱姆日记
