content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
"10月12日，刀剑神域Alicization第三季下播出，但今晚，播出的是第三季的总集篇，各位观众老爷们可能已经忘了刀剑神域前半部分剧情了，在此，为大家做个整理。
桐人中毒，进入了新的世界—Underworld，结识了自己一生的挚友，优吉欧以及红颜爱丽丝。在幼年触犯了禁忌目录的爱丽丝被整合骑士带走了，两人为此心生痛恨。
桐人与优吉欧踏上了寻友之途。在北圣托利亚帝立修剑学院，桐人传授给优吉欧属于艾因格朗特的剑技，两人便拥有了顶尖的剑术，成为上级修剑士后，两人拥有了一名初级修剑士。贵族出身的上级修剑士莱欧斯和温贝尔看不起平民出身的上级修剑士桐人优吉欧两人，意图对两人的学妹做出一些出格的事。两人忍无可忍，拔剑斩了他们的头，也因此遭到了公理教会的通缉。
塞翁失马，焉知非福。两人苦寻许久的爱丽丝，却是此次前来的整合骑士。被抓后，桐人选择攻略uw里面最为高大的建筑——圣托拉尔卡赛多拉尔。凭借个人魅力以及主角光环，在打败了整合骑士的同时，又变相的将他们收归麾下。随着层数的增加，他们终于看见了此行的目标—爱丽丝。可惜，此时爱丽丝并不认识两人，但开启主角光环的桐人，在他与爱丽丝掉出塔外后，三言两语，便将爱丽丝攻略（这番攻略是有以前儿时记忆作为铺垫的，看起来很快。）爱丽丝在自身强大的意志下，突破了摇光的限制：
“我不是人偶，确实，我也许是被制造出来的存在，但就算是我，也有自己的意志！我要保护这个世界，保护这个世界里的人们，保护我的家人，我的妹妹。这就是我必须完成的，唯一的使命。最高祭司Administrator还有无名之神啊！我，为了完成我应当完成的使命，要和你们战斗！”
惨烈的战斗迅速拉开，挚友的死亡，使得桐人迷失了自我，但他却再次看见了似曾相识的一幕——那个粟色头发的少女替他挡剑的一幕，只是这次换成了金色。不愿再次失去，灵魂的火焰再次燃烧，这次，他救下了她，没有留下遗憾，可惜，自己却陷入了沉睡。
以上便是为观众老爷们整理的第三季内容，希望能唤起观众老爷们的记忆，另外，还请多多关注刀剑神域，祝愿刀剑能够一直走下去。",2019-10-06 00:30:08,23338,248,爱丽丝萌战应援679217368,3,0,70158079,0,Reflection,刀剑神域 爱丽丝篇 异界战争
蹭蹭热度,2019-10-06 00:32:29,3,0,萌丶静,4,1,70158079,0,Reflection,刀剑神域 爱丽丝篇 异界战争
顶顶,2019-10-06 00:33:03,41,0,优吉欧b萌应援216250753,4,1,70158079,0,Reflection,刀剑神域 爱丽丝篇 异界战争
顶！,2019-10-06 00:34:19,4,0,闪光的亚丝娜i,6,1,70158079,0,Reflection,刀剑神域 爱丽丝篇 异界战争
字多跟你混,2019-10-06 00:34:53,8,0,三年后我一定要养只猫,6,1,70158079,0,Reflection,刀剑神域 爱丽丝篇 异界战争
我想说的是还需要官方来整理，我们自己不会看(=_=)白等,2019-10-06 00:35:28,19,0,Bunny世界第一可爱,6,1,70158079,0,Reflection,刀剑神域 爱丽丝篇 异界战争
顶顶[2233娘_耶],2019-10-06 00:36:48,3,0,AA神之领域,6,1,70158079,0,Reflection,刀剑神域 爱丽丝篇 异界战争
不能上热评就上热评的热评,2019-10-06 00:36:48,8,0,-将就就就-,6,1,70158079,0,Reflection,刀剑神域 爱丽丝篇 异界战争
上去,2019-10-06 00:37:11,1,0,贝烈盖尔鱼子酱,6,1,70158079,0,Reflection,刀剑神域 爱丽丝篇 异界战争
顶顶,2019-10-06 00:37:50,8,0,爱丽丝萌战应援679217368,3,1,70158079,0,Reflection,刀剑神域 爱丽丝篇 异界战争
顶顶,2019-10-06 00:38:02,3,0,准时不早退的马克兔,6,1,70158079,0,Reflection,刀剑神域 爱丽丝篇 异界战争
