content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
桐人：什么？还能再睡一个星期？太好了！,2020-07-05 00:31:51,10672,102,遵紀守法,6,0,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
k草,2020-07-05 00:39:10,9,0,堂平山流星雨第一深情,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
松岗：什么，还可以再自闭一个星期，太棒了[doge],2020-07-05 00:41:36,429,0,assa咩,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
至少还可以睡1个月[笑哭],2020-07-05 00:42:18,442,0,_神秘果_,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
ugo：醒醒，你不是一个人[doge],2020-07-05 01:01:39,65,0,nrqqm8957,5,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
松冈：你小子可真懂我啊[doge],2020-07-05 01:02:56,419,0,Free--ovo,5,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
（松冈偷笑,2020-07-05 01:03:32,27,0,斯莱特林只啃绿苹果,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
草xswl,2020-07-05 01:05:17,2,0,超级天神黑化小公主,5,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
起码睡2个月,2020-07-05 01:10:52,10,0,姚大大o,5,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
这谁敢醒啊[doge],2020-07-05 01:16:25,7,0,月舞照清影ッ,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
再睡七个世纪,2020-07-05 01:54:26,1,0,潋XD,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
回复 @nrqqm8957 :翻译：在？做个人？[吃瓜],2020-07-05 02:01:03,1,0,我是丑新,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
这可不止睡一个星期啊，可能半个月以上都有[笑哭],2020-07-05 02:47:39,5,0,雪_悠,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
其实不止1个星期按理来说至少还有1个月以上[doge],2020-07-05 03:30:30,3,0,延续小飞龙,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
按小说来的话估计得15、16话的样子,2020-07-05 06:32:00,6,0,想成为睡觉高手,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
早着呢[doge],2020-07-05 06:54:39,4,0,说好不哭の,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
等和拿菜刀那货打的时候也就差不多了[doge],2020-07-05 06:55:01,7,0,说好不哭の,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
至少还要睡6、7集[doge],2020-07-05 07:52:56,1,0,阿唯U_and_I,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
不止哦，哪有王牌一下苏醒的。睡了这么久了，不差这一个周,2020-07-05 07:55:27,1,0,我叫吴八千,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
感觉还要睡一个半月[doge][doge],2020-07-05 08:31:30,5,0,残念la24,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
正常的话还得睡两个月  最后四五集桐姥爷应该能登场[吃瓜],2020-07-05 08:52:22,5,0,阿尔图罗-,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
"这周是总集篇！

欢迎收看：

《关于官方怕你忘记带你复习前面剧情这件事是否搞错了什么》[蛆音娘_滑稽]",2020-07-05 00:30:08,25781,253,长尾巴的景虎,6,0,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
《关于无论什么加上书名号就可以当书名这件事》,2020-07-05 00:32:05,55,0,只不过是一条余,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
高考前没有刀剑看，气死了,2020-07-05 00:32:12,481,0,橘猫sama,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
《关于只要加了书名号就好像是轻小说这件事》[doge],2020-07-05 00:32:34,40,0,并非月丑,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
《233[doge]》,2020-07-05 00:32:51,10,0,史上最强的皇帝,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
顶顶顶，大家如果想要讨论刀剑剧情，小说内容，也可以加应援㪊讨论噢，id名字就是 㪊门牌号了,2020-07-05 00:32:53,6,0,花魁女神名画册,4,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
太真实了,2020-07-05 00:33:07,4,0,余念安ne,5,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
《关于我也想蹭蹭热评这件事》[doge],2020-07-05 00:33:33,14,0,不红温大王,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
回复 @橘猫sama :快复习去,2020-07-05 00:33:39,9,0,是一只沙丁鱼,5,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
[热词系列_知识增加][热词系列_知识增加],2020-07-05 00:33:44,1,0,qqcy8,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
回复 @橘猫sama :您心可真大[喜极而泣],2020-07-05 00:33:49,16,0,命运四重奏,6,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
在？您的书在哪里可以买到？[doge][doge],2020-07-05 00:34:00,5,0,名人堂悲剧,5,1,456237951,12.5,回忆,刀剑神域 爱丽丝篇 异界战争 -终章-
"亚丝娜:桐人！
诗乃:桐人！
爱丽丝:桐人！
直叶:桐人！
桐人:……
尤吉欧:桐人！
桐人:扶我起来，我要拉刀光！[doge]",2020-07-12 00:30:33,18804,191,今天又是核平的一天啊,6,0,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
顶上去,2020-07-12 00:42:31,45,0,雷金霖,6,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
"信长：祯丞！
松冈：...
信长：桐人！
松冈：尤吉欧！
                    [doge]",2020-07-12 00:47:45,2898,0,最菜的橡皮擦,6,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
回复 @紺琉璃の夜 :浪费那么多篇幅就是为了猪人的自我救赎 麻了 说是福利我只感觉恶心,2020-07-12 00:51:50,341,0,文武贝赟无敌,6,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
直叶:尼酱！,2020-07-12 00:54:38,37,0,救士魔王,6,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
"——さぁ、立って、僕の英雄!
经过半年的漫长等待，篇幅巨大的刀剑神域uw篇终于迎来了尾声，想必大伙早已迫不及待了吧，看刀剑动漫的感动之余去补充一下刀剑小说也是不错的选择，小说剧情比动漫更完整，欢迎动画党和小说党入群哦～群里有资源～群号看我的个性签名～",2020-07-12 00:57:14,54,0,天河落彩_,6,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
ugo是真爱[doge],2020-07-12 00:57:40,77,0,乔儿酱今天也很可爱,6,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
回复 @最菜的橡皮擦 :考哥暴怒[doge],2020-07-12 01:01:03,41,0,清风不如你呀,5,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
回复 @最菜的橡皮擦 :某个六分就是弟弟，还是松岗信长是真爱[doge],2020-07-12 01:03:25,52,0,周化人,6,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
这就是男人之间的快乐[抠鼻],2020-07-12 01:06:23,29,0,赤枫萧雪,6,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
回复 @最菜的橡皮擦 :考哥.jpg,2020-07-12 01:17:52,7,0,寂宁啊,6,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
我好悲伤，我在雨中拉刀光,2020-07-12 01:19:46,41,0,祈愿Elysia,6,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
回复 @周化人 :你说的是uma吧，uma的确是弟弟[doge],2020-07-12 01:20:14,4,0,bon7k7k,6,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
建议别开评分呢，更完了再开,2020-07-12 01:21:24,15,0,進撃の牛奶,5,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
回复 @文武贝赟无敌 :这是人族和暗族和平必须的,2020-07-12 01:22:52,8,0,爱香日和,6,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
男男[热词系列_知识增加],2020-07-12 01:23:04,2,0,难易无常,6,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
Ugo快撒剋！,2020-07-12 01:23:27,4,0,这只冰狐不太冷,6,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
"——さぁ、立って、僕の英雄!
经过半年的漫长等待，篇幅巨大的刀剑神域uw篇终于迎来了尾声，想必大伙早已迫不及待了吧，看刀剑动漫的感动之余去补充一下刀剑小说也是不错的选择，小说剧情比动漫更完整，欢迎动画党和小说党入群哦～群里有资源～
一群915724610（两个太阳以上才可加入，低于此等级请进二群）
二群779672574（密码151292）
欢迎刀剑粉~",2020-07-12 01:24:05,22,0,网恋丰川祥子被骗168億,5,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
我桐谷和人是真的没有开挂，那天茅场晶彦来我家里，给我展示了很多sao操作，二刀流、两秒十七刀、二十七连击，我发现，这个东西我不需要的，因为我TM还在轮椅上啊。。。。。[滑稽][妙啊],2020-07-12 01:26:51,784,0,-地狱之魇-,3,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
回复 @清风不如你呀 :这个是真事，松冈喝醉后，信长叫他祯丞，他没回答，叫他桐人，他回了个尤吉欧。（来自刀剑的某个活动）,2020-07-12 01:29:35,1620,0,永久的昵称,6,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
回复 @永久的昵称 :你们不要把角色和声优放一块啊，嗯？他自己说的啊，那没事了[doge],2020-07-12 01:31:27,274,0,樱雪Suzerain,6,1,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
"历经了两年的时间，《刀剑神域Alicization》终于迎来了完结篇，《刀剑神域 爱丽丝篇 异界战争 -终章- 》共11话，将为全48话的第三季画上句号。这里对动画进行一定的介绍。
不同于上一季度相对悲观的看法，本季度笔者还是持比较乐观的心态的。首先因为疫情影响，本该上季度放送的异界战争终章也顺延了一季，经过一季度的延期，工期问题肯定是能够有所缓解的，因为疫情主要影响的是录音方面，对作画方面的影响也有但并不会导致彻底停工，因此本来春季就该放送的番剧多了大约两个月的制作时间，一些原本可能不得不妥协的画面可能反而精益求精了起来，这或许是件好事。
另外，在主要STAFF方面有一些调整，摄影监督轮换了一个（主要的胁显太郎还在），CG监督也换了一位，这两个职位的调整应该不会有多大的影响，胁显太郎酷炫的摄影风格始终是爱丽丝篇的一大看点。再就是动作作画监督由上一季的菅野芳弘一人负责追加了丸山大胜。因为丸山大胜是首次担当动作作画监督，所以关于他的信息并不多。根据本作动画制片人金子敦史介绍：“丸山桑是第一次参与『SAO』系列的动画师，却非常的出彩，而且还是全能型，非常擅长剑戟、拳与拳的战斗，甚至连特效都能绘制。”可以说丸山大胜获得了制片人的认可，不过笔者认为丸山的能力应该是低于菅野的。两个动作作监到底意味着什么，现阶段也只能猜测一下，悲观一点的话，可能意味着菅野芳弘不会像上季度那样大量出力（几乎所有动作卡都会修），乐观一点的话，可能意味着这季度关键回的战斗场景的工作量很大，菅野集中精力修关键回的战斗场景。
不过根据目前的访谈至少可以看得出来，制作方将这一期视为十分关键的一期，那么在制作方面可能会比前两期投入更多的资源，制片人金子敦史表示第1话的张数就达到了11000张左右（业界平均水平是4000张左右），而最新的PV中还能看出有大量动作场景，贝尔库利对阵加百列的一话风格十分突出。第1话的先行特别插画是由原画师黑田结花绘制的，她在SAO2中负责了不少卡，这次由她来负责插画也有可能是一个信号，最终季会请更多有能力的原画师参与（而不是上一季度几乎只能靠菅野一人撑场）。
如果您想在B站尽快获取关于《刀剑神域Alicization》的信息或幕后小趣事，可以关注一下本账号，本账号会传达有关动画制作公司A-1 Pictures＆CloverWorks的有用信息，以及对动画staff进行科普。",2020-07-12 00:30:17,22315,212,A1PxCLW情报速递,5,0,243827639,13,Under World大战,刀剑神域 爱丽丝篇 异界战争 -终章-
