content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
"这部是刀剑神域进击篇：无星之夜的咏叹调
遗憾的是三部曲的第一部，也就是这部，没有引进国内影院。
不过好在现在啊b买了版权，没补的可以在啊b补一下这部。
过几天第二部刀剑神域进击篇：黯淡黄昏的诙谐曲，就要引进国内影院了。
大家可以在啊b补完第一部，再去影院观赏第二部。[脱单doge]",2023-05-20 10:06:30,37553,405,Amatsukayui,6,0,741219885,正片,,刀剑神域进击篇：无星之夜
👌,2023-05-20 10:09:21,7,0,天行逸事,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
暗淡黄昏的谐谑曲吧，诙谐曲是什么鬼,2023-05-20 10:14:04,54,0,黄前久,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
我自己下bd版得了，乱改导致很多期待没了,2023-05-20 10:14:47,43,0,账号已注销213741,5,1,741219885,正片,,刀剑神域进击篇：无星之夜
没有说三部曲，进击篇就这两部电影。,2023-05-20 10:14:51,407,0,ドラAもん,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
挖槽，我竟然不知道[哦呼],2023-05-20 10:15:04,12,0,土不土不口耳可,5,1,741219885,正片,,刀剑神域进击篇：无星之夜
过几天第二部？这么爽？,2023-05-20 10:15:09,42,0,飞萤焰华,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
唉，可惜我在外面看了,2023-05-20 10:15:14,4,0,晓梦kive,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
[笑哭][笑哭][笑哭]，我记得刀剑还有个原创剧场版要做，不知道啥时候定档,2023-05-20 10:15:28,10,0,雷金霖,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
"本剧场版因为加入了小说没有的原创角色，导致了剧情出现了不同于小说的原创变化，于是原作者川原砾为本剧场版撰写了全新的两个短篇小说《Memorable Song》和《开服次日》，补充了剧情，有兴趣的可以自行搜索阅读
同时还用两个广播剧补充了西莉卡和莉兹贝特开服时的故事BV1bR4y1W7TG
建议配合本剧场版观看",2023-05-20 10:16:31,1605,0,安須由美子,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
就三部曲吗   不可至吧    应该会吧刀剑sao画完吧,2023-05-20 10:17:17,48,0,风雨丶唯爱nI,5,1,741219885,正片,,刀剑神域进击篇：无星之夜
回复 @黄前久 :可能桐人转职成小丑了吧,2023-05-20 10:17:21,32,0,压路机最速传说,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
回复 @清涟幻月 : 26号第二部，国内引进,2023-05-20 10:17:35,29,0,Love奏的天使熊,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
第一部那没事了[吃瓜],2023-05-20 10:20:05,12,0,lay_free,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
回复 @Love奏的天使熊 :真棒。希望真能引进吧。审核制度不是特别好，柯南m26都没引进，不知道后面有没有,2023-05-20 10:20:24,19,0,飞萤焰华,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
第三部叫什么呀,2023-05-20 10:20:37,4,0,瑟瑟发抖_口嗨,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
啊？进击篇剧场版只做三部吗？我记得进击篇刚动画化的时候就有消息说前面几部做成剧场版，后面做成TV版,2023-05-20 10:21:22,47,0,一生只爱观星大人,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
没时间在看 只能等免费得了,2023-05-20 10:21:49,9,0,想吃朱古力就爱吃,5,1,741219885,正片,,刀剑神域进击篇：无星之夜
所以进击篇到底有几部[tv_疑问],2023-05-20 10:22:04,8,0,ゆ柚,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
省流：怨种消费者,2023-05-20 10:22:18,19,0,阿尔托莉雅_sr,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
回复 @盏花与城南听海 :进击篇就只有二部剧场版啊,2023-05-20 10:23:18,23,0,雷金霖,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
"这里我结合小说正篇 进击篇 特典小说 番外小说 评论音轨 广播剧 等资料
为大家盘点一下 
这部刀剑神域进击篇剧场版无星之夜的咏叹调 
中出现的30个彩蛋或者细节以及各种延伸的补充
时间是按照BD标注的 可能会对不上
因为有五千个字 所以都发在楼中吧[doge]",2023-05-20 10:00:13,11904,233,界之星,6,0,741219885,正片,,刀剑神域进击篇：无星之夜
"一：
首先剧场版开头26秒处
米特第一人称视角的右上方处有贝塔测试标志
从小说中可以得知此时封测的最前线是第十层千蛇城
根据小说原文 SAO的封测时间是整个八月
距离封测结束还有1分钟也就是说 
开头这段的时间点为2022年8月31日
几名封测玩家正在尝试突破迷宫区 抵达BOSS房间的门口
哪怕是看到一眼BOSS的模样 也是极大的情报",2023-05-20 10:00:27,1423,0,界之星,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
"二：
接着来到42秒处
画面右侧的蛇形怪物按照小说的描述名字应该是「禁卫兵‧大蛇」或者「蛇魔‧精英护卫」
（前者出自进击篇1 后者出自进击篇5）
画面左边格挡住蛇形精英怪物的封测玩家
的确就是迪亚贝尔 
除却样貌和装备 
决定性的证据是川原在进击篇剧场版1的评论音轨中说
迪亚贝尔同样看到过此怪在1分13秒处释放的技能
这段可以与之后76分51秒处的地精领主的技能做个对比
确实是一模一样 
被包围时使用的范围技能 附带麻痹效果
进击篇中桐人对于封测时期第十层的回忆可谓是极其糟糕
不断的吐槽这层的迷宫和怪物是多么的变态
这边也顺便补充一下 
进击篇与正篇为一个世界一条时间线
而并非什么平行世界
虽然有很多设定矛盾的地方 但大家可以将其视为优化补丁
（当然也有很多单纯的就是设定出问题的地方）
归属正篇的最新篇章UR篇就与进击篇的内容遥相呼应
ME番外中的蜜月甜蜜时光也经常回忆起进击篇中发生过的往事 
而旧TV第一季第二集其实也是改编的进击篇的内容
（进击篇连载于2011年8月1日-4日 那时动画第一季都没官宣制作）
因为我发现好多朋友都搞错了这些点 所以这边提一嘴",2023-05-20 10:00:37,900,0,界之星,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
"三：
接下来是1分28秒开始的内容
这个片段可以看到桐人封测时期
使用的武器与防具被动画制作的类似于阐释者与黑龙大衣
但完全不是同一样东西 这是一个很明显的彩蛋",2023-05-20 10:00:46,571,0,界之星,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
"四：
封测的结尾 1分53秒处 
这里只有桐人一人打开了BOSS房间的大门
可即使如此
按照进击篇小说的描述 
桐人还是没能看到这其中的第十层楼层BOSS武士领主的样子
如此理解的话就和小说相照应上了
而这个BOSS武士领主也在剧场版序列之争中出现过",2023-05-20 10:00:55,563,0,界之星,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
"五：
接下来来到现实 这部分的细节或者彩蛋是最多的
首先2分23秒处
从评论音轨的透露我们可以确定 
画面的背景是东京标志性的地标涩谷十字路口
而亚丝娜的手机中显示了她的成绩
71.6的偏差值属于是超级学霸的范畴
而背后大屏幕中播送的滚动字幕正是
11月6日下午1点 SAO正式开服的消息",2023-05-20 10:01:05,529,0,界之星,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
[喜欢][打call],2023-05-20 10:01:10,26,0,羙氵,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
"六：
然后2分57秒处 
由河野监督提出创意的可爱猫猫闹钟响起
显示时间为早上6点20分
而4分14秒处 亚总的妈妈结城京子
说亚丝娜没有在7点05分之前到餐厅用餐
可以说明亚丝娜整个起床过程花了45分钟以上
结合圣母圣咏篇的内容可以知道结城家早饭是7点10分 晚餐是6点30分
因为规矩是亚丝娜必须提前五分钟到餐桌就坐
趁着这个机会我们也可以比对一下
进击篇剧场版中亚丝娜的房间与时间线接近4年之后序列之争中亚丝娜的房间的区别
可以说是一模一样 被整理的很好",2023-05-20 10:01:13,615,0,界之星,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
赞美大佬,2023-05-20 10:01:29,16,0,墨色之枫_,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
发现大佬！,2023-05-20 10:01:31,10,0,终末の幸福希梅亚,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
[惊喜][惊喜][惊喜][惊喜],2023-05-20 10:01:31,4,0,Dive夏,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
"七：
镜头回到餐桌
4分11秒到56秒处
我们可以看到亚丝娜的爸爸 结城彰三
拿着一份英文报纸
这个（4分23）画面中 报纸最大的可见标题的意思是
lnveslment tech startups slumps 科技初创企业下滑
而另一个画面中可以看到报纸的名字是
THE IDNI JOURNAL 某种架空的国际日报
这个细节就很符合亚总父亲企业家的人设",2023-05-20 10:01:34,494,0,界之星,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
"八：
接下来5分46秒开始
让我们随着亚丝娜来到她目前就读的学校
位于东京港区的私立永恒女子学院
其原型是始建于1908年的圣心女子学院中学部
是一所贵族女校
这所学校在刀剑神域乃至川原的另一部作品加速世界之中都有很强的存在感
很多渊源纠葛都起始于此 （简而言之就是大BOSS的邪恶大本营） 
不过这边就不多细说了",2023-05-20 10:01:42,436,0,界之星,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
[热词系列_你币有了],2023-05-20 10:01:49,7,0,秦匀,4,1,741219885,正片,,刀剑神域进击篇：无星之夜
"九：
这边7分35秒处
亚丝娜在黑板上作答
题目是将日语：「ベットの下で眠っているねこはクロです」睡在床下的喵咪叫小黑
翻译成英语 
亚丝娜很轻松的完成作答The cat sleeping under the bed is Kuro
赢得坐下一片掌声",2023-05-20 10:01:49,393,0,界之星,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
爱了,2023-05-20 10:01:55,5,0,混沌恶屑咕哒,4,1,741219885,正片,,刀剑神域进击篇：无星之夜
哇哦是你,2023-05-20 10:01:55,6,0,迟晚早不睡,5,1,741219885,正片,,刀剑神域进击篇：无星之夜
"十：
在接下来7分57秒处
米特从标牌为3-4的班级中走出
可以推断出米特与亚丝娜都是4班的学生",2023-05-20 10:01:56,248,0,界之星,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
牛啊！发现刀剑导航书！[打call],2023-05-20 10:01:58,24,0,年幼的骑士王,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
🐮,2023-05-20 10:02:00,4,0,迷失人世,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
"十一：
夕阳西下 8分33秒处
从米特操控的三岛和亚丝娜操控的大熊猫角色很容易看出
亚丝娜与米特玩的这款游戏是铁拳系列
在进击篇剧场版评论音轨中也被证实确实如此",2023-05-20 10:02:04,308,0,界之星,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
前排提醒：这进击篇第一部与后面几季没关系，看了第一季就弃坑的可以放心观看。而对于没看过刀剑神域的路人来说看这部剧场版也不会有什么问题，因为这部可以理解为sao篇的重制版，也加了很多新东西。到时候要去看暮色黄昏的如果没看这部建议补补，最后今天是520，咱们今天就好好的恰桐亚糖吧，才不是因为我是单身狗呢[傲娇],2023-05-20 10:05:59,11573,106,长臂匹诺曹,6,0,741219885,正片,,刀剑神域进击篇：无星之夜
进击篇是比村奇石画的那版吧，跟之前tv不是同一版[doge],2023-05-20 10:15:10,31,0,冷慕叶红,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
回复 @冷慕叶红 :比村奇石的漫画也只是小说的漫画化，本体是小说谢谢,2023-05-20 10:22:52,74,0,安須由美子,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
这大概是进击篇第几本书的内容啊,2023-05-20 10:34:06,1,0,芸阿娜拿到冠军皮肤了,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
回复 @九百狂划 :应该是第一卷,2023-05-20 10:43:30,4,0,长臂匹诺曹,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
回复 @安須由美子 :又没说不是小说，他每个篇章找一个新的漫画家画，我这样说也没问题吧😲,2023-05-20 10:45:46,4,0,冷慕叶红,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
回复 @九百狂划 :tv讲的是桐人视角的故事，进击篇无星之夜主要讲的是亚丝娜刚进游戏在遇到桐人之前的故事,2023-05-20 10:50:25,18,0,肯德基规则怪谈,5,1,741219885,正片,,刀剑神域进击篇：无星之夜
刀剑算是我的入坑作了（其实最先看的是fz，但看了六集都没看明白讲的啥，就弃了，后来看刀剑算是真正入坑，然后才发现fz做的是真好），好多年前看的第一季，情节什么的现在还记得很清楚，后面几季却忘的差不多了[笑哭],2023-05-20 10:53:46,5,0,村长爱吃果果糖,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
回复 @冷慕叶红 :这部画风和第一部有些不同，个人感觉第一部的要更舒服一点，但是这部画风也很好[蛆音娘_卖萌],2023-05-20 11:05:19,11,0,长臂匹诺曹,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
这就把我舍友拖过来看这部[脱单doge],2023-05-20 11:06:04,1,0,藤都子不是疼肚子,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
回复 @冷慕叶红 :艹，回不去了[笑哭],2023-05-20 11:18:16,0,0,长臂匹诺曹,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
回复 @九百狂划 :第一卷的1/4，进击篇第一卷一共讲了两层，后面3/4全是第二层内容,2023-05-20 11:31:24,4,0,Science_H,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
回复 @头皮发麻的德莉傻 :因为后面就看不下去了[tv_doge]（我个人,2023-05-20 11:54:53,2,0,御坂美琴ぞ,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
回复 @九百狂划 :进击篇第一卷的前半卷，后面还有第二层的故事篇幅原因没做,2023-05-20 12:09:33,3,0,夜に浮かんでいた,5,1,741219885,正片,,刀剑神域进击篇：无星之夜
回复 @御坂美琴ぞ :去看第二季的绝剑篇，刀剑真正的封神篇[大笑],2023-05-20 12:11:50,3,0,夜に浮かんでいた,5,1,741219885,正片,,刀剑神域进击篇：无星之夜
回复 @头皮发麻的德莉傻 :因为第二季有牛[星星眼],2023-05-20 13:10:45,1,0,清子ct,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
回复 @九百狂划 :第一卷,2023-05-20 13:43:24,0,0,Midnighthyh,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
回复 @云深锁千秋 :谢谢，我进击篇小说之前还买了蛮多的，但是对电影内容不太了解[雪绘_乖巧],2023-05-20 13:59:48,1,0,芸阿娜拿到冠军皮肤了,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
刀剑喜欢第一二季个人觉得第二季很好看啊特别喜欢诗乃乃第三季有点看不下去倒是,2023-05-20 17:56:07,2,0,LVPZX8,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
这部的小说很好看啊,2023-05-20 19:57:34,1,0,澜萤lay,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
漫画版完结了，没画多少,2023-05-20 22:07:28,1,0,Thegoldenmoment,6,1,741219885,正片,,刀剑神域进击篇：无星之夜
