content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
大家不要那么讨厌元太啦，你看其他小孩感情线乱得一匹。只有元太是斩却三千烦恼丝，么得感情的鳗鱼饭杀手[doge],2020-06-09 09:37:04,17225,148,Mongkok-x,6,0,710444604,1,云霄飞车杀人事件,名侦探柯南
因为元太我自幼对鳗鱼饭产生了兴趣[doge],2020-06-09 10:11:30,1580,0,爱和桃子,6,1,710444604,1,云霄飞车杀人事件,名侦探柯南
回复 @有猫就叫甜牛奶 :我也 以后有机会想尝尝什么味[妙啊],2020-06-09 11:46:28,492,0,麻煩鬼的災難,6,1,710444604,1,云霄飞车杀人事件,名侦探柯南
哈哈哈哈哈哈我也因为元太对鳗鱼饭产生了兴趣,2020-06-09 17:21:55,387,0,印斯茅斯深潜者,6,1,710444604,1,云霄飞车杀人事件,名侦探柯南
草(ಡωಡ)hiahiahia,2020-07-07 19:09:26,42,0,不清楚别问我了,6,1,710444604,1,云霄飞车杀人事件,名侦探柯南
但是鳗鱼饭真的很好吃（点头）,2020-07-15 22:20:43,384,0,夏初月ヒヤシンス,6,1,710444604,1,云霄飞车杀人事件,名侦探柯南
小时候因为元太我去吃的鳗鱼饭，然后！！真好吃啊啊,2020-07-16 22:05:15,208,0,碳水碳水だいすき,6,1,710444604,1,云霄飞车杀人事件,名侦探柯南
哈哈哈哈哈哈哈,2020-07-20 14:22:00,22,0,入兑批,6,1,710444604,1,云霄飞车杀人事件,名侦探柯南
我每次听到元太说鳗鱼饭，第一是想：元太怎么这么喜欢鳗鱼饭，后来：我也想吃啊啊啊啊啊[捂眼],2020-07-20 18:24:25,204,0,夕林扬卷,6,1,710444604,1,云霄飞车杀人事件,名侦探柯南
元太：鳗鱼饭打钱[妙啊],2020-07-28 10:18:57,119,0,诉诸无效,6,1,710444604,1,云霄飞车杀人事件,名侦探柯南
可是鳗鱼饭真的很好吃[妙啊],2020-07-29 03:53:02,84,0,汐糸,6,1,710444604,1,云霄飞车杀人事件,名侦探柯南
回复 @一条安静的静静 :照烧酱鳗鱼饭超好吃！,2020-07-30 18:34:43,51,0,给大伙哼唧一声助个兴,6,1,710444604,1,云霄飞车杀人事件,名侦探柯南
回复 @麻煩鬼的災難 :照烧酱的鳗鱼饭超好吃[tv_馋],2020-07-30 18:35:24,32,0,给大伙哼唧一声助个兴,6,1,710444604,1,云霄飞车杀人事件,名侦探柯南
回复 @想揉猫肉球 :是嘛是嘛！我馋了,2020-07-30 21:42:02,5,0,麻煩鬼的災難,6,1,710444604,1,云霄飞车杀人事件,名侦探柯南
回复 @麻煩鬼的災難 :鱼皮合着酱汁有一点脆脆软软的口感，鱼肉入味非常好吃。之前在味干拉面吃的鳗鱼饭[tv_馋],2020-07-30 22:02:03,66,0,给大伙哼唧一声助个兴,6,1,710444604,1,云霄飞车杀人事件,名侦探柯南
回复 @麻煩鬼的災難 :恨不得弄一整碗鳗鱼吃[tv_馋][tv_馋][tv_馋],2020-07-30 22:02:26,17,0,给大伙哼唧一声助个兴,6,1,710444604,1,云霄飞车杀人事件,名侦探柯南
回复 @想揉猫肉球 :啊啊啊啊 大晚上给我看饿了,2020-07-30 23:09:27,8,0,麻煩鬼的災難,6,1,710444604,1,云霄飞车杀人事件,名侦探柯南
元太可是灰原猜的BOSS的可能人选之一呢[doge],2020-08-02 08:29:34,39,0,暮悬铃,5,1,710444604,1,云霄飞车杀人事件,名侦探柯南
老实说，鳗鱼饭确实很好吃,2020-08-05 15:35:03,16,0,晴天-太平洋的海龟,6,1,710444604,1,云霄飞车杀人事件,名侦探柯南
元太，永远滴神,2020-08-16 23:21:19,12,0,尼可の白丝,6,1,710444604,1,云霄飞车杀人事件,名侦探柯南
小时候没看现在来补番的我[囧],2021-12-30 18:18:32,762,23,汐岚生处鹤归松,6,0,336754537,2,董事长千金绑架事件,名侦探柯南
一样,2022-12-04 22:35:32,4,0,82年的火腿肠,5,1,336754537,2,董事长千金绑架事件,名侦探柯南
一样[笑哭]主要是觉得集数太多了,2022-12-30 09:47:58,40,0,idealist_67,6,1,336754537,2,董事长千金绑架事件,名侦探柯南
我也,2023-01-20 16:18:55,0,0,柒鹊南飞,5,1,336754537,2,董事长千金绑架事件,名侦探柯南
+1,2023-10-12 19:19:43,0,0,鱼妄柒,5,1,336754537,2,董事长千金绑架事件,名侦探柯南
+1,2023-10-17 22:47:54,0,0,bili小草莓蛋糕,4,1,336754537,2,董事长千金绑架事件,名侦探柯南
小时候看过，但是太小了没什么印象来补番的我[热词系列_吹爆],2023-11-27 13:49:33,15,0,isuamu,6,1,336754537,2,董事长千金绑架事件,名侦探柯南
小时候不敢看,2024-03-09 13:41:44,9,0,山-_-羊,5,1,336754537,2,董事长千金绑架事件,名侦探柯南
加一！！！,2024-05-14 21:19:33,0,0,扶摇直上p,3,1,336754537,2,董事长千金绑架事件,名侦探柯南
小时候都是东看一集西看一集,2024-08-19 12:05:17,9,0,悲伤的小鱼蛙,5,1,336754537,2,董事长千金绑架事件,名侦探柯南
人生第一部番就是柯南，真怀念以前的暑假啊[大哭],2024-08-25 19:42:28,2,0,黑康HK,6,1,336754537,2,董事长千金绑架事件,名侦探柯南
我也是,2024-11-14 12:46:17,0,0,就业率棒,5,1,336754537,2,董事长千金绑架事件,名侦探柯南
小时候不敢看[笑哭],2024-11-18 13:20:33,1,0,想去看極光,6,1,336754537,2,董事长千金绑架事件,名侦探柯南
+1感觉看不完[笑哭],2024-11-21 21:42:28,0,0,桂花曲,4,1,336754537,2,董事长千金绑架事件,名侦探柯南
+1,2024-11-22 12:15:59,0,0,曦鹓-,5,1,336754537,2,董事长千金绑架事件,名侦探柯南
一样啊[藏狐]，1000多集呀，我得看到何年何月,2024-11-24 15:57:17,0,0,小猛非酋长,5,1,336754537,2,董事长千金绑架事件,名侦探柯南
哈哈我也是[微笑],2024-11-30 00:34:11,0,0,咸子喵,5,1,336754537,2,董事长千金绑架事件,名侦探柯南
其实只要看到600多集或800集就差不多了，后面画风也崩剧情也崩，不如去看解说[藏狐],2025-01-01 14:16:38,4,0,献给_阿尔吉侬的花束,6,1,336754537,2,董事长千金绑架事件,名侦探柯南
+1,2025-01-29 20:41:27,0,0,Rivelata,5,1,336754537,2,董事长千金绑架事件,名侦探柯南
+1,2025-01-31 22:17:21,0,0,晚鱼不想吃鱼,6,1,336754537,2,董事长千金绑架事件,名侦探柯南
至今主线剧集,2023-06-01 07:26:25,61,0,诠释细节手法,6,0,676761130,3,偶像密室杀人事件,名侦探柯南
洋子小姐的第一次登场！洋子也是一个很温柔的偶像，是毛利小五郎喜欢了一千多集的女人（误），算是一位半常驻角色，从这一集开始就完全给洋子小姐安排了不会被怀疑的人物形象叭（笑[Cat2_CatAMail][Cat2_CatAMail],2021-11-26 09:50:36,1070,5,Cat然,6,0,676761130,3,偶像密室杀人事件,名侦探柯南
赞评离？,2022-10-12 16:39:16,5,0,恭喜这个b__站用户,5,1,676761130,3,偶像密室杀人事件,名侦探柯南
不太理解为什么要剧透。我第一次看,2025-03-09 14:39:37,6,0,我是丘丘丘,5,1,676761130,3,偶像密室杀人事件,名侦探柯南
回复 @我是丘丘丘 :这也算剧透吗？,2025-05-08 23:47:36,6,0,Truth_未央,4,1,676761130,3,偶像密室杀人事件,名侦探柯南
回复 @我是丘丘丘 :这不算哈,2025-07-17 08:51:01,1,0,傅诗淇亲传弟子,6,1,676761130,3,偶像密室杀人事件,名侦探柯南
回复 @我是丘丘丘 :不想被剧透的话还是尽量不要开弹幕看评论了，也不好保证一定不会看到剧透的弹幕评论,2025-08-17 09:28:21,3,0,陌语玫瑰_K,5,1,676761130,3,偶像密室杀人事件,名侦探柯南
早期怀疑那么多，完全是因为早期青山根本不打算连载那么多[tv_笑哭],2022-08-09 19:29:56,472,5,天独am,5,0,676761130,3,偶像密室杀人事件,名侦探柯南
后来发现挺赚钱,2022-08-12 00:57:46,52,0,小小怪怪兽兽12138,6,1,676761130,3,偶像密室杀人事件,名侦探柯南
原本是三个月就打算完结的漫画来着[无语],2024-10-05 20:51:15,12,0,还有打了一针,3,1,676761130,3,偶像密室杀人事件,名侦探柯南
回复 @还有打了一针 : 高桥的福星小子也是！准备出短篇拉姆还是女配结果,2024-10-16 15:24:42,0,0,攀枝花赛博小狮虎,6,1,676761130,3,偶像密室杀人事件,名侦探柯南
"早期人物不够, 怀疑来凑",2024-12-05 18:53:31,2,0,拳力有戏,6,1,676761130,3,偶像密室杀人事件,名侦探柯南
"早期人物不够, 怀疑来凑",2024-12-05 18:53:32,0,0,拳力有戏,6,1,676761130,3,偶像密室杀人事件,名侦探柯南
这一集是许多柯南同人小说 主角赚得第一桶金,2021-12-29 10:00:00,654,12,魑---魅---魍-魉,6,0,421790802,4,大都会暗号地图事件,名侦探柯南
哈哈哈 有推荐吗,2022-02-18 18:04:35,13,0,LadyKey,6,1,421790802,4,大都会暗号地图事件,名侦探柯南
确实，这种脏款留着也是留着，不如收下换钱[脱单doge],2023-02-01 16:45:35,50,0,不羡仙11112,5,1,421790802,4,大都会暗号地图事件,名侦探柯南
还真是,2023-04-09 00:57:19,3,0,皮卡pic,6,1,421790802,4,大都会暗号地图事件,名侦探柯南
本柯南同人作者表示真实住了,2023-08-12 21:59:18,39,0,我市亿万劳工,5,1,421790802,4,大都会暗号地图事件,名侦探柯南
为什么这么说,2024-08-24 15:06:04,0,0,阅文集团lv5作家曹雪芹,6,1,421790802,4,大都会暗号地图事件,名侦探柯南
回复 @阅文集团lv5作家曹雪芹 :很多老六主角英雄救美之后把钱吞了，或者直接黑吃黑，反正就是把钱吞了[脱单doge],2024-10-02 11:32:19,23,0,铃音未歌,6,1,421790802,4,大都会暗号地图事件,名侦探柯南
还真是[笑哭][笑哭],2024-11-04 18:53:17,0,0,三顾游鲤,6,1,421790802,4,大都会暗号地图事件,名侦探柯南
有没有把乌丸莲耶的城堡卖了的[吃瓜],2024-12-15 14:28:08,5,0,夜无声-,6,1,421790802,4,大都会暗号地图事件,名侦探柯南
回复 @夜无声- : 有的，[doge]甚至不是卖掉，而是在组织眼皮子底下把朗姆装好的几卡车黄金都偷走了[吃瓜],2025-05-18 21:08:56,3,0,易只景晨,5,1,421790802,4,大都会暗号地图事件,名侦探柯南
回复 @易只景晨 :名字有没[滑稽],2025-12-20 13:46:23,0,0,一路到黑坑,5,1,421790802,4,大都会暗号地图事件,名侦探柯南
回复 @一路到黑坑 :小绿江的，叫从名柯开始主角光环失效了，好看。顺便还调教了少年侦探团，兰也知道新一就是柯南，还是陪新一演戏[脱单doge],2026-04-01 23:42:19,1,0,易只景晨,5,1,421790802,4,大都会暗号地图事件,名侦探柯南
回复 @易只景晨 :谢谢[笑哭],2026-04-01 23:59:17,0,0,一路到黑坑,5,1,421790802,4,大都会暗号地图事件,名侦探柯南
别再问为什么评论不见了，以前的评论都在第一集里，现在每一集都设置了评论，这样好事，在每一集吐槽每一集，相信马上就多起来了[tv_doge],2021-11-26 19:36:58,765,4,我家的嘿嘿,6,0,421790802,4,大都会暗号地图事件,名侦探柯南
回复 @FAm_Renderer :？,2022-04-24 14:29:11,0,0,外圆内方是也,6,1,421790802,4,大都会暗号地图事件,名侦探柯南
[羞羞],2022-06-21 12:56:20,0,0,随机抽取幸运儿写作业,5,1,421790802,4,大都会暗号地图事件,名侦探柯南
[doge],2022-10-24 00:32:52,1,0,levefsp,2,1,421790802,4,大都会暗号地图事件,名侦探柯南
你最好是,2023-01-01 16:09:27,0,0,勇敢勇敢哦的朋友,6,1,421790802,4,大都会暗号地图事件,名侦探柯南
"●暗号解读-狸猫暗号

前期TV改动较大，因此漫画中的一个暗号被删掉了

密文：【だいたせいかたいきたみはたてたんさたいだ】
解读：【たぬき】狸猫=【“た”抜き】=拔除【た】。读密文时将所有【た】去掉
原文：【大正解！君は天才だ！！】完全正确！你是天才！！

虽然这里删掉了这个暗号，但是后面的788集原创又有一个同类的狸猫暗号，算是一点遗憾的弥补吧：
第788话 有暗号的邀请函https://www.bilibili.com/bangumi/play/ep322595",2021-11-24 23:16:28,542,4,账号已注销,0,0,421790802,4,大都会暗号地图事件,名侦探柯南
噢噢噢噢。p,2022-03-02 09:08:19,0,0,FAm_Renderer,6,1,421790802,4,大都会暗号地图事件,名侦探柯南
原作开局露脸[笑哭],2024-12-15 13:12:00,65,2,米龙-八极天修炼中,5,0,721781399,5,新干线大爆破事件,名侦探柯南
原作琴酒真的好美丽的一张脸[喜欢],2025-01-20 18:33:02,15,0,瑞厘,5,1,721781399,5,新干线大爆破事件,名侦探柯南
怎么没有嘴巴,2025-08-21 15:06:19,0,0,汤圆拌水泥,6,1,721781399,5,新干线大爆破事件,名侦探柯南
名古屋是黑衣组织的老巢吧 列车篇也提到这个地方,2024-02-06 11:04:30,52,2,希儿的温柔的老公,5,0,721781399,5,新干线大爆破事件,名侦探柯南
漫画琴酒是真的帅啊,2024-10-01 15:56:05,16,0,ID60021841573,5,1,721781399,5,新干线大爆破事件,名侦探柯南
不对，是鸟取县,2025-07-24 22:14:24,0,0,陈年老番,4,1,721781399,5,新干线大爆破事件,名侦探柯南
原著漫画中柯南见到的确实是琴酒两人，柯南也正是从两人的谈话中得知了两人的代号为琴酒和伏特加，但是动漫组当年却把这集给改成了毫不相关的两个人。,2021-11-28 09:42:29,1485,14,枫叶红了墨莲,6,0,721781399,5,新干线大爆破事件,名侦探柯南
魔改,2021-11-28 14:27:06,22,0,Zone-正直少女李艺彤,6,1,721781399,5,新干线大爆破事件,名侦探柯南
谢谢科普,2021-12-14 13:21:39,3,0,亲爱的图图同学,6,1,721781399,5,新干线大爆破事件,名侦探柯南
原著哪里看啊,2021-12-29 22:45:44,4,0,大闲人无懮,5,1,721781399,5,新干线大爆破事件,名侦探柯南
回复 @大闲人无懮 :漫画_(:з」∠)_,2022-01-02 21:06:40,9,0,爱削梨,6,1,721781399,5,新干线大爆破事件,名侦探柯南
