content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
1：40：13这车有点像只小狗哈哈哈,2024-02-15 15:01:14,932,15,-星如雨-_,6,0,1500464541,正片,,名侦探柯南：零的执行人
潦草小狗[妙啊],2024-02-15 19:33:08,60,0,乔治酱,6,1,1500464541,正片,,名侦探柯南：零的执行人
哈罗的既视感哈哈哈哈哈哈,2024-02-16 21:06:09,73,0,墨花雨泪,6,1,1500464541,正片,,名侦探柯南：零的执行人
《间谍过家家》里邦德变的。[笑哭],2024-02-18 00:09:12,3,0,雪夜冷屐,6,1,1500464541,正片,,名侦探柯南：零的执行人
可惜了一辆豪车，小五郎到现在还在租车呢，透子直接把自己爱车干报废了[笑哭],2024-02-18 01:05:01,8,0,爱里寿宝宝,5,1,1500464541,正片,,名侦探柯南：零的执行人
mazda rx-7,2024-02-18 02:27:14,2,0,我还OK-,4,1,1500464541,正片,,名侦探柯南：零的执行人
所以哈罗来了[呲牙],2024-02-19 21:57:14,1,0,yumipiaoyang,6,1,1500464541,正片,,名侦探柯南：零的执行人
进改车行啊，修成新的[脱单doge],2024-03-01 19:16:24,0,0,雨淋焰,5,1,1500464541,正片,,名侦探柯南：零的执行人
可以换雨宫套件了,2024-03-13 10:32:50,0,0,SHIZUKU_11,6,1,1500464541,正片,,名侦探柯南：零的执行人
这让我想起了余华老师,2024-04-18 09:12:36,0,0,mk46785,6,1,1500464541,正片,,名侦探柯南：零的执行人
后面柯:差点以为死定了（真的笑死我了哈哈哈哈哈哈）,2024-05-04 21:17:40,1,0,勇者的随波逐流,5,1,1500464541,正片,,名侦探柯南：零的执行人
雪纳瑞吗[笑哭],2025-06-08 19:26:20,0,0,犯困不睡觉,6,1,1500464541,正片,,名侦探柯南：零的执行人
RX-7 FD：我何德何能[蔚蓝档案表情包_不行],2025-07-08 23:50:54,0,0,某斯达44444,6,1,1500464541,正片,,名侦探柯南：零的执行人
对，有点像我们小区的一条大🐩,2025-07-17 19:39:59,0,0,bili_61113457461,3,1,1500464541,正片,,名侦探柯南：零的执行人
关键是他的车牌号有点...,2025-08-14 20:45:13,0,0,寤魍魉,3,1,1500464541,正片,,名侦探柯南：零的执行人
也是辛苦马自达了,2026-02-10 18:05:24,0,0,唯爱霞柱时透无一郎,3,1,1500464541,正片,,名侦探柯南：零的执行人
虽然不知道大家看到的封面是什么样的，但我这边确确实实是毛利小五郎年轻时候的警察证件照[脸红],2024-02-22 01:08:40,573,36,LAREINA-V_V,6,0,1500464541,正片,,名侦探柯南：零的执行人
甚至文案都是毛利大叔,2024-02-22 01:10:57,6,0,LAREINA-V_V,6,1,1500464541,正片,,名侦探柯南：零的执行人
巧了，我也是[笑哭],2024-02-22 14:16:36,4,0,爱吃包子的樱桃,6,1,1500464541,正片,,名侦探柯南：零的执行人
巧了，我跟楼主也是一样的，我个人在B站里面看到名侦探柯南的剧场版零的执行者的封面也是跟楼主的图片是一样的,2024-02-22 20:40:30,24,0,欧布奥特曼特摄,5,1,1500464541,正片,,名侦探柯南：零的执行人
我也是,2024-02-23 19:00:09,2,0,北鸢丶玄黎,5,1,1500464541,正片,,名侦探柯南：零的执行人
巧了我也是[星星眼],2024-02-24 12:04:42,0,0,伟児,6,1,1500464541,正片,,名侦探柯南：零的执行人
"我封面是基德
还在想：这下不得不来看了[妙啊]",2024-02-24 16:26:46,43,0,宿梦之光,6,1,1500464541,正片,,名侦探柯南：零的执行人
我这里是基德[脱单doge],2024-02-24 18:10:57,4,0,Daviana_cc,5,1,1500464541,正片,,名侦探柯南：零的执行人
一样,2024-02-24 20:15:59,0,0,Kaash薇尔莉特,5,1,1500464541,正片,,名侦探柯南：零的执行人
我也是,2024-02-26 20:01:28,0,0,一只杂更的榕树吖,5,1,1500464541,正片,,名侦探柯南：零的执行人
显然是这几天换的,2024-02-26 22:28:52,0,0,NrosesJ,6,1,1500464541,正片,,名侦探柯南：零的执行人
也是,2024-02-27 07:07:31,0,0,路过的友好小鲨鱼,5,1,1500464541,正片,,名侦探柯南：零的执行人
回复 @NrosesJ :……这个剧场版从上线到现在一共也没几天，首页推荐封面肯定是一早准备好的，就像我当时看到的b站给阴阳师的cg弄的天域篇下的推荐配图是帝释天的腿下面写着“老婆的腿绝绝子”，我们玩家看到的都不太一样……,2024-02-27 07:43:47,4,0,LAREINA-V_V,6,1,1500464541,正片,,名侦探柯南：零的执行人
我也是。,2024-02-27 20:42:30,0,0,聻啖人心,6,1,1500464541,正片,,名侦探柯南：零的执行人
me2[tv_doge],2024-02-27 23:19:26,0,0,两国,6,1,1500464541,正片,,名侦探柯南：零的执行人
+1,2024-02-28 19:49:34,0,0,小书包走天下,4,1,1500464541,正片,,名侦探柯南：零的执行人
我的是基德,2024-02-29 01:20:31,1,0,蔚-衍,6,1,1500464541,正片,,名侦探柯南：零的执行人
本来以为是哪个up做的视频，看到播放量还挺多，然后看到了“电影”两个字,2024-02-29 11:03:16,1,0,こうこうへい,5,1,1500464541,正片,,名侦探柯南：零的执行人
我也,2024-02-29 12:44:02,0,0,八月铭,5,1,1500464541,正片,,名侦探柯南：零的执行人
我也是[笑哭][笑哭],2024-02-29 18:34:49,0,0,流水障,5,1,1500464541,正片,,名侦探柯南：零的执行人
我封面是基德,2024-03-01 19:58:07,0,0,飒飒西庭,5,1,1500464541,正片,,名侦探柯南：零的执行人
你最好是认真的……[无语][无语][无语],2024-02-16 18:39:52,397,16,长歌吟尽河星稀,6,0,1500464541,正片,,名侦探柯南：零的执行人
哈哈哈,2024-02-16 19:14:29,0,0,-tatah-,5,1,1500464541,正片,,名侦探柯南：零的执行人
回复 @地獄の迷茫い :不是，他用基德大人给我推荐零的执行人啊……就最后出现了个预告……,2024-02-16 19:52:26,76,0,长歌吟尽河星稀,6,1,1500464541,正片,,名侦探柯南：零的执行人
这太离谱了,2024-02-16 21:49:23,3,0,林白衣_,6,1,1500464541,正片,,名侦探柯南：零的执行人
被柯哀骗进来，真是无语了。,2024-02-17 12:09:18,0,0,世事难料知易行难,4,1,1500464541,正片,,名侦探柯南：零的执行人
回复 @长歌吟尽河星稀 :还有一版是毛利小五郎的好像[喜极而泣]，b站这封面太逆天了,2024-02-17 20:13:50,4,0,1-3戊二烯,6,1,1500464541,正片,,名侦探柯南：零的执行人
我记得这幕是电影院里m22最后放的m23的预告，的确从某种意义上也属于m22的一部分，哈哈哈哈哈哈我不行了，还是好好笑:-D,2024-02-18 15:39:25,61,0,Myth亦趋,5,1,1500464541,正片,,名侦探柯南：零的执行人
m22大陆上过院线没有？？我都忘了,2024-02-22 07:48:06,1,0,心态和体重一样稳嘞,5,1,1500464541,正片,,名侦探柯南：零的执行人
我槽，我的朋友我也一样：,2024-02-24 16:58:12,0,0,竖提卡狸,4,1,1500464541,正片,,名侦探柯南：零的执行人
回复 @长歌吟尽河星稀 :啊？就出场了个预告？？！！！[保卫萝卜_哭哭],2024-02-27 00:57:34,0,0,魔法少女星期日,5,1,1500464541,正片,,名侦探柯南：零的执行人
是这样的，泽塔还是特利迦奥特曼来着的，放的胜利队的照片，就是用来骗人的[辣眼睛][辣眼睛],2024-02-29 00:15:35,1,0,错过的风景呢,6,1,1500464541,正片,,名侦探柯南：零的执行人
我也是这个👆🏻，我好想说我记得这部没基德啊，难道我记错了[笑哭],2024-03-04 07:26:30,0,0,BaekAily,6,1,1500464541,正片,,名侦探柯南：零的执行人
可能故意的，这不就引起你的好奇点进来并且吐槽评论了[doge],2024-03-10 17:50:00,1,0,YawnGenus,6,1,1500464541,正片,,名侦探柯南：零的执行人
拉黑,2025-06-09 06:39:47,0,0,新野里的燃,5,1,1500464541,正片,,名侦探柯南：零的执行人
回复 @新野里的燃 :有啊，看最后,2025-08-20 02:01:04,0,0,NewType之光,5,1,1500464541,正片,,名侦探柯南：零的执行人
好像是彩蛋,2025-08-20 02:01:17,0,0,NewType之光,5,1,1500464541,正片,,名侦探柯南：零的执行人
原来一年前就有了，刚点进来骂了一通某站,2025-09-07 13:06:12,0,0,雪银之光,4,1,1500464541,正片,,名侦探柯南：零的执行人
