content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
前篇6.5后篇9.6，大家做的好啊,2023-04-21 14:25:40,3949,238,女娲后人瑾轩,6,0,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
现在6.1和9.8了[吃瓜],2023-04-22 09:34:10,169,0,魔法少女mahiro酱,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
回复 @魔法少女mahiro酱 :应当讨伐之兽——小太刀,2023-04-22 11:40:28,153,0,女娲后人瑾轩,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
啥情况，还没看，前篇小太刀，后篇没小太刀吗[滑稽],2023-04-23 07:08:54,317,0,小南快快恢复,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
现在5.8和9.8了,2023-04-23 23:51:09,20,0,全能代肝启明星,5,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
前篇5.7后篇9.8了,2023-04-24 20:00:56,16,0,策划请你做人一点,5,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
现在5.6了,2023-04-25 20:38:56,6,0,炼狱之断绝,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
5.5了,2023-04-29 12:15:57,3,0,红A的狗哥啊,2,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
前后篇不是一样的嘛,2023-05-01 20:45:31,5,0,-哦呀,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
5.4辣,2023-05-03 02:27:57,2,0,我被月亮祸害的一生,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
5.3啦哈哈哈哈哈哈哈哈,2023-05-07 03:54:51,2,0,盒子与黑猫,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
啥情况？还没看，很好奇。FGO玩过，不怕剧透,2023-05-13 03:12:31,24,0,Causeん理想,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
5.1咯,2023-05-24 02:09:59,0,0,茸方,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
五月底了，前篇5.1，后篇9.8[吃瓜],2023-05-29 15:43:58,8,0,枫叶飒飒兮木叶落,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
现在5.1和9.8了[脱单doge],2023-05-29 17:06:21,0,0,昨夜偏逢又漏雨,5,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
已经5.1拉,2023-06-08 13:38:36,0,0,喝苦茶子怕苦,5,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
5.0,2023-06-09 14:15:49,1,0,荣秩型拾肆,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
5.0了,2023-06-09 15:13:10,0,0,是小太阳啊w,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
5.0了 b友们做得好啊[吃瓜],2023-06-16 13:55:25,3,0,澜辞ouo,2,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
现在已经5.0和9.8了,2023-06-20 16:06:40,1,0,围地观天,5,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
5分了。。,2023-06-22 02:03:42,1,0,最爱小七濑,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
感觉得出来，圣枪那段想表现人面对神很渺小，但是渺小的人也有能力击碎星辰，然而实际表现效果。。。。窜天猴大战鱿鱼丝。,2023-04-20 22:28:31,6779,31,Golden-Chicken,5,0,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
哈哈哈哈哈哈哈哈哈哈,2023-04-21 00:43:27,14,0,嘎啦果王克里蓝,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
笑死了,2023-04-21 07:18:48,49,0,憨直的苗木君,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
就是没钱,2023-04-21 12:39:22,7,0,璇玑屏,5,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
hhhh,2023-04-21 12:59:16,0,0,灰色de世界,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
自动铅笔装笔芯[doge],2023-04-21 13:03:05,279,0,鳄鱼师傅吃火锅,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
回复 @璇玑屏 :怎么可能是没钱，没钱和单纯做不好很明显能看出来的,2023-04-21 18:09:05,56,0,晴栞,5,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
回复 @璇玑屏 :不是没钱，就是钱用错了方向。,2023-04-21 18:45:10,29,0,xo无锁畏ox,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
回复 @璇玑屏 :不知道小太刀的萌新是这样的,2023-04-21 18:48:42,29,0,゚゙゚゙゚Hydrangea,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
主觀想法客觀感受,2023-04-21 18:48:45,1,0,尼禄克劳狄污司,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
回复 @璇玑屏 :以及不知道FGO流水,2023-04-21 18:48:52,7,0,゚゙゚゙゚Hydrangea,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
回复 @云游破海 :虽然不缺钱，但是fgo电影和动画好像分不到多少游戏流水[doge],2023-04-21 19:03:32,5,0,Golden-Chicken,5,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
笑死我了，这样的，所以游戏里表现好很多[笑哭][笑哭],2023-04-21 19:49:01,3,0,gay气的非酋,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
回复 @Golden-Chicken :确实，但是觉得飞碟社没钱我还是觉得逆天,2023-04-21 20:34:47,5,0,゚゙゚゙゚Hydrangea,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
回复 @云游破海 :你说得对，但这不是飞碟社做的,2023-04-21 21:42:26,0,0,緒山真尋_official,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
回复 @云游破海 :这不是飞碟社的，飞碟社是不会找小太刀右京这个业界毒瘤的,2023-04-22 00:05:26,20,0,吾王の蘑菇,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
回复 @吾王の仙籁 :哦，下意识认为了,2023-04-22 01:32:17,0,0,゚゙゚゙゚Hydrangea,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
回复 @緒山真尋_official :哦，下意识认为了,2023-04-22 01:32:29,0,0,゚゙゚゙゚Hydrangea,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
笑死,2023-04-22 22:06:49,0,0,Thaumiel级充电宝,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
想要飞碟社的[大哭],2023-04-23 13:59:20,0,0,摆烂的星晨,5,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
表示bgm可以，但画面太拉了[辣眼睛],2023-04-26 13:28:18,1,0,牧南知知知,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
这就是人类的觉悟啊啊啊（指明知有小太刀偏向刀山行的master们）,2023-04-20 19:52:27,3161,10,神狱之国的爱丽丝,6,0,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
别说了别说了，已经[初音未来_哭了][初音未来_哭了][初音未来_哭了]开始哭了,2023-04-20 20:56:00,28,0,_血色黄昏_,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
艹，淦,2023-04-21 00:08:53,2,0,跳楼专业,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
这亦是一种流星一条,2023-04-21 13:47:15,66,0,蕾铠,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
。。一时间不知道说啥，小太刀fm[呆],2023-04-21 17:35:40,7,0,堇屿京墨,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
这么多神评，你是唯独让我转发点赞的。,2023-04-21 21:27:38,2,0,羽觞の醉月,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
建议小太刀把自己当个烟花放了，还能让大火乐一乐,2023-04-23 13:26:29,12,0,不眠阳,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
会说话就多说几句[脱单doge],2023-05-02 12:05:12,1,0,至高-盖亚,5,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
没玩过游戏，还可以在哪里补剧情？[辣眼睛]想看亚瑟王[笑哭],2023-05-04 20:07:01,1,0,一error_404一,6,1,824915469,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂
