content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
游戏里的最后，在贝狄威尔归还圣剑之后，迦勒底观测到英灵殿出先一个新的灵基，贝狄威尔的赎罪之旅被英灵殿所认可了。,2023-04-20 19:23:52,5530,20,汪某-_-,6,0,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
游戏里小贝满破5羁绊会有新的简介，说在特异点归还圣剑的事情被记录破格成了英灵,2023-04-20 23:13:22,881,0,账号已注销,0,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
活人进不了英灵殿[辣眼睛],2023-04-22 14:34:43,107,0,餍伊,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
回复 @饜·伊 :所以贝狄威尔在归还圣剑之后才进入的英灵殿，不过，活着的也有进入英灵殿的，虽然基本上都不是人。[doge],2023-04-22 14:40:09,361,0,汪某-_-,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
是英灵座啦，英灵殿是北欧奥丁的用来收集死去的勇士灵魂的啦[doge],2023-04-22 22:41:32,269,0,二阶洪神,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
回复 @二阶洪神 :官方正式中文名称叫境界记录带Ghostliner,2023-04-24 02:18:16,86,0,GO_TG,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
回复 @游手好闲的汪某 :反正英灵座没得时间概念，进到那里几乎也就没啥活不活死不死的了,2023-04-26 18:46:59,78,0,康rua贝尔,5,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
回复 @游手好闲的汪某 :某个紫色老*&amp;%$#,2023-04-29 11:13:26,22,0,某白袍刺客,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
"回复 @仙人竖中指 :破格成为了英灵(×)
误入黑心老板企业(✓)",2023-05-01 00:09:35,158,0,数玛蛋,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
回复 @游手好闲的汪某 :所长：你最好是在说别人[doge],2023-05-03 00:56:53,12,0,节操早被吃了,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
回复 @饜·伊 :梅林：我活着还是死了[吃瓜][吃瓜],2023-05-08 12:38:00,25,0,-封心且锁爱-,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
回复 @神无明夜 :梅林：你最好没事,2023-06-30 23:33:00,13,0,康rua贝尔,5,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
回复 @游手好闲的汪某 :如士郎,2023-07-26 01:01:43,5,0,眼泪是条很咸的鱼,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
回复 @饜·伊 :梅林怎么说[崩坏：星穹铁道_看破],2023-08-13 00:38:05,3,0,哥哥比我甜_233,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
回复 @饜·伊 :归还圣剑后死了嘛[笑哭]，死了不就有资格进了吗，因为事迹被收录为了英灵,2023-08-19 15:30:52,10,0,黑塔喵--,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
"英灵现世的条件:1.不存于此时此刻(因此不限于过去和未来，只要这个时间段的对应这个灵基的从者不存在，就可以被召唤，即使是召唤过去或者未来的自己，同一个英灵的不同时期被同时召唤也是可以的。)。2.他/她思故我在，即使不知道真名，只要有足够的人知道这段历史/概念所对应的人物/具象是谁，便可以成为英灵(非从者)。
梅林的本体在阿瓦隆，与尘世隔绝，满足了不存于此世的条件，又有亚瑟王史诗做铺垫，另外他是通过千里眼远程遥控灵基的，自己本体没有过来。",2023-09-04 18:40:38,54,0,丹尼-Danny,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
回复 @游手好闲的汪某 :太公望是吧,2023-09-17 11:06:15,2,0,躺之犟驴,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
回复 @-封心且锁爱- :薛定谔的梅林,2024-04-21 21:10:07,1,0,星羽梓喵,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
回复 @饜·伊 :那Saber不是活着带着身体进的吗,2025-03-30 00:58:08,1,0,晚街听风-L,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
回复 @晚街听风-L : saber我记得是因为她的愿望涉及到她活着的时候，所以签下的契约很特殊，让她始终在临死前等待，如果她某一次打赢了圣杯战争（指的是通过圣杯许愿了而不是砍圣杯），那就会按照她的愿望改变一些事情，然后她活着继续带领不列颠，最后死亡之后再进英灵座，如果没打赢就回来等着继续打下一场,2025-08-25 13:20:52,0,0,子沐舒风,5,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
完结撒花，感谢陪伴,2025-08-27 16:09:32,0,0,XyzV7,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
"五百年的执念足以把正义的伙伴扭曲成苟活的怪物，但一千五百年的赎罪仍旧无损堇色的骑士对王的忠诚
重申一遍：圆桌只有王厨和扭曲的王厨（摩根：那我呢？）",2023-04-20 19:00:08,6776,70,゙周防幽,6,0,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
摩根当然是扭曲王厨啦,2023-04-20 19:00:59,477,0,水镜难藏泪,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
泛史摩根妥妥的扭曲王厨头子吧,2023-04-20 19:01:22,628,0,酸碱未平衡,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
厨不列颠[doge],2023-04-20 19:01:27,114,0,圣邪lol,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
摩根也算王厨[doge],2023-04-20 19:01:29,73,0,诺亚奥特曼二代,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
[doge]摩根：王厨制造姬,2023-04-20 19:01:40,163,0,蓝柒゜F,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
圆桌骑士的母亲也是圆桌骑士，皇姐也是王厨[doge],2023-04-20 19:02:08,111,0,莫羽尘-棽莎,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
这么快,2023-04-20 19:02:13,5,0,飛燕15532,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
好快,2023-04-20 19:02:41,2,0,这是一个昵称g,5,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
回复 @摩根吧群群主677621775 :确实，格蕾表示有话说,2023-04-20 19:04:32,45,0,゙周防幽,6,1,867473770,全片,,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂
