content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
"盖提亚：为什么你们要帮助人类，英灵们，回答我！
英灵：没钱请声优啊",2022-01-19 14:00:23,26414,168,starkIMN,6,0,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
草,2022-01-19 14:46:19,207,0,參褐䣕汜氻,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
草,2022-01-19 15:08:35,11,0,PIGEON_Max,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
草,2022-01-19 15:10:59,15,0,佰漪Acerb,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
草,2022-01-19 15:12:30,21,0,书山压力大0000,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
草,2022-01-19 15:13:48,9,0,培依登,5,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
[笑哭][笑哭][笑哭]，英灵都不说话了，是不是不要钱的,2022-01-19 15:13:51,392,0,雷金霖,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
草,2022-01-19 15:18:02,5,0,牢咸鱼摆烂ing,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
草,2022-01-19 15:18:30,3,0,哈士咕咕居,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
草,2022-01-19 15:18:44,4,0,誓约与无限,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
草,2022-01-19 15:19:23,2,0,浅小雪QvQ,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
哎哟，我草,2022-01-19 15:19:40,2,0,自由领唱者,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
草,2022-01-19 15:19:53,3,0,拥有两个小可爱,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
草,2022-01-19 15:20:31,1,0,惊叹者,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
草,2022-01-19 15:22:37,2,0,努力寻找猫爬架的悠米,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
"声优很贵的。
坂本夫妇如是说.jpg",2022-01-19 15:23:11,1124,0,SaturnV,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
草,2022-01-19 15:24:07,5,0,Mz时光匆匆zM,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
草,2022-01-19 15:24:46,1,0,私の唯一だ,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
艹,2022-01-19 15:27:02,4,0,空隙那月,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
不知道为什么  看见你说完我瞬间有点不想看了...,2022-01-19 15:27:03,57,0,隔壁牛杂店的刻师傅,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
草,2022-01-19 15:27:31,1,0,Yuki森,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
金闪闪身为战地记者，亲临一线战场围观并给与锐评,2022-01-19 13:42:19,16061,129,全年指标尚未达成,6,0,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
#金皮卡状态#,2022-01-19 14:07:13,433,0,梨爰_,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
#金先生锐评盖提亚,2022-01-19 14:11:28,1705,0,洛羽天霞,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
别乱说金先生是赶片场呢,2022-01-19 14:19:55,492,0,丿樱花飘落子司徒,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
金先生！为什么你只是看着！[笑哭],2022-01-19 14:20:13,304,0,54-Xe,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
回复 @洛羽天霞 :难绷,2022-01-19 14:20:58,96,0,曜目Solus,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
哈哈哈哈哈哈哈,2022-01-19 14:24:39,10,0,我寄人间雪灬,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
哈哈哈哈哈战地记者笑死,2022-01-19 14:27:58,41,0,灵魂出窍的花卷,5,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
我等了一个半小时就等来了闪闪说了4句话，还是金色的[热词系列_泪目][热词系列_泪目],2022-01-19 14:28:24,244,0,名前のないモンスタ,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
《金闪闪锐评盖提亚》,2022-01-19 14:31:29,148,0,风月RUK,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
我还以为没请关叔呢，最后开口吓到我了[藏狐],2022-01-19 14:32:16,76,0,账号已注销,0,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
游戏不仅看着，还跟贞德聊了一大段，拍出来怕不是要半个小时[吃瓜],2022-01-19 14:38:40,136,0,帕奇利兹Zzzz,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
游戏里闪闪啥都没干，剧场版里闪闪还当了回充电宝，本来电量都没了召了闪闪直接黄金满格电量。[doge],2022-01-19 14:40:00,278,0,Puzzleeee,6,1,210738564,全片,,命运-冠位指定 冠位时间神殿所罗门
