content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
这是一部在打戏中穿插日常的牛逼番，请大家一定要珍惜前期的和平[抠鼻][抠鼻],2020-10-03 01:31:13,82243,184,御坂美琴-10003,5,0,457273039,1,两面宿傩,咒术回战
前期沙雕后期胃药？熟悉的感觉牙白[tv_鬼脸],2020-10-03 02:02:38,921,0,XINTA0,6,1,457273039,1,两面宿傩,咒术回战
从头打到尾[喜极而泣],2020-10-03 02:06:07,495,0,御坂美琴-10003,5,1,457273039,1,两面宿傩,咒术回战
回复 @XINTA0 :刀片管饱,2020-10-03 02:16:10,290,0,一枚魂淡,6,1,457273039,1,两面宿傩,咒术回战
回复 @XINTA0 :就没有几集是没在不打的，闲的没事停下来也是在准备打的路上，打着打着就增强了角色塑造，塑造着塑造着成型的角色就在打戏中领便当，可能你看着这个角色前一集把flag吃回去了，过几集又给吐出来了。,2020-10-03 02:36:28,4138,0,安Adachisakura,6,1,457273039,1,两面宿傩,咒术回战
回复 @一枚魂淡 :那我还是无法接受[热词系列_害怕],2020-10-03 02:52:27,51,0,XINTA0,6,1,457273039,1,两面宿傩,咒术回战
回复 @Evralies :领便当的有没有把便当吐出来的[热词系列_知识增加],2020-10-03 02:53:18,237,0,XINTA0,6,1,457273039,1,两面宿傩,咒术回战
Eve主唱的OP主題曲完整版指路BV1W54y1k7MZ/,2020-10-03 02:58:25,39,0,RyokuShaka,3,1,457273039,1,两面宿傩,咒术回战
回复 @XINTA0 :前期也不咋沙雕,2020-10-03 03:26:40,49,0,夏弦不改名,6,1,457273039,1,两面宿傩,咒术回战
回复 @夏弦不改名 :那不是全刀子了么（半恼,2020-10-03 03:32:48,121,0,XINTA0,6,1,457273039,1,两面宿傩,咒术回战
回复 @XINTA0 :当然有啊，很快就能看到了[妙啊],2020-10-03 06:58:52,71,0,Silver_Winter,6,1,457273039,1,两面宿傩,咒术回战
珍惜吧,2020-10-03 07:34:48,13,0,bili_453176456,5,1,457273039,1,两面宿傩,咒术回战
我觉得咒回有一个特点就是下一场战斗永远会比上一场玩的更大，当初看回忆篇的时候，惠爹干趴五神我以为已经是极限了，结果到了涩谷篇我直接月均被送走一次[惊讶],2020-10-03 08:10:25,1769,0,Vivid_mm,6,1,457273039,1,两面宿傩,咒术回战
回复 @Evralies :jojo直呼内行,2020-10-03 10:07:48,56,0,屑の魔女き,6,1,457273039,1,两面宿傩,咒术回战
回复 @XINTA0 :全阶段都打得挺狠的，角色的便当发起来看心情，很真实。也有让人气愤的角色会出现，如果真的接受不了，当成个火影第二版的话，心理会破防的。。。。但总体看下来很好看，漫画我每话都第一时间看，动画也还是不想错过。但心理预期肯定要从主流番稍微往回拉一些,2020-10-03 11:02:56,1091,0,一枚魂淡,6,1,457273039,1,两面宿傩,咒术回战
回复 @一枚魂淡 :有可爱的妹子么[呲牙],2020-10-03 12:29:04,13,0,INDEX可爱捏,6,1,457273039,1,两面宿傩,咒术回战
回复 @三只贞德波好大 :有个哥[doge]但跟可爱可能扯不上关系，这番的女性，一个比一个狠。很少那种吃干饭的，那种早在这世道死去了[歪嘴],2020-10-03 12:49:04,404,0,一枚魂淡,6,1,457273039,1,两面宿傩,咒术回战
回复 @Silver_Winter :那我姑且先观望一下[tv_鬼脸],2020-10-03 12:59:33,13,0,XINTA0,6,1,457273039,1,两面宿傩,咒术回战
回复 @一枚魂淡 :那我先准备好被破防[tv_目瞪口呆],2020-10-03 13:00:18,18,0,XINTA0,6,1,457273039,1,两面宿傩,咒术回战
回复 @XINTA0 :对啊，糖嘞，糖在哪里啊芥见老师[tv_鬼脸],2020-10-03 13:00:51,43,0,逡巡弗获,6,1,457273039,1,两面宿傩,咒术回战
[笑哭],2023-10-06 15:42:55,2672,18,王老虎233,6,0,969983283,2,为了自己,咒术回战
看到这里太难绷了，本以为是胸有成竹，没想到是信口开河[喜极而泣],2023-10-12 23:03:06,802,0,歇洛克・福尔摩斯,6,1,969983283,2,为了自己,咒术回战
这是flag,2023-10-13 20:50:55,194,0,账号已注销,0,1,969983283,2,为了自己,咒术回战
众所周知，立flag都不会有很好的下场[笑哭],2023-11-14 11:48:42,122,0,不减肥-不改名,5,1,969983283,2,为了自己,咒术回战
回复 @欣中の有梦 :真的，你看不懂也不要乱说呀，我看你给每个人回复也挺累的,2024-01-02 23:26:11,38,0,艾45伦,4,1,969983283,2,为了自己,咒术回战
也不算打脸 只要宿傩最后输了 这话也没毛病 毕竟没说是自己赢[喜极而泣],2024-01-11 06:38:54,103,0,jk无爱,6,1,969983283,2,为了自己,咒术回战
iivv真是宿傩的头号粉丝[笑哭],2024-02-02 13:08:16,75,0,春c疯,4,1,969983283,2,为了自己,咒术回战
回复 @春c疯 :啥粉丝啊，宿傩都要成他爹了,2024-06-16 07:26:25,63,0,北李知恩,4,1,969983283,2,为了自己,咒术回战
难蚌,2024-07-06 16:20:20,3,0,伦伦达斯里兰卡,5,1,969983283,2,为了自己,咒术回战
本身单挑千年前的他是肯定能赢的,2025-04-21 19:24:14,27,0,看番人永在,4,1,969983283,2,为了自己,咒术回战
回复 @歇洛克・福尔摩斯 :不是信口开河5t真能单杀20指宿傩，但是单杀不了19指1头十影宿傩,2025-09-30 13:09:11,56,0,幽默上了,5,1,969983283,2,为了自己,咒术回战
回复 @歇洛克・福尔摩斯 : 就是被剧情杀了，唉,2025-12-23 20:31:49,19,0,队友都是zu来的,3,1,969983283,2,为了自己,咒术回战
本人看时：见都没见过，信不起,2025-12-30 07:16:22,0,0,冰炎の鸟F,6,1,969983283,2,为了自己,咒术回战
包跪的,2026-01-18 00:29:48,0,0,人生为幸福而活,6,1,969983283,2,为了自己,咒术回战
[doge],2026-01-25 10:04:14,0,0,狗尾仙人,4,1,969983283,2,为了自己,咒术回战
不然呢，他在一个15岁后辈面前说会输的？[笑哭][笑哭],2026-02-28 20:50:27,12,0,Fomalhaut0222,6,1,969983283,2,为了自己,咒术回战
