content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
起初，悟以为成为最强的代价只是经历一场有惊无险的战斗……,2023-08-24 20:00:19,27814,161,折与千俟,5,0,914767736,1,怀玉,咒术回战 第二季
有那味了,2023-08-24 20:06:03,104,0,管我含不含糖,6,1,914767736,1,怀玉,咒术回战 第二季
起初，悟以为他生来最强,2023-08-24 20:09:07,2601,0,缪斯也眷顾神,6,1,914767736,1,怀玉,咒术回战 第二季
回复 @爆浆蟑螂哥 :后来他发现确实[doge],2023-08-24 20:11:56,3387,0,非礼勿言勿视勿听,5,1,914767736,1,怀玉,咒术回战 第二季
回复 @爆浆蟑螂哥 :就是经历……[doge],2023-08-24 20:12:10,324,0,非礼勿言勿视勿听,5,1,914767736,1,怀玉,咒术回战 第二季
挚友！[墨镜],2023-08-24 20:12:55,248,0,荔鸡烤肉,6,1,914767736,1,怀玉,咒术回战 第二季
回复 @爆浆蟑螂哥 : 后来他发现确实[doge],2023-08-24 20:17:02,496,0,西瓜椅,6,1,914767736,1,怀玉,咒术回战 第二季
回复 @木木海蓝分木 :除你眼镜！,2023-08-24 20:19:19,96,0,九乘三三九丶,5,1,914767736,1,怀玉,咒术回战 第二季
回复 @爆浆蟑螂哥 :除开了好几天术式精疲力尽，然后被偷袭差点死了，我就没见过他受伤，还有一件事盘星教的人真该死啊[doge],2023-08-24 20:21:41,591,0,非礼勿言勿视勿听,5,1,914767736,1,怀玉,咒术回战 第二季
后来发现还有毁容（不是,2023-08-24 20:34:05,87,0,来年の酒尘,6,1,914767736,1,怀玉,咒术回战 第二季
后来 没人告诉他代价是失去挚友[墨镜],2023-08-24 20:39:28,794,0,凍結画不动,4,1,914767736,1,怀玉,咒术回战 第二季
回复 @失百里 :帮你摘墨镜了[脱单doge]不用谢,2023-08-24 21:05:42,91,0,叙事话的starsokii,4,1,914767736,1,怀玉,咒术回战 第二季
后来发现是身边人的离去[墨镜][墨镜],2023-08-24 21:26:14,121,0,来来喷吧,5,1,914767736,1,怀玉,咒术回战 第二季
后来他发现确实[doge],2023-08-24 21:38:13,45,0,话本里,5,1,914767736,1,怀玉,咒术回战 第二季
谁敢刀我？好家伙原来是你小子。,2023-08-24 21:58:04,44,0,唯唯诺诺的拉拉人,4,1,914767736,1,怀玉,咒术回战 第二季
回复 @爆浆蟑螂哥 :后来，他发现自己天上地下，唯我独尊[阴险],2023-08-24 22:11:14,170,0,阿耆尼,6,1,914767736,1,怀玉,咒术回战 第二季
