content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
《看它的名字太长了，于是我就追番了！》,2020-01-08 22:30:40,42171,210,本间芽衣子的宿海仁太,6,0,82598915,1,防御特化和初战。,因为太怕痛就全点防御力了
"因为太怕痛就全点防御力了
因为太怕痛就全点防御力
因为怕痛就全点防御力
因为怕痛就全点防御
因为怕痛全点防御
太怕痛全点防御
怕痛全点防御
一条线面板
极限加点
坦克手
盾勇
肉
（各种意义上[滑稽]）",2020-01-09 00:22:57,3189,0,筱辰绡丶凌风,6,1,82598915,1,防御特化和初战。,因为太怕痛就全点防御力了
你以为我是来看剧情的吗[doge]，奈何她实在是太可爱了，喵呜～（恶龙咆哮）,2020-01-09 18:58:13,366,0,小野寺saki,6,1,82598915,1,防御特化和初战。,因为太怕痛就全点防御力了
"回复 @春日野穹的忧伤 :恶龙咆哮（x）
吃龙咆哮（√）",2020-01-09 20:44:35,97,0,432178,4,1,82598915,1,防御特化和初战。,因为太怕痛就全点防御力了
万体浪人成名录[doge],2020-01-10 08:58:26,28,0,叛变特工卡博特,6,1,82598915,1,防御特化和初战。,因为太怕痛就全点防御力了
借楼吐槽一下，我觉得有些人也别老是骂游戏策划吧。。平心而论，有几个能和女主一样这么触发条件的？估计第一个条件绝大部分正常玩家都触发不了。,2020-01-10 18:41:14,1259,0,坑王苏锵咚锵,6,1,82598915,1,防御特化和初战。,因为太怕痛就全点防御力了
"回复 @坑王苏锵锵 :是有可能找到的。只需要你能解析游戏本体查到资料库的话。
问题是这游戏有火到让黑客干这事的程度吗。。。
就是商业间谍也不至于这么用心啊。",2020-01-10 20:07:44,301,0,陸仁贾,6,1,82598915,1,防御特化和初战。,因为太怕痛就全点防御力了
回复 @坑王苏锵锵 :确实，全点防御的人可能也有不少，但是那种人会和兔子玩一小时吗？,2020-01-10 21:11:10,649,0,幽幽仔子,6,1,82598915,1,防御特化和初战。,因为太怕痛就全点防御力了
回复 @陸仁贾 :肯定能，但是如果是真的有了这么真实的vr游戏，那么就和头号玩家里面一样，有无尽可能，每人都有专属于自己的玩法儿，技能树成千上万，没必要谁羡慕谁。,2020-01-10 21:24:18,280,0,坑王苏锵咚锵,6,1,82598915,1,防御特化和初战。,因为太怕痛就全点防御力了
回复 @樱下之蝶-幽幽子 :肯定能，但是如果是真的有了这么真实的vr游戏，那么就和头号玩家里面一样，有无尽可能，每人都有专属于自己的玩法儿，技能树成千上万，没必要谁羡慕谁。,2020-01-10 21:24:29,75,0,坑王苏锵咚锵,6,1,82598915,1,防御特化和初战。,因为太怕痛就全点防御力了
回复 @樱下之蝶-幽幽子 :就比如说，一个巨真实的VR游戏，里面想干啥就干啥，彩蛋装备技能通通都不一样，你是想玩自己的还是找个人走他的路子[喜极而泣],2020-01-10 21:26:46,130,0,坑王苏锵咚锵,6,1,82598915,1,防御特化和初战。,因为太怕痛就全点防御力了
回复 @筱辰绡丶凌风 :最后一个应该是硬[偷笑],2020-01-10 22:09:15,7,0,落日既逝,6,1,82598915,1,防御特化和初战。,因为太怕痛就全点防御力了
回复 @陸仁贾 :这种一般是放在服务器端的吧。。解析本体找不到吧。。,2020-01-10 22:53:23,21,0,林华010,6,1,82598915,1,防御特化和初战。,因为太怕痛就全点防御力了
回复 @__ignalxy :所以说的是有可能…比如说发现在状态的部分代码上有个奇怪的指标不清楚是彩蛋还是啥。,2020-01-11 00:28:05,19,0,陸仁贾,6,1,82598915,1,防御特化和初战。,因为太怕痛就全点防御力了
