content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
宫村争气点，别像隔壁白银一样，都两季了还不告白,2021-01-09 23:30:07,96676,704,我是雷鸣风,6,0,501092907,1,一个小小的机缘巧合。,堀与宫村
很争气放心好了[doge][doge],2021-01-09 23:31:12,879,0,阿航_hang,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
这两个够快了,2021-01-09 23:31:19,1096,0,影子m1,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
快进到37[doge],2021-01-09 23:31:34,678,0,账号已注销,0,1,501092907,1,一个小小的机缘巧合。,堀与宫村
几集就应该告白了，如果是12集可能都准备结婚了[doge],2021-01-09 23:31:46,3723,0,Miyabe,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
他们不会的[OK][OK]相当争气的两个人[吃瓜]37话直接上垒,2021-01-09 23:32:01,7231,0,凌语LTH,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
宫村两季应该全垒打了,2021-01-09 23:32:16,2242,0,奈须萝卜,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
漫画三十七话上垒警告[滑稽][滑稽][滑稽],2021-01-09 23:32:32,1383,0,取名字什么最困难了,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
他两集[doge],2021-01-09 23:32:34,310,0,海廊,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
隔壁白银第三期就要表白了，宫村别拖后退啊,2021-01-09 23:32:40,479,0,士子们,4,1,501092907,1,一个小小的机缘巧合。,堀与宫村
宫村老争气了[Cat_chips],2021-01-09 23:32:43,405,0,Telwunr,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
其实按漫画进度来说确定关系挺快的 让我怀疑作者是不是一开始没想画那么多 后面都是甜甜日常了,2021-01-09 23:33:20,773,0,椰椰yeye4685,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
学学隔壁由崎夫妇[doge][支持],2021-01-09 23:33:52,422,0,PheresK,5,1,501092907,1,一个小小的机缘巧合。,堀与宫村
白银是什么？能跟人家比吗？[doge][doge][doge],2021-01-09 23:34:24,288,0,凌语LTH,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
放心，漫画第63话都求婚了（要是能做到那里的话）,2021-01-09 23:35:04,405,0,釉彩ヽ,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
请参照37话，63话，请尊重原著谢谢[doge],2021-01-09 23:35:06,526,0,重新做人有点难,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
回复 @-destruction- :比隔壁还快[doge],2021-01-09 23:35:06,53,0,明石秋,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
或许你还记得当年的快到吓死你吗[doge],2021-01-09 23:35:26,169,0,三弎叁叄,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
[吃瓜]不不不，速度远超那边,2021-01-09 23:35:51,60,0,折木_ほうたろう,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
不至于，漫画剧情可快了,2021-01-09 23:36:11,62,0,我和钱锁死,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
b漫找37话[滑稽],2021-01-09 23:36:21,51,0,星の尘-,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
有些人觉得节奏快的，是因为这本漫画并不是讲啥白学或者三角的，只是单纯的发狗粮而已，第一集就这么快是因为后面的集数都要发糖，换句话说第一集就是给你讲一下背景，然后后面纯狗粮。,2021-01-10 00:02:40,19871,51,咕b扎,6,0,501092907,1,一个小小的机缘巧合。,堀与宫村
等着吃狗粮∪･ω･∪,2021-01-10 00:11:19,49,0,痴觉不辞殊,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
而且不只是男女主的狗粮，到后面甚至还有女主父母，创太的粮，真的是太香了[doge],2021-01-10 00:30:48,2095,0,吐槽小新,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
回复 @吐槽小新 :创太的？好家伙，作者连小孩子都不放过[妙啊][妙啊][妙啊],2021-01-10 00:47:34,845,0,百合风云录,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
回复 @上舰了要夸夸 :番外,2021-01-10 00:58:43,56,0,Sunny晴光,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
有ova打底莫得办法[tv_doge]以前看完就在想本体什么时候出来,2021-01-10 01:13:01,69,0,想名字真的好难丶,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
回复 @吐槽小新 :创太和谁，都是小孩子吗，话说弟弟这么小就会撩了吗,2021-01-10 02:48:51,69,0,晚风blowing,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
回复 @臣卜龙寺_ :创太青梅，幼儿园起就认识了，不过真发糖应该是番外创太上高中后的事了,2021-01-10 02:53:45,459,0,雷锁心镰,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
回复 @雷锁心镰 :那不还早了[doge],2021-01-10 03:01:21,13,0,晚风blowing,6,1,501092907,1,一个小小的机缘巧合。,堀与宫村
↓没对象却坚持每周来这恰狗粮的人[doge],2021-01-16 23:30:12,120753,510,浅泪梦,5,0,288742723,2,不止一个样。,堀与宫村
你这句话真扎心[笑哭],2021-01-16 23:34:17,75,0,心起难收,6,1,288742723,2,不止一个样。,堀与宫村
有也要恰[doge][doge],2021-01-16 23:43:08,481,0,社恐的三木森衍,6,1,288742723,2,不止一个样。,堀与宫村
emmm[酸了],2021-01-16 23:46:17,6,0,夜星空的梦想,6,1,288742723,2,不止一个样。,堀与宫村
[doge][doge][妙啊],2021-01-16 23:50:56,8,0,小金船大人,5,1,288742723,2,不止一个样。,堀与宫村
就要恰，恰得骄傲[doge],2021-01-16 23:51:36,36,0,胡说八道也要打草稿,5,1,288742723,2,不止一个样。,堀与宫村
正在和对象一起看的来凑热闹[doge],2021-01-16 23:54:57,1935,0,靓妹言辞,4,1,288742723,2,不止一个样。,堀与宫村
[歪嘴][歪嘴],2021-01-16 23:55:30,2,0,莫哥樽,5,1,288742723,2,不止一个样。,堀与宫村
我自豪我骄傲我是恰狗粮人[doge][doge],2021-01-16 23:57:31,27,0,万事休息屋,5,1,288742723,2,不止一个样。,堀与宫村
有对象了来恰很不正常吗？现实当中可没有这么甜的恋爱,2021-01-17 00:03:09,67,0,MrCapybara,6,1,288742723,2,不止一个样。,堀与宫村
狗粮人，狗粮魂，狗粮里头拌柠檬！[doge],2021-01-17 00:03:37,44,0,耳朵不像从前敏感了,6,1,288742723,2,不止一个样。,堀与宫村
[doge]当我给对象安利这个番时发现他跟我一样把漫画早已经看了,2021-01-17 00:05:23,35,0,TaroFinA-,6,1,288742723,2,不止一个样。,堀与宫村
我想给你赞但是条件不允许啊！,2021-01-17 00:07:26,6,0,毛氏可乐培养技术局,6,1,288742723,2,不止一个样。,堀与宫村
回复 @坟头蹦迪看日落 :你不是人，你没有心[大哭][大哭][大哭],2021-01-17 00:12:09,265,0,幻象白夜,6,1,288742723,2,不止一个样。,堀与宫村
打破999惨案,2021-01-17 00:12:29,0,0,不可回收垃圾回收处,6,1,288742723,2,不止一个样。,堀与宫村
你是真讨厌[笑哭][笑哭][笑哭],2021-01-17 00:16:23,6,0,渊夜修罗,6,1,288742723,2,不止一个样。,堀与宫村
？雨你无瓜[辣眼睛],2021-01-17 00:21:37,0,0,别烦我_关我屁事,6,1,288742723,2,不止一个样。,堀与宫村
回复 @失去雷霆圣堂のVan由里 :屑+1,2021-01-17 00:23:40,1,0,来栖波特,6,1,288742723,2,不止一个样。,堀与宫村
一个女的，来看你们抢粮的，我更屑[doge],2021-01-17 00:26:07,731,0,堀静子,4,1,288742723,2,不止一个样。,堀与宫村
麻衣桑，找到你了[doge][doge],2021-01-17 00:27:26,14,0,梓川__咲太,5,1,288742723,2,不止一个样。,堀与宫村
999个赞我不忍心打破[OK],2021-01-17 00:33:22,1,0,忒岸,6,1,288742723,2,不止一个样。,堀与宫村
b站考不考虑把这部番的进度条也变成柠檬[doge],2021-01-16 23:30:07,67298,513,雨木木火,6,0,288742723,2,不止一个样。,堀与宫村
可以可以[doge][doge]强推,2021-01-16 23:30:37,92,0,LY雪霆,5,1,288742723,2,不止一个样。,堀与宫村
总之就是非常酸呜呜,2021-01-16 23:30:38,157,0,零浔Belief,5,1,288742723,2,不止一个样。,堀与宫村
不够酸,2021-01-16 23:30:41,23,0,Russia2015,6,1,288742723,2,不止一个样。,堀与宫村
[微笑],2021-01-16 23:30:41,2,0,刀影无敌,6,1,288742723,2,不止一个样。,堀与宫村
附议,2021-01-16 23:30:42,3,0,温泉不要温泉蛋,6,1,288742723,2,不止一个样。,堀与宫村
总之就是也非常酸[OK],2021-01-16 23:30:44,32,0,糸黎梨,6,1,288742723,2,不止一个样。,堀与宫村
我来了,2021-01-16 23:30:50,2,0,所有人保持裤裆干燥,6,1,288742723,2,不止一个样。,堀与宫村
变成一只狗头吃狗粮不是更好吗？[狗子],2021-01-16 23:30:52,161,0,巴别塔事件,6,1,288742723,2,不止一个样。,堀与宫村
"普通恋爱番:慢的急死你
堀与宫村:快的吓死你[妙啊]",2021-01-23 23:32:19,58521,296,宝仁,6,0,373779942,3,所以，没问题。,堀与宫村
陡然急死你[doge],2021-01-23 23:41:23,1022,0,江苏延泰家纺有限公司,6,1,373779942,3,所以，没问题。,堀与宫村
总之就是非常酸表示，不是开局结婚，不够快[doge][doge][doge],2021-01-23 23:55:11,4467,0,港口整点薯条,6,1,373779942,3,所以，没问题。,堀与宫村
动画为了冲进度，糖分爆表[妙啊],2021-01-23 23:56:49,414,0,小飞象章鱼w,6,1,373779942,3,所以，没问题。,堀与宫村
好想告诉你：好想急死你！,2021-01-24 00:06:12,322,0,寒霜、飞,6,1,373779942,3,所以，没问题。,堀与宫村
这节奏确实快,2021-01-24 00:09:24,92,0,云O母,6,1,373779942,3,所以，没问题。,堀与宫村
我觉得还是太快了点。。。虽然漫画30多话也就那个了。。。。但动漫为了增加刻画我觉得可以稍微延长点慢点[思考],2021-01-24 00:12:23,1505,0,账号已注销,0,1,373779942,3,所以，没问题。,堀与宫村
回复 @ID别取我这么长就行了 :不行，太慢剧情太拖沓了。现在也挺好,2021-01-24 00:14:48,406,0,伊拉克射手,4,1,373779942,3,所以，没问题。,堀与宫村
回复 @ID别取我这么长就行了 :不然太慢只能到20多话了就刚在一起就没了,2021-01-24 00:16:00,164,0,伊拉克射手,4,1,373779942,3,所以，没问题。,堀与宫村
瑠衣表示第一集第一个镜头不是嘿嘿嘿，不够快[doge],2021-01-24 00:16:45,153,0,Vileygr,6,1,373779942,3,所以，没问题。,堀与宫村
好想急死你,2021-01-24 00:18:32,31,0,明子蔡玥,6,1,373779942,3,所以，没问题。,堀与宫村
回复 @伊拉克射手 :确实，虽然删了一些内容，但是想到也许能做到37话，就挺期待的,2021-01-24 00:21:04,90,0,折剑飞花,6,1,373779942,3,所以，没问题。,堀与宫村
