content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
"官方简介第一句话：“潮死了。”
我：”开空调啊“。",2022-05-13 12:32:49,108428,259,hanguokai,6,0,981593994,1,再见夏日,夏日重现
开抽湿啊,2022-05-13 15:10:01,511,0,死神放我重回人间,6,1,981593994,1,再见夏日,夏日重现
回南天啦~,2022-05-14 01:10:39,296,0,晓风竹林,6,1,981593994,1,再见夏日,夏日重现
“我车里有冷气”,2022-05-14 12:35:20,2449,0,千反田八幡,6,1,981593994,1,再见夏日,夏日重现
笑死了哈哈哈广冻人笑抽了,2022-05-14 12:41:54,245,0,窝就一破看番的,5,1,981593994,1,再见夏日,夏日重现
"官方：“你要不知道就别瞎说，你听我说完…我是说潮死了…”
我：“你开空调啊！”
官方：“你能不说话吗？我是说潮死了！”
我：“开-空-调-！你潮死了就开空调！空调有除湿！”",2022-05-14 14:40:07,1417,0,十mi,6,1,981593994,1,再见夏日,夏日重现
回复 @千反田八幡 :寒蝉是吧[辣眼睛][辣眼睛],2022-05-14 16:14:14,284,0,Rudeus_G,5,1,981593994,1,再见夏日,夏日重现
热得快炸了,2022-05-14 16:27:34,227,0,无节操の疯狂君,6,1,981593994,1,再见夏日,夏日重现
回复 @十mi :哈哈哈哈有话好好说,2022-05-14 17:40:29,39,0,今天吃抹茶蛋糕了嘛,6,1,981593994,1,再见夏日,夏日重现
诸葛孔明：你叫我干蛤[妙啊],2022-05-14 19:22:44,61,0,支持飞行血盟谢谢喵,5,1,981593994,1,再见夏日,夏日重现
回复 @千反田八幡 :“我车上有空调”,2022-05-14 19:56:20,1358,0,普利奈,5,1,981593994,1,再见夏日,夏日重现
回复 @普利奈 :什么大石,2022-05-14 20:21:05,159,0,ふじみや,6,1,981593994,1,再见夏日,夏日重现
“那你去物管啊”,2022-05-14 20:43:09,55,0,落幕之僚,6,1,981593994,1,再见夏日,夏日重现
我车上有空条,2022-05-14 21:00:25,144,0,没有昵称的小家伙,6,1,981593994,1,再见夏日,夏日重现
回复 @无节操の疯狂君 :那你开空调啊,2022-05-14 21:02:57,30,0,屴岇景胜,6,1,981593994,1,再见夏日,夏日重现
我空调上有车，回老家准备种空调,2022-05-14 22:11:16,30,0,神秘黑长直,6,1,981593994,1,再见夏日,夏日重现
热得快炸了？,2022-05-14 22:38:58,43,0,阿胶儿,6,1,981593994,1,再见夏日,夏日重现
热得快炸了，开空调啊,2022-05-14 23:01:59,46,0,浅川海豹豹,5,1,981593994,1,再见夏日,夏日重现
在看到你说简介之前我真的以为是说的空气潮湿的意思，然后我去看了简介[笑哭],2022-05-14 23:40:35,47,0,茶茶丶彡,6,1,981593994,1,再见夏日,夏日重现
回复 @阿胶儿 :你开空调啊！ 开空调！,2022-05-14 23:53:13,21,0,濎躍魇逝,6,1,981593994,1,再见夏日,夏日重现
没事我先挂了（物理）,2022-05-19 12:03:05,13940,22,opins,6,0,896634328,2,影子,夏日重现
草（一种植物,2022-05-19 13:21:28,165,0,TKLXH,6,1,896634328,2,影子,夏日重现
挂了掉时间，没事不能挂有事得挂,2022-05-19 14:03:07,173,0,电子竞技最讲实力,6,1,896634328,2,影子,夏日重现
一会儿再给你打（上膛）,2022-05-19 15:46:55,854,0,-麒君-,6,1,896634328,2,影子,夏日重现
反派：你不能挂,2022-05-19 16:19:01,54,0,板板板某哟,6,1,896634328,2,影子,夏日重现
回复 @-麒君- :草[妙啊],2022-05-20 08:00:22,10,0,小澈Oo,6,1,896634328,2,影子,夏日重现
不能挂,2022-05-20 08:57:03,3,0,hzyhs,6,1,896634328,2,影子,夏日重现
boss：哼，想挂？,2022-05-20 11:24:35,18,0,不可食用的白菜,6,1,896634328,2,影子,夏日重现
你怎么知道我物理挂了[傲娇],2022-05-21 00:00:18,16,0,夺金,5,1,896634328,2,影子,夏日重现
回复 @-麒君- :绝了,2022-05-21 14:12:07,45,0,理智的绅士,5,1,896634328,2,影子,夏日重现
我的战场不在这里（,2022-05-21 17:36:57,1,0,699_bbb,6,1,896634328,2,影子,夏日重现
你是真秀,2022-05-23 10:57:15,1,0,夷陵鼠才不可爱呢,6,1,896634328,2,影子,夏日重现
回复 @zzk贝贝龙 :这是哪部里面的台词？,2022-05-23 10:57:35,0,0,夷陵鼠才不可爱呢,6,1,896634328,2,影子,夏日重现
没事我先挂了（微生物）,2022-05-23 17:46:13,3,0,白云眠,6,1,896634328,2,影子,夏日重现
好的，等下再见,2022-05-26 17:42:38,0,0,东溪大松鼠,6,1,896634328,2,影子,夏日重现
回复 @-麒君- :这个打我猜是生理吧,2022-06-01 18:51:59,3,0,夏日的光影ll,5,1,896634328,2,影子,夏日重现
潮死了（物理）,2022-06-17 19:21:53,1,0,咸鱼萘奈子,4,1,896634328,2,影子,夏日重现
没事我先挂了（数理化）,2022-06-22 09:40:39,1,0,能不能不卷了,6,1,896634328,2,影子,夏日重现
潮,2022-06-24 18:06:12,0,0,如此不及三分,4,1,896634328,2,影子,夏日重现
我没事了，我先走了（物理,2022-07-28 03:09:00,2,0,aimagination,6,1,896634328,2,影子,夏日重现
只能说慎平看到潮第一反应不是她已经死了，是想见到她看到她，只是想见潮一面而已，真的是纯爱看哭了都[大哭][大哭][大哭],2022-05-26 23:41:46,22318,38,梓嗣zzzzz,6,0,769481503,3,漂流到岸,夏日重现
对，即使是可能有危险的影子，他还是追随着她来了，真的kswl,2022-05-27 00:47:09,1324,0,果小果的姐,5,1,769481503,3,漂流到岸,夏日重现
慎平，一定要找到我哦,2022-05-27 10:08:31,377,0,你所仰望的那片天空,6,1,769481503,3,漂流到岸,夏日重现
莫名联想到“菀菀？！菀菀是你吗，你终于回来了！”,2022-05-27 13:32:37,73,0,江羽卿哒,6,1,769481503,3,漂流到岸,夏日重现
因为两年前走了之后就再也见不到潮了，他不想再后悔了,2022-05-28 14:50:35,203,0,莎依拉韦德的白玫瑰,6,1,769481503,3,漂流到岸,夏日重现
不哭不哭，后期没有刀子，放心。乖[拥抱],2022-05-28 23:57:31,66,0,企-鹅-,5,1,769481503,3,漂流到岸,夏日重现
世上最动人不过理性者的感性[大哭],2022-05-29 10:42:14,440,0,白羽之花,6,1,769481503,3,漂流到岸,夏日重现
这次相遇是最重要的一步之一,2022-05-29 18:04:45,43,0,justaaaaaplayer,6,1,769481503,3,漂流到岸,夏日重现
“就算知道你会杀死我 我还是尽我的全力去奔向你”,2022-05-29 22:03:36,181,0,哈喽喵小E,5,1,769481503,3,漂流到岸,夏日重现
回复 @巧克力味海 :结果真的是影子,2022-05-30 23:13:44,14,0,Kkerberos,6,1,769481503,3,漂流到岸,夏日重现
纯爱啊啊啊啊我真的爆哭 真的是很喜欢了吧[大哭],2022-06-03 15:42:42,24,0,南夕er-,5,1,769481503,3,漂流到岸,夏日重现
回复 @巧克力味海 :他跌跌撞撞的走向她，我无法想象这其中蕴含了多少复杂的感情……,2022-06-04 19:24:45,508,0,你所仰望的那片天空,6,1,769481503,3,漂流到岸,夏日重现
澪的影子和慎平表白的时候话都没说完就给慎平搞死了 但他明明知道潮是影子却还是恳求南云老师相信她 我真的磕爆,2022-06-05 14:46:06,197,0,ZephyrAnn,6,1,769481503,3,漂流到岸,夏日重现
对！！我看的时候也在这么想！！[大哭][大哭][大哭],2022-06-05 21:00:45,2,0,在宇宙边际徘徊,6,1,769481503,3,漂流到岸,夏日重现
最后面那段看的好难过,2022-06-06 21:33:33,7,0,新世界的锅,6,1,769481503,3,漂流到岸,夏日重现
回复 @笑死了我长不出头发 :毕竟澪的影子一周目上来就给人搞死了啊[藏狐],2022-06-11 18:43:06,33,0,百尺狮我,6,1,769481503,3,漂流到岸,夏日重现
慎平这么理智的人，在看到潮的一瞬间想的不是“她可能是影子”，而是抛下所有直接追出去，我只能说磕到了,2022-06-17 17:25:02,113,0,自-罚-两-杯,6,1,769481503,3,漂流到岸,夏日重现
所以说这个女主是已经领盒饭了吗,2022-06-20 10:30:59,6,0,拾荒吃土捡破烂儿,6,1,769481503,3,漂流到岸,夏日重现
回复 @巧克力味海 :困死我了？,2022-06-27 15:25:22,1,0,天下第一正义,6,1,769481503,3,漂流到岸,夏日重现
确实,2022-06-30 01:55:17,1,0,啧啧6080,5,1,769481503,3,漂流到岸,夏日重现
真的很难见到这种正反派都真·智商在线甚至反派方强的要死的剧情[笑哭],2022-06-02 16:22:46,25156,80,端木曦雨,6,0,769720857,4,未视感,夏日重现
简直吓死人，不给你喘息的机会，一环扣一环，没见过这么猛的智斗。,2022-06-02 20:32:55,2744,0,想前行的呆瓜,6,1,769720857,4,未视感,夏日重现
高智商但是不烧脑，真神剧,2022-06-02 21:46:49,348,0,超级抖S哦,5,1,769720857,4,未视感,夏日重现
跟re0挺像的，都是不断轮回找到解决办法,2022-06-02 22:04:33,75,0,烈酒扶苏,6,1,769720857,4,未视感,夏日重现
"回复 @烈酒扶苏 :和Re0除了都有回档设定就完全不像了,真说像还不如说像寒蝉",2022-06-02 22:09:08,203,0,是槑酱吖,6,1,769720857,4,未视感,夏日重现
回复 @是槑酱吖 :RE0回档理论可以无限次，这个不行,2022-06-02 22:26:10,96,0,爱读书的人最幸运,6,1,769720857,4,未视感,夏日重现
没错，太难得的，太感人了。我就喜欢这种有智商而且实力非常强的反派。难得一见啊，难得啊。,2022-06-02 22:44:11,127,0,阿里巴巴巴巴巴阿里巴,6,1,769720857,4,未视感,夏日重现
回复 @烈酒扶苏 :这个可比Re0那个要复杂多了,2022-06-02 23:00:28,55,0,刘abcdefg,6,1,769720857,4,未视感,夏日重现
回复 @烈酒扶苏 :这番唯一比RE0好的地方就是有强力帮手，除此之外无论轮回难度还是反派强度都远胜于RE0,2022-06-02 23:05:21,153,0,Devil_ivan,6,1,769720857,4,未视感,夏日重现
上一个作品像这样的还是亚人,2022-06-02 23:10:36,27,0,LeonardH-,6,1,769720857,4,未视感,夏日重现
回复 @爱读书的人最幸运 :对 所以我说比较像寒蝉 寒蝉的回档也是越来越短,2022-06-02 23:36:09,34,0,是槑酱吖,6,1,769720857,4,未视感,夏日重现
上次见到还是在死亡笔记,2022-06-03 02:30:22,44,0,绪方泉尾,6,1,769720857,4,未视感,夏日重现
回复 @想前行的呆瓜 :智斗一直保持极高水准，同时又能保证逻辑自洽，真的非常非常难得,2022-06-03 09:07:15,692,0,账号已注销,0,1,769720857,4,未视感,夏日重现
回复 @烈酒扶苏 :和re0正相反 一个是告知了全员自己可以循环 甚至包括反派 一个是想说但是说不出来谁也不知道谁也不理解帮不了  两种境地的绝望,2022-06-03 10:03:38,158,0,真红九曜,6,1,769720857,4,未视感,夏日重现
回复 @阿酒__ :动漫作品里论智斗，死亡笔记是巅峰，不用质疑。,2022-06-03 10:39:40,45,0,自由斗士US,6,1,769720857,4,未视感,夏日重现
回复 @卧龙蹦迪天下惊 :影子潮算是gm例外的bug，如果也是坏的就真寄了,2022-06-03 11:01:36,31,0,高一三班飞哥,6,1,769720857,4,未视感,夏日重现
而且这番每个角色都很饱满漫画党表示每个人物都好喜欢正反派都是除了纸垂[微笑],2022-06-03 12:43:00,28,0,一袋米米哟,6,1,769720857,4,未视感,夏日重现
木大木大木大木大木大木大,2022-06-03 12:48:41,4,0,坎特伯雷骑士求鸡腿,6,1,769720857,4,未视感,夏日重现
回复 @克苏鲁的恩泽 :确实，死亡笔记那种压迫感确实绝了,2022-06-03 13:06:13,15,0,上树笑果,6,1,769720857,4,未视感,夏日重现
男主为什么不让别人见潮？,2022-06-03 13:12:07,0,0,Wind_Wing,6,1,769720857,4,未视感,夏日重现
"巨大的影子：
就连观众都不知道我是谁，因为我在声优表里隐身了 
[滑稽][滑稽][滑稽]",2022-06-09 13:59:04,9354,16,奇玉,6,0,384801062,5,漩涡,夏日重现
要是声优是子安武人……,2022-06-09 14:05:45,684,0,丶艾恩葛朗特丶,6,1,384801062,5,漩涡,夏日重现
回复 @我是丶魔鬼 :哈哈哈哈哈哈,2022-06-09 18:09:08,16,0,梨花十四娘,6,1,384801062,5,漩涡,夏日重现
回复 @我是丶魔鬼 :那不用猜，都知道是谁是boss了[笑哭][喜极而泣][喜极而泣],2022-06-09 18:11:02,532,0,冥晓生,6,1,384801062,5,漩涡,夏日重现
因为要隐藏身份呀，这可是个大伏笔呢！,2022-06-09 18:35:34,102,0,姜杨那个大道,6,1,384801062,5,漩涡,夏日重现
回复 @冥晓生 :正好，这个boss也是个变态,2022-06-09 18:44:15,63,0,丶艾恩葛朗特丶,6,1,384801062,5,漩涡,夏日重现
正主好像目前也没说过话,2022-06-10 00:42:54,9,0,Meeegum1,6,1,384801062,5,漩涡,夏日重现
回复 @我是丶魔鬼 :哈哈哈哈，人如其名,2022-06-10 10:16:38,9,0,鮶行,6,1,384801062,5,漩涡,夏日重现
回复 @Me9um1 :说过，第一次轮回葬礼,2022-06-10 11:59:35,14,0,菈宾特A,6,1,384801062,5,漩涡,夏日重现
回复 @我是丶魔鬼 :那都不用猜了，这就是他,2022-06-10 19:50:16,14,0,玩不起喜欢拉黑的爬,6,1,384801062,5,漩涡,夏日重现
标出声优，幕后boss就现形了,2022-06-10 20:10:00,137,0,斑种草,6,1,384801062,5,漩涡,夏日重现
回复 @斑种草 :所以是谁呢,2022-06-17 00:01:40,2,0,Craneeeeee_-,5,1,384801062,5,漩涡,夏日重现
很简单，葬礼有个很少打酱油的声优。,2022-06-17 22:42:20,18,0,永远之滑稽,6,1,384801062,5,漩涡,夏日重现
回复 @我是丶魔鬼 :是替身攻击！,2022-06-19 23:55:09,0,0,鸳鸯火锅拳,6,1,384801062,5,漩涡,夏日重现
回复 @我是丶魔鬼 : 什么子安武人？明明是子安武，因为他不做人了啊，jojo！！！,2022-06-23 00:29:39,20,0,斋宫宗狂热女粉丝,4,1,384801062,5,漩涡,夏日重现
是白蛇（确信,2022-09-10 18:11:20,0,0,欧洲舰长orz,5,1,384801062,5,漩涡,夏日重现
7.5,2023-05-15 16:09:29,0,0,达达尼圭,6,1,384801062,5,漩涡,夏日重现
对剧情有疑问的话不要着急，后面也不会揭晓的，因为被p干净了[嗑瓜子][嗑瓜子][嗑瓜子],2022-06-11 14:11:03,15419,69,绯尘炽煜,6,0,384801062,5,漩涡,夏日重现
乐,2022-06-11 17:28:35,128,0,青苁木舟,5,1,384801062,5,漩涡,夏日重现
能问一下什么意思吗？,2022-06-12 01:07:35,34,0,容易不容易了啦,6,1,384801062,5,漩涡,夏日重现
日鹤好圈粉，又辣又飒的冷酷大姐姐，还在不起眼的地方保留了一个敏感的自我。[热词系列_优雅],2022-06-16 17:50:07,12083,19,HermioneGrangerT,6,0,257508444,6,轨道共振,夏日重现
"为何根津叔要说“看来明天要下雪了”，
翻译过来就是，日鹤哭=太阳从西边出来了。
为何日鹤否定说“最多只是下雨，”
因为她好强的想掩饰自己的失态，隐晦表示这种情况对她还不算太大的打击。
而后面提到天气预报是大晴天，这里日鹤已近乎哽咽。如果将悲伤比作酷暑中的倾盆大雨，那本该瓢泼时却艳阳高照岂不就是「连可以哭的地方都没有」？
夏日的细节一向挺赞[热词系列_吹爆]",2022-06-16 17:53:28,3884,0,HermioneGrangerT,6,1,257508444,6,轨道共振,夏日重现
龙之介:那我呢[笑哭],2022-06-16 21:36:29,202,0,平平无奇的小骑士,5,1,257508444,6,轨道共振,夏日重现
因为是龍哥嘛[喜极而泣],2022-06-19 22:23:34,27,0,泽永新二,6,1,257508444,6,轨道共振,夏日重现
"短评写不下，写了篇夏日的分集评析：
cv17212719",2022-06-22 12:58:14,20,0,HermioneGrangerT,6,1,257508444,6,轨道共振,夏日重现
回复 @杀曜哥哥 :这集应该没有龙之介吧？,2022-06-22 17:07:57,2,0,爆弾設置済,6,1,257508444,6,轨道共振,夏日重现
回复 @爆弾設置済 :我这条有人看见吗……？不懂为啥被秒吞,2022-06-22 17:08:18,4,0,爆弾設置済,6,1,257508444,6,轨道共振,夏日重现
回复 @爆弾設置済 :基本上都是龙之介，相反日鹤全程很少在线,2022-06-22 23:46:49,17,0,泽永新二,6,1,257508444,6,轨道共振,夏日重现
回复 @杀曜哥哥 :？你看发型啊，扎起来是龙之介散发是日鹤，这集就没有龙之介,2022-06-23 02:38:22,47,0,爆弾設置済,6,1,257508444,6,轨道共振,夏日重现
龙之介：我呢？！[傲娇],2022-06-24 22:16:44,4,0,太阳和狮子,6,1,257508444,6,轨道共振,夏日重现
回复 @陆离叁柒 :不要男姐姐(°∀°)ﾉ,2022-06-24 22:55:00,4,0,HermioneGrangerT,6,1,257508444,6,轨道共振,夏日重现
有没有这么一种可能，你喜欢的人其实是龙之介,2022-06-29 00:50:50,10,0,乱成一团的一团毛线,5,1,257508444,6,轨道共振,夏日重现
等等艾伦的影子哪来的啊？不是还活着吗,2022-06-29 20:42:00,3,0,它嘚划猥英雄学校官方,6,1,257508444,6,轨道共振,夏日重现
还有她那本不知道叫育饲啥的书,2022-06-29 23:11:46,3,0,波士顿没动力,6,1,257508444,6,轨道共振,夏日重现
真的好喜欢日鹤[大哭]美丽又强大，同时也有脆弱可爱的一面，好喜欢日鹤,2022-07-01 15:12:39,12,0,天价6枚硬币,5,1,257508444,6,轨道共振,夏日重现
其实战斗的情况全是龙之介，日鹤是智力担当,2022-10-02 02:58:07,0,0,-超级卷心菜-,6,1,257508444,6,轨道共振,夏日重现
回复 @-超级卷心菜- :双重人格,2022-10-04 07:57:22,1,0,GraceWinifred,5,1,257508444,6,轨道共振,夏日重现
回复 @为薇酱献出心脏 :可以这么理解,2022-10-04 14:52:06,0,0,-超级卷心菜-,6,1,257508444,6,轨道共振,夏日重现
确实,2022-10-23 10:37:38,0,0,小宇喂你吃香菜,5,1,257508444,6,轨道共振,夏日重现
姐姐说“那条信息”是什么意思,2022-11-07 06:43:19,0,0,drose0603,6,1,257508444,6,轨道共振,夏日重现
"难度逐渐提升
慎平目前要面对的问题有很多，仅他自己意识到的部分就有
1.影子的行动出现了变化，比如影子潮出现的时间变了，这导致计划被打乱，很多事只能走一步看一步
2.即便南云愿意帮他，南云仍然不是对他百分之百信任，不能完全指望南云
3.即便锄掉（疑似）了诗织，还没能找到影子吞噬全岛的根本原因
4.循环时间不断推迟，次数有限
但这还只是表面，地狱十八层，他才刚入门",2022-06-23 12:54:51,12477,68,东风谷泪子,6,0,982728621,7,仇敌,夏日重现
影子潮和慎平一起进入轮回了,2022-06-23 13:27:08,111,0,爱吃小笼包ovo,6,1,982728621,7,仇敌,夏日重现
是影潮和慎平一起进入轮回了哦,2022-06-23 15:00:05,113,0,紫色噩梦Devil,5,1,982728621,7,仇敌,夏日重现
话说女主的影子和其他影子不一样吧,2022-06-24 00:33:21,226,0,骑着摩托去宇宙丶,6,1,982728621,7,仇敌,夏日重现
回复 @晨枫same丶 :其他影子大多智能相对低下无脑模仿（比如凸村影子竟然在餐厅模仿本体看黄色废料，但凸村本人即便喜欢也不会影响自己警察的形象），有点智商的往往还被BOSS派去当打手（比如影子泠），潮不仅不听指挥甚至权限还逐渐向波稻靠拢，几乎不算是bug而是管理员了。,2022-06-24 07:39:30,2062,0,东风谷泪子,6,1,982728621,7,仇敌,夏日重现
回复 @血樱-宛網张杰炜 :好走,2022-06-24 12:17:52,141,0,东风谷泪子,6,1,982728621,7,仇敌,夏日重现
回复 @东风谷泪子 :就是就是,2022-06-24 12:37:17,8,0,账号已注销,0,1,982728621,7,仇敌,夏日重现
回复 @血樱-宛網张杰炜 :好走,2022-06-24 13:04:14,23,0,天使的微笑酷似恶魔,6,1,982728621,7,仇敌,夏日重现
回复 @血樱-宛網张杰炜 :好走,2022-06-24 13:26:39,19,0,摸鱼带师级,6,1,982728621,7,仇敌,夏日重现
回复 @血樱-宛網张杰炜 :钓鱼骗回复[妙啊],2022-06-24 14:06:10,18,0,无齿baby又脚滑,5,1,982728621,7,仇敌,夏日重现
回复 @血樱-宛網张杰炜 :好走,2022-06-24 14:47:37,9,0,只因姐姐你实在是太美,6,1,982728621,7,仇敌,夏日重现
回复 @血樱-宛網张杰炜 :影子战斗力那么强，不打架人类怎么赢。。。。,2022-06-24 14:53:28,37,0,梦幻海泡,6,1,982728621,7,仇敌,夏日重现
回复 @梦幻海泡 :用手电筒,2022-06-24 15:26:49,2,0,账号已注销,0,1,982728621,7,仇敌,夏日重现
回复 @血樱-宛網张杰炜 :但凡动点脑子,2022-06-24 15:50:22,20,0,-茴Ui-,6,1,982728621,7,仇敌,夏日重现
回复 @回转の寿司 :你学过物理吗,2022-06-24 15:52:48,0,0,账号已注销,0,1,982728621,7,仇敌,夏日重现
回复 @血樱-宛網张杰炜 :其实这本来就算战斗番吧？[打call][打call],2022-06-24 16:24:44,6,0,你是半生的礼物,6,1,982728621,7,仇敌,夏日重现
回复 @血樱-宛網张杰炜 :原来是麻省理工的博士，那相比起来我确实可能不算学过物理[嗑瓜子],2022-06-24 16:30:05,38,0,-茴Ui-,6,1,982728621,7,仇敌,夏日重现
回复 @血樱-宛網张杰炜 :影子不怕光，影子本体是实体。。。。。,2022-06-24 16:31:58,38,0,梦幻海泡,6,1,982728621,7,仇敌,夏日重现
回复 @梦幻海泡 :物理老师要被气死喽,2022-06-24 17:46:57,1,0,账号已注销,0,1,982728621,7,仇敌,夏日重现
回复 @血樱-宛網张杰炜 :番里的影子跟现实中的影子是一个东西？你家影子是立体的？,2022-06-24 17:52:25,42,0,梦幻海泡,6,1,982728621,7,仇敌,夏日重现
"夏日重现（× ）
颜艺之海（✓）",2022-06-30 12:02:01,12131,24,隔壁老王的追梦少年,5,0,427977005,8,遗物,夏日重现
梦幻联动（）,2022-06-30 12:07:04,15,0,梦袔,6,1,427977005,8,遗物,夏日重现
[笑哭][笑哭][笑哭]，有点像恐怖的男主颜艺登场了吧,2022-06-30 12:10:12,14,0,雷金霖,6,1,427977005,8,遗物,夏日重现
这个夏日不来杯乌龙茶吗？,2022-06-30 12:28:59,345,0,约瑟夫可汗,6,1,427977005,8,遗物,夏日重现
颜海重现,2022-06-30 12:32:09,67,0,三无少女冯宝宝,6,1,427977005,8,遗物,夏日重现
那年的夏日 重现之后=颜艺之海,2022-06-30 12:33:21,64,0,随心随行且听风吟,6,1,427977005,8,遗物,夏日重现
哈哈,2022-06-30 13:04:30,2,0,SY-洛枫,5,1,427977005,8,遗物,夏日重现
回复 @约瑟夫可汗 :你说的这个乌龙茶，它可燃吗？,2022-06-30 17:01:23,124,0,Kabiishou,5,1,427977005,8,遗物,夏日重现
颜艺之海的重现,2022-06-30 17:19:14,5,0,神木栩易_insY,6,1,427977005,8,遗物,夏日重现
来杯乌龙茶压压惊,2022-06-30 18:22:33,7,0,旋风小佳,6,1,427977005,8,遗物,夏日重现
回复 @约瑟夫可汗 :这乌龙茶，是纯酒精吗（,2022-06-30 22:58:13,12,0,九条不人,5,1,427977005,8,遗物,夏日重现
在海边混的，没点颜艺怎么行？[滑稽],2022-07-01 14:22:14,10,0,无限米制,6,1,427977005,8,遗物,夏日重现
没办法，不颜艺的话气氛太重了,2022-07-01 16:54:50,8,0,永远的宅博士,6,1,427977005,8,遗物,夏日重现
回复 @约瑟夫可汗 :不燃我不喝噻,2022-07-02 13:21:59,2,0,马嘉祺超撅鸡肉面条,5,1,427977005,8,遗物,夏日重现
回复 @十条不人 :也就是挥发性很强罢了,2022-07-03 08:31:31,1,0,花嫁的小小Dr,6,1,427977005,8,遗物,夏日重现
夏日之海，碧蓝重现[妙啊],2022-07-03 23:58:44,7,0,安九羊,3,1,427977005,8,遗物,夏日重现
回复 @约瑟夫可汗 :不如来杯白开水,2022-07-30 14:00:08,1,0,忽觉相思意,5,1,427977005,8,遗物,夏日重现
回复 @忽觉相思意 :二锅头还是生命之水?[嗑瓜子],2022-09-01 11:28:52,0,0,唐锋驭,5,1,427977005,8,遗物,夏日重现
男主颜艺一直可以的（,2022-09-18 11:46:10,0,0,王师傅喜欢听歌,5,1,427977005,8,遗物,夏日重现
特林普顿综合症[歪嘴],2022-10-03 00:37:53,0,0,-狼雨-,6,1,427977005,8,遗物,夏日重现
真正的诗织好可爱啊，看着就有股朝气，和影子诗织完全不一样[保卫萝卜_哭哭],2022-07-06 12:33:20,20476,94,敲高冷的天然呆,6,0,258096966,9,流吧！我的眼泪,夏日重现
波稻是这样的,2022-07-06 12:33:52,136,0,克里斯不是tina,6,1,258096966,9,流吧！我的眼泪,夏日重现
可惜......[大哭][大哭],2022-07-06 12:48:01,78,0,一只路过的雲雀,6,1,258096966,9,流吧！我的眼泪,夏日重现
影子诗织像自闭了一样[辣眼睛],2022-07-06 12:54:09,986,0,ima的呼噜,5,1,258096966,9,流吧！我的眼泪,夏日重现
