content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
就更了个中配啊，我还以为第7季闪电放送呢,2023-07-08 00:02:00,3780,57,落日银河-,6,0,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
我也是[大哭],2023-07-08 00:05:27,15,0,内向脆弱小铝孩,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
哈哈[委屈],2023-07-08 00:17:02,1,0,Aiwk蓝鲸,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
哈哈哈哈那也太闪电了吧,2023-07-08 00:21:05,4,0,墨零七,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
回复 @喜欢热血运动番 :给我激动的倒吸一口凉气从床上弹起来,2023-07-08 00:22:39,35,0,落日银河-,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
[大哭][大哭][大哭]中配就算了。我期待的不是中配,2023-07-08 00:27:13,15,0,ga式gaga,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
从未来直接购买吗哈哈哈哈哈哈哈哈哈哈,2023-07-08 00:31:13,2,0,Damnyyyyyy,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
我也是[保卫萝卜_哭哭][14周年],2023-07-08 00:35:40,1,0,__雪--,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
第七季大概多长时间才能看到啊？,2023-07-08 00:36:41,2,0,浮かぶ光の影,5,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
俺也[辣眼睛],2023-07-08 00:38:01,0,0,一个快乐的铅笔,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
我也[喜极而泣],2023-07-08 00:39:52,0,0,你醒啦丶,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
回复 @火星の黑煤球 :估计得明年,2023-07-08 00:40:30,1,0,匿名的咩咩,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
我也是[tv_笑哭],2023-07-08 00:42:30,0,0,海绵鼻涕宝贝,3,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
我也是,2023-07-08 00:44:06,0,0,是嘚嘚啊Q,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
[吃瓜]估计还在制作中呢，不会这么快吧！,2023-07-08 00:47:43,1,0,账号已注销,0,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
起猛了[妙啊],2023-07-08 00:49:08,2,0,艾拉酱だ,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
好嘛大半夜的都没睡呢,2023-07-08 00:54:32,1,0,等到烟火清凉吃茶去,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
我也是啊,2023-07-08 00:59:06,0,0,叶芸瑶,5,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
真是，吓我一跳,2023-07-08 01:01:08,0,0,此账号己径注销,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
我也是[大哭],2023-07-08 01:01:24,0,0,天养生请踩我,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
我也,2023-07-08 01:06:14,0,0,-浮生一梦---,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
还以为是第7季来了吓我一跳,2023-07-08 00:02:15,1726,20,是几时几分,5,0,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
哈哈哈哈都是这反应,2023-07-08 00:02:30,5,0,日唯_,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
我也是，毕竟第七集开始制作了嘛,2023-07-08 00:05:20,13,0,猪的鼻子大大,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
+1,2023-07-08 00:06:18,2,0,那就下次再见好了,3,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
我也是秒打开！！,2023-07-08 00:06:47,2,0,么么小琳子,5,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
回复 @猪的鼻子大大 :已经在制作了吗[脸红],2023-07-08 00:07:24,5,0,发芽土豆有点毒,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
+1,2023-07-08 00:08:20,0,0,沐寒秋aki,6,1,572821186,全片,,夏目友人帐 唤石者与怪异的访客（中配）
