content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
我14岁的时候夏目17岁，现在我21了，夏目还是17岁，原来我才是一直等夏目得那个尺素,2024-11-13 17:25:33,3434,44,苹果糖08,5,0,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
我已经忘了自己什么时候看的了，记得小时候就看过，初中看完了第六季，现在高二了，第七季终于来了[大哭],2024-11-13 22:25:23,81,0,众人皆醉我独刑,5,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
第三季第四集，我永远深爱的这集。,2024-11-13 23:20:11,34,0,木木冰水,6,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
14还是15年，当时初中毕业很无聊在电视上无意看的第二季。唉这么多年过去了,2024-11-13 23:41:58,9,0,Bee了hh,6,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
二次元和三次元永远躲不过的寿命论刀，用御持当cn也是第七个年头啦[大笑],2024-11-14 00:46:34,60,0,御持r,6,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
大雄……,2024-11-14 04:28:27,0,0,EzAn,4,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
一模一样啊啊啊啊，上次看初二14岁，现在已经大三了,2024-11-14 12:13:41,13,0,斑老爷,6,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
怎么办，我前面都不记得了，又要重看吗。话说是小说改的动漫吧，不知道小说完结没有,2024-11-14 13:15:27,0,0,漫天风飞杀,6,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
回复 @斑老爷 :我大四啦[大哭][大哭][大哭],2024-11-14 14:16:56,1,0,苹果糖08,5,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
回复 @阿咪糯司 : 漫画改，是绿川幸老师的漫画，还没有完结。漫画也很好看，特别温柔的画风,2024-11-14 17:45:09,5,0,祖传眯眯眼zzz,6,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
树妖，给曾经青春时候的我带来了久久的回想,2024-11-14 22:33:15,2,0,是一只修狗勾,6,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
17 岁的年纪刷到了，只可惜过去的少年已经不在了[大哭],2024-11-14 23:49:49,1,0,新东方啊乐,6,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
回复 @阿咪糯司 :是漫画改的哦,2024-11-15 08:02:45,0,0,四时之雪,6,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
他一定是遇到很温柔的人吧,2024-11-15 08:47:54,0,0,叶夜晨,6,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
[大哭][大哭][大哭]哭了 初三开始看的，现在已经大四了,2024-11-15 12:43:33,0,0,DanzainReminore,6,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
这一集是真的爱[嘟嘟],2024-11-15 13:37:02,0,0,泷奈sakana_,6,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
神谷君也快50了啊,2024-11-15 20:54:56,1,0,渡鴉154315168,6,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
夏目第一季15岁，到第五季已经快18了,2024-11-16 00:13:06,1,0,小小插班生,6,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
第四季第五集那个帮夏目说话的女生也特别好,2024-11-16 10:52:15,1,0,慕思儒,6,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
我从14岁看到20岁，在喜欢夏目的第七年迎来他的第七季，从比他小到比他大，看着遥遥无期的第七季有了消息，接着正式开播，真的很想哭[大哭],2024-11-16 11:12:06,1,0,归隐山林的烟烟,5,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
最喜欢的妖怪，别人都在等玲子，只有她在等夏目，而且变成猫猫给还没有遇到三三老师的小夏目带来了温暖,2024-11-16 14:18:57,5,0,孤城98,6,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
很像三三的老师,2024-11-16 23:23:06,3970,21,吴花果626,5,0,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
哇,2024-11-17 07:39:09,5,0,优优优幸,6,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
我还以为两只猫，还在惊奇这两只是怎么坐的，仔细一看，原来是一只[笑哭],2024-11-17 10:57:23,217,0,S-sxvvDs,5,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
我家猫也是这种混色但是她是圈圈白占的多些,2024-11-17 11:11:42,19,0,朝仓信的勾,6,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
这不捡回家吗！,2024-11-17 13:44:38,22,0,钠滋咩,6,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
回复 @纳兹米耶 :网图（⌒▽⌒）,2024-11-17 13:50:54,2,0,吴花果626,5,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
现实中的三三老师,2024-11-17 20:42:56,9,0,雾火火火,5,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
娘口三三[doge],2024-11-18 10:18:18,7,0,沫缘兮,5,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
不收编吗？[笑哭]我找不到和三三像的猫，领养了大橘，真的和三三一样又懒又馋,2024-11-20 23:13:27,56,0,小哥和胖胖,5,1,113440135841105,1,碎片的哀愁,夏目友人帐 第七季
哎嘿！[doge],2024-11-13 23:27:53,2155,37,晴楽君,6,0,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
卡哇伊！,2024-11-13 23:37:31,31,0,溯瑭,5,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
*一会就会动了（,2024-11-13 23:38:50,73,0,Otokaze_风尘,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
好可爱！,2024-11-13 23:41:08,8,0,葱贩子,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
可爱！！！,2024-11-13 23:57:32,5,0,北川遥,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
可爱！哪儿来的我也想要[大哭],2024-11-14 00:27:48,7,0,一笛陈情惊世人,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
迷你三三[星星眼],2024-11-14 00:51:00,9,0,夏师傅夏师傅,5,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
6666,2024-11-14 05:47:27,1,0,夏咲钥,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
上面再压壶酒,2024-11-14 06:49:41,3,0,闪光裤衩,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
我觉得有个地方有瑕疵，你赶紧寄过来，我给你指出来[黑眼圈_金箍][黑眼圈_金箍][黑眼圈_金箍],2024-11-14 09:55:45,26,0,紫竹洛黎,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
好可爱.,2024-11-14 09:59:22,1,0,无双JUMP2016,5,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
回复 @一笛陈情惊世人 :我自己建模3d打印的[doge]后面打算改吧改吧做成小型异型花瓶[大笑],2024-11-14 10:01:40,6,0,晴楽君,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
回复 @闪光裤衩 :夏目：工作时间不许喝酒（）[大笑],2024-11-14 10:36:24,4,0,晴楽君,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
回复 @账号注销94676164 :迷你三三包有的，我做了可以在茶碗里转圈的迷你老师[doge_金箍],2024-11-14 10:37:36,2,0,晴楽君,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
好厉害！,2024-11-14 10:53:47,0,0,埃诺Eino,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
回复 @晴楽君 :这么厉害，建议量产[脱单doge],2024-11-14 11:01:14,1,0,一笛陈情惊世人,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
可爱！,2024-11-14 11:10:06,0,0,洢悠然,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
怕哈哈哈哈,2024-11-14 11:13:40,0,0,我不想死在二十岁22,5,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
量产！！,2024-11-14 12:00:48,0,0,端桃,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
好可爱！,2024-11-14 12:39:49,0,0,爱你的薄暮,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
@拼多多,2024-11-14 12:44:45,0,0,今天的屁有点浓,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
像谁？[星空列车与白的旅行表情包_偷笑],2024-11-14 23:14:19,2306,38,正在努力想ID,6,0,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
三三！（即答）,2024-11-15 05:53:39,34,0,小绿PG,5,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
娘口三三！[doge],2024-11-15 07:11:40,8,0,白小溯-_-,4,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
啊啊啊啊娘口三三,2024-11-15 09:28:24,0,0,金酥肉,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
不够肥[doge],2024-11-15 10:12:50,20,0,浮竹幻梦,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
@君悦奈何 [妙啊],2024-11-15 10:23:21,0,0,尧仙,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
体型不像啊，oi[doge],2024-11-15 12:46:41,79,0,SG_次元姬,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
三三没这么小，所以是mini三三[胆大党_微笑],2024-11-15 13:03:23,72,0,彩电电脑冰箱空调,5,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
猫咪先生[星星眼],2024-11-16 11:32:24,0,0,瀟1999,6,1,113440135843633,2,曾几何时的庭院,夏目友人帐 第七季
2个2个，要2个~[惊喜],2024-11-15 12:53:48,676,10,国宝呐国宝呐,6,0,113440135906357,3,十完夜,夏目友人帐 第七季
老师可爱捏[给心心],2024-11-16 22:39:28,17,0,匿名希望w,5,1,113440135906357,3,十完夜,夏目友人帐 第七季
哆啦A梦实名羡慕,2024-11-17 01:34:51,42,0,亦余心之所善兮_V,5,1,113440135906357,3,十完夜,夏目友人帐 第七季
要五个的话就比不出来了吧？[tv_斜眼笑][tv_斜眼笑],2024-11-17 18:37:14,6,0,愿小欢_祈祷求职顺利,5,1,113440135906357,3,十完夜,夏目友人帐 第七季
娘口三三撒娇太可爱了૮ o̴̶̷᷄ ·̫ o̴̶̷̥᷅ ა,2024-11-18 16:07:18,1,0,境灵のgrand,6,1,113440135906357,3,十完夜,夏目友人帐 第七季
太萌了三三,2024-11-19 22:04:08,1,0,風浦息之嘆,5,1,113440135906357,3,十完夜,夏目友人帐 第七季
好可爱的图[星星眼]，猫咪老师的两根小手指太可爱了吧,2024-11-24 12:24:37,2,0,忆之书,5,1,113440135906357,3,十完夜,夏目友人帐 第七季
夏目上岁数之后肯定颈椎痛[笑哭]给三三胖的,2024-12-03 20:28:14,2,0,草莓可丽饼__,5,1,113440135906357,3,十完夜,夏目友人帐 第七季
回复 @亦余心之所善兮_V :哆啦其实也有一集是两指头,2024-12-28 21:05:47,0,0,叶芝词,5,1,113440135906357,3,十完夜,夏目友人帐 第七季
[笑][笑],2024-12-29 12:43:05,0,0,力少肥猫,3,1,113440135906357,3,十完夜,夏目友人帐 第七季
回复 @攒够钱就回家搓狗 :太惯着老师了,2025-04-06 19:30:30,0,0,小绿PG,5,1,113440135906357,3,十完夜,夏目友人帐 第七季
"总会有人打低分的，先截屏留个纪念吧。

友人帐如柒到来，欢迎回家，纳兹咩[给心心][给心心]",2024-11-15 01:31:55,172,1,地包天小羊淼金,6,0,113440135906357,3,十完夜,夏目友人帐 第七季
以前还是有满分的，现在最高就是9.9了,2024-11-15 08:34:08,10,0,゚八神嘉儿,6,1,113440135906357,3,十完夜,夏目友人帐 第七季
正版的,2024-11-14 23:03:33,59,2,全新的打开方式,6,0,113440135906357,3,十完夜,夏目友人帐 第七季
请问这是哪个平台or软件啊？,2024-11-15 12:15:42,0,0,小伪酱,6,1,113440135906357,3,十完夜,夏目友人帐 第七季
案山子[笑哭]还卡卡西呢[笑哭]不该是稻草人嘛[笑哭],2024-11-23 11:47:21,0,0,OnoDdaisuki,6,1,113440135906357,3,十完夜,夏目友人帐 第七季
老师的体型永远是个谜，感觉一会两米左右，一会五米以上。[笑哭],2024-11-16 01:01:52,287,5,索拉卡斯-,6,0,113440135841562,4,书页的深处,夏目友人帐 第七季
[doge]有可能他自己可以控制本体大小,2024-11-16 07:01:22,163,0,毛十二月,6,1,113440135841562,4,书页的深处,夏目友人帐 第七季
毕竟这是在书店里面，要是画太大了不得把书店给破坏了,2024-11-16 10:00:19,105,0,小逗比-,6,1,113440135841562,4,书页的深处,夏目友人帐 第七季
没事，这也是个妖怪书店，没准可以随地大小便,2024-11-16 12:03:00,40,0,三都鸭,6,1,113440135841562,4,书页的深处,夏目友人帐 第七季
