content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
非常好牛丼，爱来自吉野家川崎西口店,2024-12-14 10:00:40,5149,91,百文不如一见,6,0,113639415680527,1,东京号子,少女乐队的呐喊
感谢款待凸∩__∩凸,2024-12-14 10:04:41,857,0,西门浮士德,6,1,113639415680527,1,东京号子,少女乐队的呐喊
还挺便宜,2024-12-14 10:13:54,50,0,竹林夏语,5,1,113639415680527,1,东京号子,少女乐队的呐喊
感谢款待凸∩__∩凸,2024-12-14 10:14:29,237,0,东条化工,6,1,113639415680527,1,东京号子,少女乐队的呐喊
感谢款待凸∩__∩凸,2024-12-14 10:15:14,720,0,Cpoem,5,1,113639415680527,1,东京号子,少女乐队的呐喊
西口～西口～,2024-12-14 10:15:54,24,0,紧柯刺秦王,5,1,113639415680527,1,东京号子,少女乐队的呐喊
感谢款待凸∩__∩凸,2024-12-14 10:16:37,65,0,幕小容,6,1,113639415680527,1,东京号子,少女乐队的呐喊
有感谢吗？,2024-12-14 10:18:10,33,0,千草鈴,4,1,113639415680527,1,东京号子,少女乐队的呐喊
已经结束力，变成自助点餐机了,2024-12-14 10:23:41,73,0,Feruto,6,1,113639415680527,1,东京号子,少女乐队的呐喊
回复 @small云愿biu : 怕被打捏,2024-12-14 10:33:04,33,0,百文不如一见,6,1,113639415680527,1,东京号子,少女乐队的呐喊
怎么不来句阿里嘎多[doge],2024-12-14 10:34:34,22,0,我の琴里,5,1,113639415680527,1,东京号子,少女乐队的呐喊
日本的吉野家是不是比国内好吃很多,2024-12-14 10:40:19,12,0,吾名为安心院,6,1,113639415680527,1,东京号子,少女乐队的呐喊
好多肉呀[星星眼],2024-12-14 11:01:01,3,0,春和景明二世,6,1,113639415680527,1,东京号子,少女乐队的呐喊
[少女乐队的呐喊表情包_摇滚][少女乐队的呐喊表情包_摇滚][少女乐队的呐喊表情包_摇滚],2024-12-14 11:06:29,30,0,岩鹰123,6,1,113639415680527,1,东京号子,少女乐队的呐喊
老友粉oi,2024-12-14 11:12:29,3,0,_查鸽鸽,6,1,113639415680527,1,东京号子,少女乐队的呐喊
怎么发的笔记[少女乐队的呐喊表情包_拜托],2024-12-14 11:57:05,3,0,文音川,5,1,113639415680527,1,东京号子,少女乐队的呐喊
[少女乐队的呐喊表情包_摇滚][少女乐队的呐喊表情包_摇滚],2024-12-14 11:57:55,6,0,诡宿子,6,1,113639415680527,1,东京号子,少女乐队的呐喊
回复 @吾名为安心院 :应该是吧，国内的真的很难评[笑哭],2024-12-14 12:01:07,5,0,凌川源,6,1,113639415680527,1,东京号子,少女乐队的呐喊
[少女乐队的呐喊表情包_摇滚],2024-12-14 12:16:03,4,0,ISERI丶NINA,5,1,113639415680527,1,东京号子,少女乐队的呐喊
[少女乐队的呐喊表情包_摇滚][少女乐队的呐喊表情包_摇滚],2024-12-14 12:35:11,5,0,陈阙辅三秦,6,1,113639415680527,1,东京号子,少女乐队的呐喊
回复 @吾名为安心院 : 有一说一，没吃过国内的[笑哭],2024-12-14 12:50:29,7,0,百文不如一见,6,1,113639415680527,1,东京号子,少女乐队的呐喊
简单8题，测一测你是剧中的哪个角色：https://b23.tv/lwS8oTu,2024-12-18 14:02:39,5233,1021,能量加油站,6,0,113639415680527,1,东京号子,少女乐队的呐喊
你这,2024-12-18 18:42:08,34,0,太阳鸟586,6,1,113639415680527,1,东京号子,少女乐队的呐喊
小孩姐,2024-12-18 21:01:32,196,0,晨夕花火,6,1,113639415680527,1,东京号子,少女乐队的呐喊
hina,2024-12-18 21:18:57,535,0,thehumblefigure,4,1,113639415680527,1,东京号子,少女乐队的呐喊
小孩姐,2024-12-18 22:24:48,64,0,云诗ぱ雨糖,5,1,113639415680527,1,东京号子,少女乐队的呐喊
tomo,2024-12-18 23:37:19,80,0,AndidoFrancis,6,1,113639415680527,1,东京号子,少女乐队的呐喊
486,2024-12-18 23:55:31,417,0,蝎欠,6,1,113639415680527,1,东京号子,少女乐队的呐喊
小孩,2024-12-19 00:06:24,29,0,银白之树,4,1,113639415680527,1,东京号子,少女乐队的呐喊
tomo[少女乐队的呐喊表情包_害羞],2024-12-19 00:17:26,79,0,海老塚智_togetoge,5,1,113639415680527,1,东京号子,少女乐队的呐喊
这里第一次看还不明白这段对白仁菜的否定，后面才知道仁菜这个“我不要”是什么意思。[tv_流泪],2024-12-14 10:15:38,1576,25,大和田仁美,6,0,113639415745220,2,三只夜行动物,少女乐队的呐喊
细说，没看懂🙏,2024-12-14 10:35:12,26,0,XxXbd4aKc,6,1,113639415745220,2,三只夜行动物,少女乐队的呐喊
回复 @XxXbd4aKc :结合第八话看,2024-12-14 10:36:12,46,0,大和田仁美,6,1,113639415745220,2,三只夜行动物,少女乐队的呐喊
