content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
就算在你再孤独，再绝望的时候，也请记住，有无数个细胞只为你一个人活[2233娘_大笑],2018-07-08 07:22:48,38910,155,萌之上-即为荡漾,6,0,26361000,1,肺炎链球菌,工作细胞
惨案,2018-07-08 21:57:18,45,0,gbby,6,1,26361000,1,肺炎链球菌,工作细胞
(°∀°)ﾉ,2018-07-08 22:39:56,20,0,as12as120,5,1,26361000,1,肺炎链球菌,工作细胞
一下子就被治愈了。。。可以转载吗,2018-07-10 09:23:17,540,0,无泪deadline,6,1,26361000,1,肺炎链球菌,工作细胞
可以的哦(´-ω-`),2018-07-10 09:34:47,61,0,萌之上-即为荡漾,6,1,26361000,1,肺炎链球菌,工作细胞
忽然泪目,2018-07-10 12:32:49,35,0,天天大人在要工要,5,1,26361000,1,肺炎链球菌,工作细胞
回复 @阳阳66666 :并没有好，不过微微一暖,2018-07-10 14:39:35,111,0,夫诸侯,6,1,26361000,1,肺炎链球菌,工作细胞
治愈了(･∀･),2018-07-12 11:02:28,42,0,单身狗也挺好,6,1,26361000,1,肺炎链球菌,工作细胞
然而只有10%的细胞听你指挥（滑稽）,2018-07-17 14:44:43,3636,0,企鹅我去而,6,1,26361000,1,肺炎链球菌,工作细胞
就你这头像  我就得给你点赞,2018-07-22 20:54:04,39,0,光州节度留后,6,1,26361000,1,肺炎链球菌,工作细胞
回复 @南音歆 :我也给你点（￣▽￣）,2018-07-22 22:30:39,2,0,萌之上-即为荡漾,6,1,26361000,1,肺炎链球菌,工作细胞
回复 @萌之上-即为荡漾 :还行,2018-07-23 08:26:08,1,0,光州节度留后,6,1,26361000,1,肺炎链球菌,工作细胞
突然被治愈到了,2018-07-25 21:20:01,17,0,AAA夷陵爱心毛衣批发,6,1,26361000,1,肺炎链球菌,工作细胞
感动,2018-07-29 15:36:11,4,0,春天妖精和樱桃树,5,1,26361000,1,肺炎链球菌,工作细胞
就冲你这句话，我特喵的关了！,2018-07-31 21:06:46,6,0,結海樓雲生,6,1,26361000,1,肺炎链球菌,工作细胞
你是天使吧(￣3￣),2018-07-31 21:21:29,14,0,友人BBBB,6,1,26361000,1,肺炎链球菌,工作细胞
大惨案，另外两条热评都是四位数的回复，就只有你才16条,2018-07-31 21:46:41,23,0,贲贲仔,6,1,26361000,1,肺炎链球菌,工作细胞
你每秒将失去多少老婆，你心中没有b数吗？,2018-07-31 22:21:50,533,0,不负先圣之血,6,1,26361000,1,肺炎链球菌,工作细胞
献血?,2018-07-31 22:32:02,6,0,鹽潭,6,1,26361000,1,肺炎链球菌,工作细胞
泪目😭,2018-08-12 21:49:16,2,0,caaaaaattt,6,1,26361000,1,肺炎链球菌,工作细胞
每时每刻细胞都有死亡的 到你死的时候 全身细胞都换了几遍了,2018-08-20 18:44:03,90,0,忍者心寒,5,1,26361000,1,肺炎链球菌,工作细胞
纵观所有番剧的老婆，只有这一部的老婆是我真正拥有的,2018-07-08 00:41:38,271490,2435,齐木心美的灾难,6,0,26361000,1,肺炎链球菌,工作细胞
哈哈哈哈哈哈哈哈哈突然扎心哈哈哈哈哈,2018-07-08 01:24:56,9926,0,这个昵称也被占用,5,1,26361000,1,肺炎链球菌,工作细胞
（/TДT)/,2018-07-08 01:33:26,4606,0,世界抑止力破灭地使徒,6,1,26361000,1,肺炎链球菌,工作细胞
哈哈哈哈一语道破,2018-07-08 01:34:11,3844,0,o萨塔妮亚o,4,1,26361000,1,肺炎链球菌,工作细胞
必须点赞,2018-07-08 01:34:17,2254,0,小杀233,6,1,26361000,1,肺炎链球菌,工作细胞
而且你拥有60兆个老公老婆,2018-07-08 01:34:50,13294,0,小杀233,6,1,26361000,1,肺炎链球菌,工作细胞
不想破你123攒的～(￣▽￣～),2018-07-08 01:34:56,1385,0,ちまき菌,6,1,26361000,1,肺炎链球菌,工作细胞
血库最吵闹的地方之一就是存血小板的地方，因为血小板要一直震动才能保持活性，不然就会变成你伤口上的样子_(:з」∠)_所以剧中血小板跳来跳去可以说很还原了,2018-07-15 06:06:59,27516,102,3A5E5A,6,0,26833564,2,擦伤,工作细胞
还以为只是卖萌。。,2018-07-15 12:00:50,1555,0,sundreaming,5,1,26833564,2,擦伤,工作细胞
表示不知道,2018-07-15 12:32:33,259,0,星-屑,6,1,26833564,2,擦伤,工作细胞
学到了(｀・ω・´),2018-07-15 13:43:51,445,0,森落千秋_,6,1,26833564,2,擦伤,工作细胞
学到了,2018-07-15 15:49:37,101,0,朕呆萌i,6,1,26833564,2,擦伤,工作细胞
回复 @森落浅秋 :偶遇Σ(ﾟдﾟ;),2018-07-15 16:05:25,16,0,狂暴电子小熊,6,1,26833564,2,擦伤,工作细胞
回复 @小教徒_ :Σ教徒！偶遇x,2018-07-15 16:10:11,14,0,森落千秋_,6,1,26833564,2,擦伤,工作细胞
原来不是卖萌！,2018-07-15 20:04:49,142,0,龙骑士rider,6,1,26833564,2,擦伤,工作细胞
回复 @守护之神迦娜 :是不止是卖萌,2018-07-15 20:33:55,100,0,GlassesSuwako,6,1,26833564,2,擦伤,工作细胞
现在才知道,2018-07-15 22:06:19,35,0,Cansinv,6,1,26833564,2,擦伤,工作细胞
想了想好像确实是这么回事，这帮货停下来就是血栓……,2018-07-16 08:46:10,3211,0,Rogan年后,6,1,26833564,2,擦伤,工作细胞
血袋里加入了肝素等抗凝剂，配合震动防止体外的凝血。输血的时候，也可以看到血袋的来回晃动啊,2018-07-16 09:05:13,842,0,赵love舒,6,1,26833564,2,擦伤,工作细胞
回复 @鸡鸡藕 :血袋会自己晃动，好惊悚Σ(ﾟдﾟ;),2018-07-16 12:52:04,219,0,凌乱凌乱,6,1,26833564,2,擦伤,工作细胞
回复 @鸡鸡藕:就是，怎么那么惊悚的,2018-07-16 13:00:12,60,0,3A5E5A,6,1,26833564,2,擦伤,工作细胞
回复 @凌乱凌乱 :不是自己晃是机器晃啊！,2018-07-16 20:55:26,260,0,拾山0831,6,1,26833564,2,擦伤,工作细胞
华法林警告,2018-07-17 09:05:43,32,0,黑暗妖月,6,1,26833564,2,擦伤,工作细胞
原来还以为单纯的卖萌呢(｀・ω・´),2018-07-17 11:47:07,68,0,初音我老婆不接受反驳,6,1,26833564,2,擦伤,工作细胞
长时间卧床会导致下肢栓塞也是因为这个原因么,2018-07-17 14:16:52,162,0,星海龍王,6,1,26833564,2,擦伤,工作细胞
回复 @星海龍王:不清楚。。。毕竟我不是学医的╮(￣▽￣)╭,2018-07-17 17:35:36,10,0,3A5E5A,6,1,26833564,2,擦伤,工作细胞
回复 @星海龍王 :就是这个原因(°∀°)ﾉ还有尸斑的形成也是因为血不流动了而在下面堆积起来的,2018-07-21 02:09:21,225,0,崎岖之岩石,6,1,26833564,2,擦伤,工作细胞
还以为是官方鬼畜，学到了,2018-07-21 17:19:13,47,0,真理酱L,5,1,26833564,2,擦伤,工作细胞
近年来少有的让人信心满满的真·闭嘴番。当别人对你说“哎呀主角战斗力无脑强真是不真实”的时候，你终于可以理直气壮怼回去：“你是不是不想活了？”(=・ω・=),2018-07-15 09:14:16,70038,340,我是大鲨鱼1979,6,0,26833564,2,擦伤,工作细胞
同九年系列,2018-07-15 09:21:51,2649,0,鲁珀小姐摸鱼中,6,1,26833564,2,擦伤,工作细胞
回复 @风随唐宋 :嘛，主角到现在也就杀了不到十个吧,2018-07-15 20:03:30,1039,0,柊离东东,6,1,26833564,2,擦伤,工作细胞
