content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
"前一分钟：有个这样的妹妹多好啊……
看完一集：有个这样的哥哥多好啊……",2015-07-22 21:38:49,7923,370,伪玉,6,0,2544174,1,小埋与哥哥,干物妹！小埋
你等了这条评论五年[doge],2020-08-31 16:25:00,524,0,黑洞要吃中子星,5,1,2544174,1,小埋与哥哥,干物妹！小埋
回复 @黑洞要吃中子星 :五年了……我还是没有这样的哥哥，所以我决定自己成为这样的哥哥！——可是我也还是没有这样的妹妹……,2020-08-31 18:53:39,224,0,伪玉,6,1,2544174,1,小埋与哥哥,干物妹！小埋
哈哈哈艹,2020-09-10 21:18:16,14,0,薄荷宋,6,1,2544174,1,小埋与哥哥,干物妹！小埋
五年五个月零五天。缘分就是那么妙不可言。,2020-12-27 18:19:57,222,0,御坂でぇす,5,1,2544174,1,小埋与哥哥,干物妹！小埋
六年了,2021-02-03 15:41:00,9,0,慢慢的静静的-,6,1,2544174,1,小埋与哥哥,干物妹！小埋
七年了，我替你发出第六个弹幕,2021-07-24 22:57:23,8,0,尘封冬雪,6,1,2544174,1,小埋与哥哥,干物妹！小埋
只要成绩超过他们兄妹你的愿望一定会实现的，相信自己！,2021-11-16 18:00:01,5,0,毛茸茸的慕辞,6,1,2544174,1,小埋与哥哥,干物妹！小埋
八年了我替你发出第八个,2022-01-06 02:59:08,9,0,我的弟弟最可爱-,4,1,2544174,1,小埋与哥哥,干物妹！小埋
回复 @尘封冬雪 :八年了[doge],2022-03-31 17:04:17,4,0,仁恕之道终非治军良策,5,1,2544174,1,小埋与哥哥,干物妹！小埋
有活人吗？！,2022-05-02 17:09:12,6,0,巴伐利亚110G-4,6,1,2544174,1,小埋与哥哥,干物妹！小埋
[笑哭],2022-06-01 21:52:13,3,0,Roki227,6,1,2544174,1,小埋与哥哥,干物妹！小埋
[2022][大笑],2022-07-10 16:49:44,3,0,lllllmlllll-,5,1,2544174,1,小埋与哥哥,干物妹！小埋
好家伙[笑哭],2022-07-18 22:21:16,4,0,神之执法者,4,1,2544174,1,小埋与哥哥,干物妹！小埋
还有吗[doge],2022-07-28 12:32:51,3,0,Kalalyain,5,1,2544174,1,小埋与哥哥,干物妹！小埋
回复 @不问朝与暮 :大…大概有人吧（确信）,2022-07-28 15:11:05,4,0,通辽布政使,5,1,2544174,1,小埋与哥哥,干物妹！小埋
6,2022-11-04 22:21:51,3,0,肆无忌惮地野蛮生长,5,1,2544174,1,小埋与哥哥,干物妹！小埋
活人还是有的,2022-11-13 01:44:24,5,0,绮罗星的歌声天下第一,5,1,2544174,1,小埋与哥哥,干物妹！小埋
快九年了,2022-12-02 17:04:49,6,0,一个屑小坦,4,1,2544174,1,小埋与哥哥,干物妹！小埋
已经九年了,2023-01-11 09:56:38,3,0,账号已铢销,5,1,2544174,1,小埋与哥哥,干物妹！小埋
7年了[脱单doge],2023-01-17 09:55:31,2,0,-elver-,5,1,2544174,1,小埋与哥哥,干物妹！小埋
实验了小埋在剧中的吃法，不得不说大包原味乐事＋红豆味蘑菇力＋冰镇可乐的味道简直逆天T^T极甜与极咸，口感略微绵软的巧克力与酥脆的薯片轮番轰炸，再来一口可乐，简直爽到飞起！奶酪条与鱿鱼干也超棒！,2015-07-12 20:40:50,22840,130,一颗牛奶草莓糖,6,0,2544174,1,小埋与哥哥,干物妹！小埋
等等我是不是重点不对咳咳……顺便尼桑和小埋都超可爱wwww,2015-07-12 20:47:33,391,0,一颗牛奶草莓糖,6,1,2544174,1,小埋与哥哥,干物妹！小埋
哈哈哈，我也要这样吃！！！,2017-12-11 13:29:56,75,0,晴锅锅最帅,5,1,2544174,1,小埋与哥哥,干物妹！小埋
于是…多少钱呢（也想试试的人。）,2019-05-07 12:23:13,358,0,克莱因蓝Zopiclone,5,1,2544174,1,小埋与哥哥,干物妹！小埋
嗯，不错，括号删的很干净，去财务领钱,2019-05-22 23:34:06,105,0,好奇的萌新,6,1,2544174,1,小埋与哥哥,干物妹！小埋
好！【记在本本上】,2019-06-29 22:17:45,21,0,温带寂风,6,1,2544174,1,小埋与哥哥,干物妹！小埋
有钱一起赚[画风突变],2019-07-22 02:03:25,26,0,树下青羽,6,1,2544174,1,小埋与哥哥,干物妹！小埋
低头看秤，190,2019-08-12 23:56:41,1343,0,深海霸王虾,6,1,2544174,1,小埋与哥哥,干物妹！小埋
回复 @阿坤不传球 :魔鬼,2019-08-15 17:50:41,28,0,艾洛_ALO,6,1,2544174,1,小埋与哥哥,干物妹！小埋
我也试了!也用的乐事和蘑菇力!,2019-08-17 21:35:51,18,0,八月与你hanabi,5,1,2544174,1,小埋与哥哥,干物妹！小埋
兄弟，你肠胃真的没问题吗？我上次这样结果拉肚子ಥ_ಥ,2019-09-29 14:48:04,37,0,腐一神,3,1,2544174,1,小埋与哥哥,干物妹！小埋
买不到鱿鱼干[笑哭],2019-10-05 02:41:57,8,0,Yamiccv,5,1,2544174,1,小埋与哥哥,干物妹！小埋
这个番让我想起了小时候趴在床上不搭理妹妹的叫唤就被她大屁股墩子坐腰上，还有她想买什么爸妈不给就跑我这边一把鼻涕一把泪抹我怀里然后我省钱给她买的童年。。。现在妹妹长大了也再也不粘着我了，看到我也只是一句哥哥然后平淡得聊聊就结束了～有些时候觉得她成熟了是好事但心里就是放不开的呀。。。,2015-07-20 01:21:02,21749,137,不开僧,5,0,2578084,2,小埋与海老名,干物妹！小埋
