content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
"我的一个朋友说，看过花名的人，真是基本上对面码都没有抵抗力啊。
看花名是什么感觉呢？就像你毕业了，照完照了，一个人先走，回头看班里的同学还在闹哄哄地拥抱，签名，拍照，你就那么站着看，然后突然眼泪往下掉。
因为注定要分别。
因为我想你，可我不知道，还能不能再见你。
因为我们会遇到别人，我害怕，害怕他们会变得比你还重要，害怕我会忘了你。
我的好朋友和我说，你看花名之所以会哭，因为你把自己代入了。你会害怕自己离开最爱的人，你会害怕从来走不进喜欢的人的眼里，你会害怕自己不过是别人的替代品，你更害怕，欠下已经还不清的对不起。
你最怕的是，来不及说我喜欢你，我最最喜欢的，就是你。
花名中，每一个人都在用力的去爱，爱到义无反顾。
面码最后还是离开了，可是仁太不再颓废，小菊花开的温暖灿烂，波波开始不再漂泊，鹤子也能真正地走进雪集的眼里。
所有的人都得到了救赎，所有人都有机会告诉自己喜欢的人，我用整个青春，喜欢着你。
那么，本间芽衣子，祝福你。",2016-07-17 01:28:27,118589,811,账号已注销,0,0,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
千里送热评 为你点赞(ง •̀_•́)ง,2016-08-16 15:30:44,367,0,小瓜咩,6,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
为何我的感受会如此深呢！,2017-01-04 02:35:18,113,0,渝渝yuyu,6,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
千里送热评 为你点赞(ง •̀_•́)ง,2018-07-14 19:18:52,65,0,梦想家路法,6,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
为什么看到你这评论我又哭了,2018-08-22 17:08:03,349,0,令和天皇-mate丶川,4,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
我小学毕业感觉得了干眼症一般，，，，，，，，，，，，，，,2018-08-28 18:12:15,51,0,有趣的哲学,5,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
看完花名，我就不可救药的爱上玄幻，可能在玄幻中上我看到了，那上穷碧落下黄泉，挽回心中逝去的机会。大概面码以及像面码那样的故人，我还不能放下吧，尽管已经过去4年。,2018-09-20 14:19:42,134,0,悲歌慷慨何处话,6,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
回复 @高境远界 :人生苦短，用力去爱。,2018-09-24 00:33:56,15,0,白日梦想家-Amber,6,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
愿每一个你爱的人，都像你爱她一样爱你,2018-09-27 23:12:23,41,0,晓尛_,6,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
回复 @小小芋圆儿 :会看到的，她一直都在，不是么,2018-10-30 10:42:38,60,0,小嘤花呼呼,6,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
表白你头像鸭[小电视_太太喜欢],2019-01-09 21:49:02,9,0,玖茶茶茶茶,5,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
情种,2019-01-13 15:56:04,3,0,干地小翼,6,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
看完评论鼻头又是一酸。(´；ω；`),2019-01-14 09:49:39,12,0,基友的激情,6,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
为什么说出我一直以来的都害怕的心声，永远装作很快乐，很无所谓，其实是害怕自己被别人不需要的那种孤独,2019-01-17 23:13:40,31,0,漂流的爱1991,4,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
初中毕业时的我们哭的稀里哗啦[小电视_发愁],2019-02-02 00:32:12,16,0,烈火桑尼柯里昂,6,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
写得真好,2019-02-02 23:49:39,8,0,pluto_sk,6,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
回复 @小小芋圆儿 :要相信面码一定会看到的,2019-02-04 20:27:34,8,0,魂泣凪葬,6,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
说的真好,2019-02-08 01:42:00,4,0,100个美梦,6,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
然也然也,2019-02-12 14:55:24,1,0,orangePhoenix,6,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
愿高中毕业后我们还能在一起,2019-02-17 19:58:53,5,0,捉到一只小夜莺,6,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
所以在还来得及的时间里努力不留下遗憾,2019-02-18 01:55:24,1,0,墨鱼-Fish,5,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
"真的是看到最后才明白面码的意思，才能明白制作这部动画的意思呢。在世的人是面码的爸爸妈妈弟弟，还有超和平的五个小伙伴们，以逝去的是面码和仁太的妈妈，在世的人在悲痛逝去的人，逝去的人在担心在世的人，纠纠缠缠，谁都无法解脱和快乐，正因为自己惦念的人还在温柔的惦念着自己，所以要带着这份温柔，和惦念的人一起快乐下去，其实面码的愿望不是小伙伴们重归于好，是希望，不要在被这样错误的束缚着了，正确的不是束缚是温柔的思念。正如在世的人放不下一样，逝去的人更担心呢。仁太的妈妈担心着倔强的仁太，面码担心着爸爸妈妈和弟弟害怕自己束缚他们，面码还担心着小伙伴们，也许面码一直都知道小伙伴们的纠纠缠缠，一直都在担心着大家。面码喜欢仁太啊，温柔的喜欢温柔的拯救了所有沉浸在痛苦里的人，她的存在，想告诉小伙伴家人和所有人，要温柔的快乐下去呐。(,,•́ . •̀,,)",2015-08-01 21:47:40,85659,231,猫猫猫竟然被注册了,6,0,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
说的好，打破零回复,2016-12-17 17:09:55,261,0,地府的鱼籽酱,6,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
深有感触,2017-01-02 00:16:52,112,0,枫阳叶雪,5,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
说的特别棒,2017-08-08 04:49:38,35,0,奇幻风之旅,6,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
笔芯说的好好,2018-08-30 23:52:08,12,0,光之黑骑士,4,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
道理都懂，但依旧难以放下。,2018-09-20 14:13:21,194,0,悲歌慷慨何处话,6,1,1358913,1,超和平busters,我们仍未知道那天所看见的花的名字。
