content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
"我雪之下雪乃怎么可能和这种人交往，由比滨同学，即使是我也会生气的，说到底这个男人根本不可能做到和正常人交往，和他交往的只能是昆虫吧。
，
，
，
，
，
，
，
比企谷君，请把我变成不会生气的昆虫",2020-07-10 15:00:10,50382,274,踏浪追云,6,0,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
雪之下雪乃：真香,2020-07-10 15:14:24,663,0,夏的远行者,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
真香[呲牙],2020-07-10 15:15:15,84,0,mynameczc,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
在？带我飞？,2020-07-10 15:18:37,323,0,bili丶赋,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
雪之下虫乃[doge][doge],2020-07-10 15:26:45,1798,0,haru_modoki,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
雪之下境泽[doge],2020-07-10 15:30:51,247,0,左侍郎-,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
我虫柱改个名字怎么了,2020-07-10 15:32:50,242,0,温变化的度,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
"大老师:还有吗？够了吧，已经没问题了吧
雪乃:不，至少让我说完这最后一句话
我喜欢你，比企谷君",2020-07-10 15:34:46,590,0,花开零落时,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
回复 @Megumi惠痴 :雪之下虫乃:别问，问就是真香[doge],2020-07-10 15:35:17,85,0,花开零落时,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
嗯嗯[热词系列_真香],2020-07-10 15:39:23,12,0,梨枝咖啡,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
虫姐[doge],2020-07-10 15:44:27,7,0,老司机的迈巴赫,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
[doge]虫儿飞♬,2020-07-10 15:50:26,16,0,神州守护符华仙,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
雪之下虫乃,2020-07-10 15:57:59,12,0,打不死的小强77,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
甚香呼,2020-07-10 16:13:30,1,0,佐仓千代wuli,4,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
虫乃[doge],2020-07-10 16:16:05,8,0,Iris之名,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
没人能逃过[热词系列_真香],2020-07-10 16:18:01,2,0,憨憨人张三,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
爷青回，快乐,2020-07-10 16:22:04,6,0,癫狂者_,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
爷青回,2020-07-10 16:24:36,6,0,千层砂,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
阁下，跟这样的虫豸在一起（意味深），怎么能办好侍奉社呢！？（昆虫学家并感）,2020-07-10 16:30:26,114,0,祥瑞妖精雪亲王,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
不，是雪之下志乃[偷笑],2020-07-10 16:33:25,82,0,Phoenix_紫陌,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
虫之下虫奶,2020-07-10 16:34:42,7,0,希望获得一份感动,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
"苦等五年终于迎来了春物完结篇。
二期动画结束于对应原作小说11卷，此时一方面在共同经历了高二这一年的种种后，八雪彼此的情感箭头愈发清晰，雪乃已经开始萌生送八幡送手工巧克力这样的想法；另一方面，家庭带给她的压力，也随着雪妈一起在剧情中正面登场。
二期动画结尾处雪乃正处于全作最迷茫和脆弱的时刻，既有对自己在家庭的位置、未来理想的迷茫，同时伴生的自卑，也让她对自己和八幡的关系产生了自我怀疑与否定，认为这是一种错误的“依赖”的关系。
于此同时，目睹了八雪越来越强烈的情感互动下，团子也做出了自己的决意，摊牌说出了自己的想法“希望三人一直保持现在的关系”（即不挑明三人彼此的内心纠葛、不要改变现状）、“我全都要”（友谊与爱情），因为和家人的问题正处于极度迷茫与自卑的雪乃几乎就要同意团子的提议时，八幡最终冒着失去现在关系的风险（小说中八幡的内心也同样害怕挑明后现在的关系不复存在）提出：
“我不赞成你的提议。雪之下的问题应该由雪之下自己解决。”
“什么模棱两可的答案，串通一气的关系……这些都不需要。”
于是，在八幡的鼓励下雪乃也下定决心，不再沉湎于侍奉部看似和谐、却是由“伪物”所遮掩维系的关系，如同三期动画本集中提出的委托：
“想要请你们，一直看到最后。这样就好。”
雪之下在自己萌发的恋心、对友谊的顾及、和对自身“依赖”八幡的反省之中，最终作出决意走出脆弱，独自承担起舞会承办的委托工作。
然而，她对八幡的情感，真的只是错误的“依赖”吗？雪乃已经作出决意要纠正这份“错误”关系后，一直以“侍奉部委托”、“静老师的赌约”、“小町的要求”等各种名义作为理由，不断去与雪乃发生关联的八幡，最终能抛下种种借口，找到自己的“真物”吗？
“他和她的故事”终于迎来终曲，正如雪乃作出的委托一样，我也希望每一位同样喜爱这个故事的朋友，在春物跨时多年的陪伴后：
想要请你们，一直看到最后。",2020-07-10 15:05:11,74479,510,我憧憬的雪之下雪乃,6,0,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
顶顶,2020-07-10 15:10:02,32,0,貓魘の華,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
等了多长时间啊,2020-07-10 15:10:08,86,0,02的甜真甜,4,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
[妙啊],2020-07-10 15:11:14,15,0,史上最强的皇帝,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
回复 @81332048350_bili :最后十四话已经定了，想要if线建议玩游戏,2020-07-10 15:12:22,386,0,平平凡凡比企谷,5,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
你的替身速度是♾️么[doge],2020-07-10 15:14:03,39,0,Iseri_Nina,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
顶，这段描述梳理了前面第二季的内容，没有剧透，请大家放心看,2020-07-10 15:14:36,1400,0,Dorothy的喵,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
提前写好真的是厉害,2020-07-10 15:16:57,89,0,君余韵,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
好作品不需要请你看下去的，我都快跪着看了,2020-07-10 15:17:44,221,0,君余韵,6,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
说吧，你在备忘录里面放了多久？[吃瓜],2020-07-10 15:19:03,4369,0,_要啥没啥-,5,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
评论马上破万[doge][doge],2020-07-10 15:19:18,38,0,0头像疯狂暗4,5,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
你字多，跟你混[OK],2020-07-10 15:20:52,43,0,智商以欠费qq,5,1,968751305,1,不久后 季节变迁 冰雪融化,我的青春恋爱物语果然有问题。完
"文艺青年的高中生活：
《我的青春恋爱物语果然有问题》
普通青年的高中生活：
《我的青春物语有问题》
我的高中生活：
《我有问题》",2020-07-17 15:00:14,23112,314,夢归旧都,6,0,838920134,2,迄今为止 我从没有触碰过那把钥匙,我的青春恋爱物语果然有问题。完
