content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
"难得来兴致模仿炮姐扔硬币结果扔到床和墙的缝里拿不出来了T-T
这真是一个悲伤地故事(´･_･`)",2016-02-24 19:32:53,22307,227,TIA-N-AIT,6,0,3934631,1,电击使 Electro Master,某科学的超电磁炮
2333模仿请选择第一集炸车式宽阔地带,2016-02-25 18:32:26,436,0,景易易,6,1,3934631,1,电击使 Electro Master,某科学的超电磁炮
注定成为不了一个装逼的人呢(´･_･`),2016-02-27 01:43:48,456,0,诱人可爱,4,1,3934631,1,电击使 Electro Master,某科学的超电磁炮
233333333333,2016-07-19 09:03:29,15,0,阿妈特拉斯哇,5,1,3934631,1,电击使 Electro Master,某科学的超电磁炮
表示学炮姐扔硬币就没失败过,2016-12-14 20:01:55,92,0,老朽名曰秀吉,6,1,3934631,1,电击使 Electro Master,某科学的超电磁炮
你怎么这么...我都不知道说什么好了，估计有不少看这番的人学御坡扔硬币导致各种悲剧发生。,2019-04-20 23:43:46,784,0,账号已注销,0,1,3934631,1,电击使 Electro Master,某科学的超电磁炮
我也是，不过我是学的时候砸到我头上了，至今头上还有个包,2019-05-02 10:57:15,145,0,账号已注销,0,1,3934631,1,电击使 Electro Master,某科学的超电磁炮
我差点砸了学校灯管[无语],2019-05-19 13:03:10,117,0,那梦中流星,6,1,3934631,1,电击使 Electro Master,某科学的超电磁炮
辣条没了，〒_〒......两包！！！,2019-05-26 21:45:54,42,0,即入柒坑,3,1,3934631,1,电击使 Electro Master,某科学的超电磁炮
那一集,2019-06-01 23:01:10,7,0,-饿了会自己捡垃圾吃-,5,1,3934631,1,电击使 Electro Master,某科学的超电磁炮
我也弹了，手指好痛,2019-06-10 20:46:04,31,0,蓝色的执着zsx,6,1,3934631,1,电击使 Electro Master,某科学的超电磁炮
一样,2019-06-30 14:51:33,2,0,小瀮rain,6,1,3934631,1,电击使 Electro Master,某科学的超电磁炮
回复 @正_在_加_载_中_ :你也太厉害了[囧],2019-07-07 14:20:53,4,0,冰冰冰柜陈醋,5,1,3934631,1,电击使 Electro Master,某科学的超电磁炮
回复 @正_在_加_载_中_ :我倒常常弹到自己脸上。。。[无语],2019-07-07 16:32:14,18,0,冰冰冰柜陈醋,5,1,3934631,1,电击使 Electro Master,某科学的超电磁炮
俺也是，滚到沙发底下了，一直都没有找到,2019-07-12 16:19:12,18,0,虚映,6,1,3934631,1,电击使 Electro Master,某科学的超电磁炮
回复 @青歌陈智 :对于这种行为...我还能说什么好?,2019-07-25 15:02:47,8,0,账号已注销,0,1,3934631,1,电击使 Electro Master,某科学的超电磁炮
回复 @青歌陈智 :多么痛的领悟,2019-07-25 15:03:08,10,0,账号已注销,0,1,3934631,1,电击使 Electro Master,某科学的超电磁炮
我还模仿过炮姐踢贩卖机，结果，5555,2019-08-02 16:29:29,91,0,繁星归晨,6,1,3934631,1,电击使 Electro Master,某科学的超电磁炮
回复 @余生唯爱鞠婧祎 :skr🐺炎,2019-08-04 14:20:27,3,0,LapF_,6,1,3934631,1,电击使 Electro Master,某科学的超电磁炮
还是把硬币放在轨道炮里好一点,2019-08-04 20:18:21,9,0,是翔启呐-v-,6,1,3934631,1,电击使 Electro Master,某科学的超电磁炮
笑死我了 这是搞笑番吧,2022-02-02 12:59:58,3519,32,白井黑子の电脑配件,5,0,294282879,2,炎日下工作 必须补充水分,某科学的超电磁炮
