content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
看完这番我吓得立马拿起书学习，后来想想……劳资不是高考完了么……,2017-07-13 07:25:25,69122,559,Q_Fortuneeeee,6,0,12139404,1,什么是恶？凡是源于虚弱的东西都是恶,欢迎来到实力至上主义的教室
应该去锻炼，万一被电晕和一群人被流放到岛上一人发一包炸。弹玩大乱斗怎么办？╮(￣▽￣)╭（惊爆游戏梗）,2017-07-13 14:16:37,3793,0,FENG鸦,6,1,12139404,1,什么是恶？凡是源于虚弱的东西都是恶,欢迎来到实力至上主义的教室
回复 @FENG鸦:哈哈哈哈哈哈可以的，我这就去锻炼还不行么,2017-07-13 14:18:08,658,0,Q_Fortuneeeee,6,1,12139404,1,什么是恶？凡是源于虚弱的东西都是恶,欢迎来到实力至上主义的教室
回复 @夙王爷 :哈哈哈哈哈,2017-07-13 15:16:21,211,0,egoist祈,6,1,12139404,1,什么是恶？凡是源于虚弱的东西都是恶,欢迎来到实力至上主义的教室
回复 @egoist祈:╮(╯▽╰)╭,2017-07-13 15:29:47,76,0,Q_Fortuneeeee,6,1,12139404,1,什么是恶？凡是源于虚弱的东西都是恶,欢迎来到实力至上主义的教室
要想混得不错上了大学工作以后都得不断学习，除非你有个好爹,2017-07-13 18:37:53,811,0,mosaka,6,1,12139404,1,什么是恶？凡是源于虚弱的东西都是恶,欢迎来到实力至上主义的教室
回复 @mosaka:我爹挺好的嗯……不过也得好好学啊╮(￣▽￣)╭,2017-07-13 20:48:45,220,0,Q_Fortuneeeee,6,1,12139404,1,什么是恶？凡是源于虚弱的东西都是恶,欢迎来到实力至上主义的教室
me too,2017-07-14 00:47:01,26,0,花田小夜梨,4,1,12139404,1,什么是恶？凡是源于虚弱的东西都是恶,欢迎来到实力至上主义的教室
在大疯大浪中锻炼吧～～(￣▽￣～),2017-07-14 05:09:20,51,0,仙兔阿啾,6,1,12139404,1,什么是恶？凡是源于虚弱的东西都是恶,欢迎来到实力至上主义的教室
回复 @仙兔阿啾:hhhhhhhhh好的,2017-07-14 05:15:04,12,0,Q_Fortuneeeee,6,1,12139404,1,什么是恶？凡是源于虚弱的东西都是恶,欢迎来到实力至上主义的教室
回复 @百里巡洋:高三党抱一个=￣ω￣=,2017-07-14 05:15:29,26,0,Q_Fortuneeeee,6,1,12139404,1,什么是恶？凡是源于虚弱的东西都是恶,欢迎来到实力至上主义的教室
工地等你,2017-07-14 11:54:57,82,0,l买菜必涨价,6,1,12139404,1,什么是恶？凡是源于虚弱的东西都是恶,欢迎来到实力至上主义的教室
回复 @不求长久只愿拥有:嗯，等我六年后研究生毕业就去工地,2017-07-14 11:56:40,91,0,Q_Fortuneeeee,6,1,12139404,1,什么是恶？凡是源于虚弱的东西都是恶,欢迎来到实力至上主义的教室
