content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
我们学校以前有个学姐想去南极，然后就自己跑公司拉赞助，说如果她成功到了南极就把该公司的产品穿戴在身上做广告……后来她真的就这么成功地完成了自己的梦想。,2018-01-18 17:28:10,5636,19,言者之于,6,0,17904979,1,青春百万円,比宇宙更远的地方
666,2018-01-18 21:51:59,15,0,袁-都-督,6,1,17904979,1,青春百万円,比宇宙更远的地方
我妈一个大学同学，毕业后去了广州，然后她女儿现在高一，刚从南极回来，是去陪同参加一个世界级会议（当然是自费的且名额只有一个，她非常幸运）。是学校给的名额……还给了我一份自己拍摄的南极风景明信片。那个明信片被用来做慈善活动。我是四线小城市的。我……我……我好jb羡慕啊。都是十五岁的。唉。虽然早去晚去都差不多吧，但是……。我有生之年一定要去南极orz,2018-01-19 01:29:01,520,0,整点potato,6,1,17904979,1,青春百万円,比宇宙更远的地方
回复 @季北风:你要相信一生那么漫长而现世还不至于那么造化弄人，有坚定的梦想总会实现的(๑•̀ㅂ•́)و✧,2018-01-19 08:07:35,66,0,言者之于,6,1,17904979,1,青春百万円,比宇宙更远的地方
回复 @风调雨顺向初阳:是滴是滴，我相信(°∀°)ﾉ,2018-01-19 17:00:07,3,0,整点potato,6,1,17904979,1,青春百万円,比宇宙更远的地方
回复 @万里烛光 :只要有利益就管用,2022-09-14 00:18:19,6,0,桜丿羽翼,5,1,17904979,1,青春百万円,比宇宙更远的地方
回复 @万里烛光 :我去哈哈哈哈,2022-10-21 14:58:00,2,0,朝云KFC,6,1,17904979,1,青春百万円,比宇宙更远的地方
我的天我的天，她太酷了吧,2022-11-05 14:30:38,27,0,shjzwykybsaw,6,1,17904979,1,青春百万円,比宇宙更远的地方
绝对一番之南极物语,2022-11-17 08:17:42,5,0,大陆北方邦网友,5,1,17904979,1,青春百万円,比宇宙更远的地方
南极人？,2022-11-18 11:36:08,4,0,可能都是机器人吧,6,1,17904979,1,青春百万円,比宇宙更远的地方
最早去南极的两个国家的队伍展开了竞争，其中一个国家的队伍全员牺牲，有一个正好建立在南极点的科考站的名字就是纪念这些英雄的,2022-12-19 21:57:18,317,0,一枚海厨,5,1,17904979,1,青春百万円,比宇宙更远的地方
回复 @一枚海厨 :怎么能说算是英雄？,2022-12-30 00:03:54,7,0,b站乞丐大币哥,5,1,17904979,1,青春百万円,比宇宙更远的地方
回复 @刀羌涧 :怎么样了,2023-04-07 23:39:04,2,0,魔法少女栗子,5,1,17904979,1,青春百万円,比宇宙更远的地方
回复 @一枚海厨 :美国的阿蒙森-斯科特站吧。,2023-04-13 06:35:52,30,0,祝福你那可爱前途光明,6,1,17904979,1,青春百万円,比宇宙更远的地方
回复 @刀羌涧 :现在完成了吗？,2023-06-14 11:08:55,1,0,花火の下,5,1,17904979,1,青春百万円,比宇宙更远的地方
回复 @花火の下 :虽然看不到评论不记得当时许下什么宏愿但无一例外全部没有，甚至身体还更差了，尼玛，被生活压垮了属于是,2023-08-04 22:25:29,9,0,整点potato,6,1,17904979,1,青春百万円,比宇宙更远的地方
回复 @祝福你那可爱前途光明 : 是的，阿蒙森和斯科特两位勇士,2024-01-04 22:17:40,9,0,一枚海厨,5,1,17904979,1,青春百万円,比宇宙更远的地方
回复 @b站乞丐大币哥 :为科学献身怎么不算英雄？,2025-06-20 16:03:31,13,0,Pronin_,4,1,17904979,1,青春百万円,比宇宙更远的地方
回复 @整点potato :你说你要去南极！,2025-07-13 17:44:56,0,0,命数似梦易解,6,1,17904979,1,青春百万円,比宇宙更远的地方
