content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
"小兵：在盾勇的房间，发现这样的东西(;¬_¬)。。。。
国王：这是毫无疑问的证据ヽ(`Д´)ﾉ
盾勇：女装大佬没见过啊(^・ω・^ )
众人：。。。。。",2019-01-04 15:34:49,65249,208,苍岚之风,6,0,39745777,1,盾之勇者,盾之勇者成名录
想顶你上热评，可我只有一个赞,2019-01-04 16:21:06,829,0,风钰冰,6,1,39745777,1,盾之勇者,盾之勇者成名录
可以[2233娘_大笑],2019-01-04 19:31:00,147,0,桃涟,6,1,39745777,1,盾之勇者,盾之勇者成名录
啊啊啊，去看小说了,2019-01-04 20:11:05,171,0,恨收斯坦,6,1,39745777,1,盾之勇者,盾之勇者成名录
从此，本国的法律,2019-01-04 22:24:19,325,0,niu_shen,6,1,39745777,1,盾之勇者,盾之勇者成名录
多了一条,2019-01-04 22:24:27,285,0,niu_shen,6,1,39745777,1,盾之勇者,盾之勇者成名录
秀儿，是你么,2019-01-04 22:28:41,28,0,三三de刻刻帝,6,1,39745777,1,盾之勇者,盾之勇者成名录
你是贞德秀（￣▽￣）,2019-01-04 22:50:54,24,0,寂寞宋,6,1,39745777,1,盾之勇者,盾之勇者成名录
你成功引起了我的注意！,2019-01-05 00:24:48,28,0,摸不出大红的林墨,6,1,39745777,1,盾之勇者,盾之勇者成名录
为了上热评都不择手段了,2019-01-05 00:52:13,31,0,叶落下的瞬间,6,1,39745777,1,盾之勇者,盾之勇者成名录
"我罗罗乌人从不退缩!
角盾——封印山!",2019-01-05 01:07:05,87,0,GlaD-OS,6,1,39745777,1,盾之勇者,盾之勇者成名录
秀儿，是你吗,2019-01-05 01:50:02,3,0,不吃鱼的喵53,6,1,39745777,1,盾之勇者,盾之勇者成名录
不，我要挤[小电视_害羞],2019-01-05 05:23:13,4,0,沙湖沐雨,6,1,39745777,1,盾之勇者,盾之勇者成名录
我觉得第一集是两集合成的，所有才隔两周天,2019-01-05 07:56:42,32,0,GlaD-OS,6,1,39745777,1,盾之勇者,盾之勇者成名录
回复 @Linksans :(〜￣△￣)〜两份的快乐一次体验完,2019-01-05 11:03:56,14,0,寻道归,6,1,39745777,1,盾之勇者,盾之勇者成名录
这个操作有点秀,2019-01-05 11:06:27,9,0,南小则KONORI,6,1,39745777,1,盾之勇者,盾之勇者成名录
可以说是很机智了,2019-01-05 11:17:36,8,0,空谷苍竹,6,1,39745777,1,盾之勇者,盾之勇者成名录
回复 @Linksans :这个第一集的精彩部分在后边，如果是拆分的两集，那第一集得无聊死[2233娘_大笑],2019-01-05 12:23:36,53,0,忆北寒OwO,6,1,39745777,1,盾之勇者,盾之勇者成名录
nbnb,2019-01-05 12:39:54,4,0,嗜睡の书虫,6,1,39745777,1,盾之勇者,盾之勇者成名录
为什么你这么优秀？我我无十六个小号五十六个赞送你上热评,2019-01-05 13:27:35,5,0,我永远喜欢柳梦璃,4,1,39745777,1,盾之勇者,盾之勇者成名录
在盾勇最困难的时候给他经验和金钱，一直对盾勇不离不弃，关键时刻能够成为男主武器的，不是拉芙塔利亚，而是我气球怪啊！,2019-01-16 23:34:09,40266,387,病娇机器人,6,0,40875736,2,奴隶少女,盾之勇者成名录
秀啊！[2233娘_大笑],2019-01-16 23:37:36,528,0,暮春朝雪,6,1,40875736,2,奴隶少女,盾之勇者成名录
还当什么盾勇，专职当召唤师吧,2019-01-17 00:00:54,1073,0,一米米鱼绪,6,1,40875736,2,奴隶少女,盾之勇者成名录
是我气球怪哒,2019-01-17 00:07:13,1351,0,Louth,6,1,40875736,2,奴隶少女,盾之勇者成名录
明明是我先的,2019-01-17 00:31:20,408,0,扮演的角色,6,1,40875736,2,奴隶少女,盾之勇者成名录
你好秀啊，要不要朕拿玉玺给你开个核桃，拿虎头铡给你剃个头发[小电视_笑],2019-01-17 01:22:55,424,0,白银の龙,6,1,40875736,2,奴隶少女,盾之勇者成名录
秀到我了(-_-#),2019-01-17 01:23:28,96,0,AskMiu,6,1,40875736,2,奴隶少女,盾之勇者成名录
虽然感觉不对，但好像也没什么错[2233娘_困惑],2019-01-17 01:34:58,244,0,蓬蒿何处去不得,6,1,40875736,2,奴隶少女,盾之勇者成名录
就如同哥布林对于哥布林杀手一样(￣3￣),2019-01-17 01:45:11,248,0,白金OfflciaI,6,1,40875736,2,奴隶少女,盾之勇者成名录
我在想后期主角拿怪来恐吓人怕不怕要在背上扛着走,2019-01-17 02:05:14,211,0,剑伤死魂,6,1,40875736,2,奴隶少女,盾之勇者成名录
蒂花之秀,2019-01-17 02:15:58,39,0,Dora_cool,6,1,40875736,2,奴隶少女,盾之勇者成名录
回复 @一小绪 :当个火车王也行啊(｀・ω・´),2019-01-17 03:15:25,21,0,X1LanHua,6,1,40875736,2,奴隶少女,盾之勇者成名录
走吧，开花去吧,2019-01-17 03:33:36,8,0,蚀梦犬,6,1,40875736,2,奴隶少女,盾之勇者成名录
气球怪:明明是我先来的！,2019-01-17 05:14:03,120,0,Otinlunas,6,1,40875736,2,奴隶少女,盾之勇者成名录
气球怪才是真爱,2019-01-17 05:57:50,38,0,长安不问天,6,1,40875736,2,奴隶少女,盾之勇者成名录
皮球怪真爱[2233娘_大哭],2019-01-17 06:22:56,20,0,什么猫饼3,6,1,40875736,2,奴隶少女,盾之勇者成名录
把啊换成哒吧[小绿和小蓝_邪恶脸],2019-01-17 06:41:29,14,0,天泠Q,6,1,40875736,2,奴隶少女,盾之勇者成名录
我无话可说,2019-01-17 07:09:00,2,0,峄山碑,6,1,40875736,2,奴隶少女,盾之勇者成名录
老铁没毛病,2019-01-17 07:34:33,2,0,ACE2010,6,1,40875736,2,奴隶少女,盾之勇者成名录
回复 @剑伤死魂 :23333333333好特么有画面感啊,2019-01-17 07:46:18,6,0,土鱼300斤,6,1,40875736,2,奴隶少女,盾之勇者成名录
"《关于从零开始的猪头少年在异世界不会梦到浣熊少女这件事》


温馨提示 : 
请珍惜这只还是萝、莉的小浣熊
只要打开0.5倍，这集还是47分钟


PS：剑之勇者之所以这么菜是因为本体现在正在教五胞胎学习呢[蛆音娘_滑稽]",2019-01-23 22:00:08,9658,239,琉漓_,6,0,41479108,3,灾厄的浪潮,盾之勇者成名录
前排,2019-01-23 22:00:16,10,0,just_nothing_,5,1,41479108,3,灾厄的浪潮,盾之勇者成名录
前排,2019-01-23 22:01:08,1,0,没有情商的虚无宅,3,1,41479108,3,灾厄的浪潮,盾之勇者成名录
后排,2019-01-23 22:01:22,0,0,她是我老婆不要碰,6,1,41479108,3,灾厄的浪潮,盾之勇者成名录
所以二楼连个影子都没了吗,2019-01-23 22:01:26,5,0,芒果味bca,6,1,41479108,3,灾厄的浪潮,盾之勇者成名录
前排,2019-01-23 22:01:33,0,0,-五十岚铃-,6,1,41479108,3,灾厄的浪潮,盾之勇者成名录
后排,2019-01-23 22:02:11,1,0,茕疚九,6,1,41479108,3,灾厄的浪潮,盾之勇者成名录
挤挤,2019-01-23 22:02:57,1,0,群狼のKaM1,6,1,41479108,3,灾厄的浪潮,盾之勇者成名录
挤一挤,2019-01-23 22:03:11,2,0,巧克力大王929,5,1,41479108,3,灾厄的浪潮,盾之勇者成名录
不去找会长告白跑来这看盾勇？！,2019-01-23 22:03:33,185,0,bili_50727685,6,1,41479108,3,灾厄的浪潮,盾之勇者成名录
你为何能发语音！[蛆音娘_滑稽],2019-01-23 22:03:53,0,0,冬之收藏,6,1,41479108,3,灾厄的浪潮,盾之勇者成名录
好欧的啊有？,2019-01-23 22:05:00,0,0,_楓林晩,6,1,41479108,3,灾厄的浪潮,盾之勇者成名录
优秀,2019-01-23 22:05:13,1,0,夏尔缇斯塔亞,6,1,41479108,3,灾厄的浪潮,盾之勇者成名录
考哥.jpg,2019-01-23 22:05:34,13,0,Liulh0224,6,1,41479108,3,灾厄的浪潮,盾之勇者成名录
都说了你们这些家伙不要把声优和角色联系到一起啊！,2019-01-23 22:06:16,164,0,败犬应援专业户,6,1,41479108,3,灾厄的浪潮,盾之勇者成名录
明明是跟ugo爬塔去了,2019-01-23 22:06:25,37,0,独言善断,6,1,41479108,3,灾厄的浪潮,盾之勇者成名录
挤挤,2019-01-23 22:06:51,2,0,二咸匪,6,1,41479108,3,灾厄的浪潮,盾之勇者成名录
三玖天下第一,2019-01-23 22:07:24,18,0,三月份狮子,6,1,41479108,3,灾厄的浪潮,盾之勇者成名录
挤挤,2019-01-23 22:07:38,0,0,清丶彦,6,1,41479108,3,灾厄的浪潮,盾之勇者成名录
666，厉害啊(｀・ω・´),2019-01-23 22:08:15,0,0,为了普通的生活而努力,6,1,41479108,3,灾厄的浪潮,盾之勇者成名录
"我整理了一下情报
1.浪潮隔一段时间来一次
2.每次来天空都会红
等等这不是月经吗？",2019-01-30 22:06:18,39062,521,Assassinful,6,0,42141845,4,黎明的摇篮曲,盾之勇者成名录
你不应该止步于此,2019-01-30 22:35:06,1436,0,ウィンターヤン,6,1,42141845,4,黎明的摇篮曲,盾之勇者成名录
送你上去[小电视_笑],2019-01-30 22:55:11,285,0,小介子,6,1,42141845,4,黎明的摇篮曲,盾之勇者成名录
秀啊,2019-01-30 23:00:07,207,0,是只芝士鱼,6,1,42141845,4,黎明的摇篮曲,盾之勇者成名录
秀儿,2019-01-30 23:17:43,58,0,Chouibyou,6,1,42141845,4,黎明的摇篮曲,盾之勇者成名录
送你上去哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2019-01-30 23:41:48,59,0,言言言x,6,1,42141845,4,黎明的摇篮曲,盾之勇者成名录
也就是说勇者的本质是姨妈巾?,2019-01-31 00:42:26,2249,0,安格比,6,1,42141845,4,黎明的摇篮曲,盾之勇者成名录
十年寒窗咋没把你冻死[蛆音娘_扶额],2019-01-31 00:44:54,1180,0,天光燃己,6,1,42141845,4,黎明的摇篮曲,盾之勇者成名录
细思极恐,2019-01-31 00:52:20,74,0,该用户名已被取用,6,1,42141845,4,黎明的摇篮曲,盾之勇者成名录
回复 @驭天寒 :因为他有暖宝宝,2019-01-31 00:56:06,165,0,葫芦藤上挂着藕,6,1,42141845,4,黎明的摇篮曲,盾之勇者成名录
