content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
我是被骗进来的[喜极而泣][喜极而泣][喜极而泣][喜极而泣],2023-11-03 20:09:37,772,15,勿忘羽祈,6,0,705416956,1,地下斗技场,盾之勇者成名录 第三季
来骗来偷袭,2023-11-03 20:21:28,14,0,AL技术革新,6,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
最不讲武德的一集。,2023-11-03 21:09:13,10,0,萧慕容云海,6,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
回复 @W_Proo :有个国漫叫我叫mt,2023-11-03 21:20:41,16,0,驿外断桥-,5,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
这名字第一眼看太喜感了[笑哭],2023-11-03 21:46:48,15,0,Arturia-lion,6,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
这番变得好有钱啊 经费充足啊,2023-11-03 22:05:02,8,0,小村吉他手,6,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
炸裂[妙啊],2023-11-03 22:34:40,0,0,宇宙奇迹闪耀之星,5,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
嗨孙贼,2023-11-03 23:07:45,2,0,3shine丶,6,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
虽然我知道我是mt，但是我还是看成了我tm勇者归来[doge],2023-11-04 00:01:38,61,0,二月猫猫丶,6,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
盾勇的作用不就是mt吗，好像也没错[笑哭][响指],2023-11-04 00:31:37,68,0,斜阳落远山,6,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
笑死我了，这什么鬼名字啊,2023-11-08 07:06:14,2,0,雅木茶正在赶往战场,6,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
哈哈哈太艹了，看MT的那段时光真的是青春啊,2023-11-24 12:29:39,4,0,饿了的箱子,6,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
和mt有某种程度的相似,2023-12-31 03:49:35,1,0,绿lv色色,6,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
为什么mt还不更新第七季啊,2024-01-18 12:17:38,0,0,巴陵众-天使,6,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
啊,2024-01-25 00:27:50,0,0,阿诗勒隼_,3,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
回复 @二月猫猫丶 :对不起 我也是[笑哭],2025-05-25 01:35:02,0,0,允许开心小剧场,6,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
来看小浣熊一脸嫌弃[脱单doge][脱单doge],2023-11-04 01:13:59,129,5,陆拾柒Sixty,6,0,705416956,1,地下斗技场,盾之勇者成名录 第三季
这是变性了吗？[脱单doge],2023-11-26 00:21:36,7,0,兔兔mango,5,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
小拉芙不是浣熊哦[笑哭],2023-11-28 12:38:35,3,0,夜光焰,4,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
回复 @夜光焰 :似乎就是完能，第一季第二季说了完能种亚人,2023-12-16 18:14:02,4,0,盛乞年华,5,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
回复 @夜光焰 :是浣熊吧,2024-07-03 17:36:01,3,0,盖世英熊qwq,5,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
回复 @盖世英熊qwq :浣熊种,2025-06-11 18:31:49,3,0,微微上凉,5,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
啊？刚划走，好像发现什么熟悉的东西。划回来原来是盾之憋屈成名录?这推荐语还挺适合的,2023-11-04 14:42:19,108,2,风-雨-同-舟,6,0,705416956,1,地下斗技场,盾之勇者成名录 第三季
"盾之勇者成名录（no）
盾你太背（yes）",2023-12-23 07:42:40,3,0,许褚测,6,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
那个黄毛的图有吗？[doge],2023-12-30 12:52:19,0,0,双錵,5,1,705416956,1,地下斗技场,盾之勇者成名录 第三季
我本来不想看的，但这个小浣熊太可爱了,2023-11-10 20:30:19,365,17,KU-托米,6,0,450460885,2,娜迪亚,盾之勇者成名录 第三季
这次还是可以的，尤其是后面剑之勇者黑化能让你想起一位戴面具的故人。[doge],2023-11-10 20:38:39,94,0,S魔物娘之奶娘S,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
确实,2023-11-10 20:44:30,1,0,异域快雀永远准时,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
回复 @S魔物娘之奶娘S :van,2023-11-10 20:44:32,9,0,永远喜欢朝武芳乃的我,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
回复 @永远喜欢朝武芳乃的我 :现在不让发那个图了,2023-11-10 20:50:48,6,0,S魔物娘之奶娘S,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
回复 @S魔物娘之奶娘S :van图都没法发了？,2023-11-10 21:00:24,6,0,泸沽湖有好几个,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
小浣熊在哪集啊,2023-11-11 01:34:48,1,0,淸風徐来丶,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
[doge]拉芙拉芙,2023-11-11 15:40:29,4,0,风-你在听吗,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
回复 @始终铭心 :[OK],2023-11-12 13:04:40,0,0,呓语骨科,5,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
[藏狐]第二季据说太憋屈了没看，这个小浣熊什么来历,2023-11-13 18:31:29,1,0,SCPー166,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
回复 @永远喜欢朝武芳乃的我 :应该是老八,2023-11-14 01:47:54,1,0,汉堡可乐拼好饭,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
我也本来不打算看的，但是那个封面给我炸进来了[笑哭],2023-11-16 19:35:58,0,0,汐米宅罗君_takuro,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
同上,2023-11-24 21:56:39,0,0,轻车云奉尉,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
应该是小熊猫不是浣熊,2025-08-02 03:34:00,0,0,创业小帅,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
回复 @SCPー166 :为了找娜芙塔利亚用她的头发做的式神,2025-08-08 01:22:13,2,0,王泪_lian,5,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
回复 @SCPー166 :找人时候用的通灵。,2025-10-14 23:07:58,1,0,关中钢们信仰玩家,5,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
找人时候用的通灵。,2025-10-14 23:08:08,0,0,关中钢们信仰玩家,5,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
回复 @SCPー166 :对了，奢侈品怎么跑出去了？[嗑瓜子][doge_金箍],2025-10-14 23:08:30,0,0,关中钢们信仰玩家,5,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
既来之休走之,2023-11-11 15:30:33,71,0,销碧宰治,5,0,450460885,2,娜迪亚,盾之勇者成名录 第三季
阿瞒有我良计，取冀州便是易如反掌,2023-11-10 20:22:30,1437,41,Y_Hide,6,0,450460885,2,娜迪亚,盾之勇者成名录 第三季
蒸,2023-11-10 20:30:41,18,0,怠惰的鹿,5,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
点进来就是为了看这句的,2023-11-10 20:43:30,68,0,伍玖阁,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
满意离开,2023-11-10 20:44:55,24,0,源物唐分,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
看满离,2023-11-10 20:46:00,16,0,陪提莫长大,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
我超，蒸！[脱单doge],2023-11-10 20:58:02,10,0,汉豪丶,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
"回复 @伍玖阁 : 为啥阿,这个番含有什么要素吗.",2023-11-10 20:58:19,1,0,海绵宝宝剑魔儿,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
回复 @海绵宝宝剑魔儿 :封面姿势,2023-11-10 20:59:50,25,0,某不知名的达瓦里希,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
吾有良略在怀 必为阿瞒所需[doge],2023-11-10 21:02:33,47,0,莫得理智的干饭龙,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
冀冀短寸[doge],2023-11-10 21:04:36,2,0,1968ledzeppelin,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
回复 @海绵宝宝剑魔儿 :封面菲洛的姿势,2023-11-10 21:08:30,4,0,源物唐分,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
为什么不是麯义的台词，封面那个动作好像,2023-11-10 21:09:12,12,0,樱满花集我心,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
你再这样我要给三国杀打好评了,2023-11-10 21:22:36,8,0,麈驋襫鼄,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
成略在胸，良计速出,2023-11-10 21:39:47,3,0,東山小紅ちゃん,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季
"老国王，年轻时期是非常的正直。非常的有能力
但是其家人被兽人的白虎一族，劫掠了！
为了家人而扭曲。
然后白虎兄妹的脸，尤其是妹妹
无论是气息还是样子，都和这位被劫掠者家人十分相似
我只能说强扭的瓜不甜，但是解渴（白虎兄妹的诞生）
老国王癫狂的开端",2023-11-17 22:16:10,769,7,孤獨の宴推人,5,0,492925461,3,白虎兄妹,盾之勇者成名录 第三季
我记得那个杖之勇者讨厌盾勇的原因是他的妹妹就是被白虎族搞得生下了白虎兄妹 而亚人国又是被上代盾勇扶持起来的,2023-11-18 00:59:23,160,0,あなたが笑う,5,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
回复 @あなたが笑う :宿命的轮回,2023-11-18 03:00:35,24,0,孤獨の宴推人,5,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
回复 @あなたが笑う :老国王主要仇敌是白虎兄妹祖父，后来成功报仇了，不过后来从白虎兄妹回忆看起来，至少他们爹和家臣对他们母子还不错,2023-11-18 19:10:17,72,0,鲤吉,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
回复 @あなたが笑う :不是生下白虎兄妹，而是和亚人国有血仇，抱括外传里面麦茵用嫁祸亚人国的方式毒死亲兄弟的事,2023-11-19 09:30:09,35,0,疯子阿肆,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
你们能讨论的详细点吗，想看看到底怎么个事，要是后面补这些设定，第一季会不会回暖阿[罗小黑_看电影],2023-12-30 01:43:11,4,0,暮星Joe,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
回复 @あなたが笑う :不对吧，本来麦茵有一个弟弟，当时这个国家和自由之盾交好，但是麦茵让国王以为自由之盾派的使者里有一个刺杀了弟弟（其实是麦茵想夺皇位把弟弟弄挂的），国王伤心欲绝，就把自由之盾的人撤走了，自由之盾这个国家又是推崇盾勇的，所以国王就很排挤盾勇。枪之勇者重生录里有介绍,2024-01-05 02:31:27,16,0,三森灯河857,3,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
你这话魂味很重啊,2024-05-14 01:09:35,1,0,両儀秋月,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
不要小看这个白虎妹子哦。她等级只有LV1，而且只剩3点血的濒死残疾状态血量上限就是110，要知道，健康盾勇LV1的时候，也才142哦。,2023-11-17 22:40:32,412,10,高温状态,6,0,492925461,3,白虎兄妹,盾之勇者成名录 第三季
你是会看细节的,2023-11-17 23:02:46,18,0,泛亚龙,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
回复 @泛亚龙 :不好意思，我错了，拉芙塔尼亚lv1也有127点血。[笑哭][抱拳]hp不是判断能力的标准。,2023-11-18 00:00:40,50,0,高温状态,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
越肉越挨刀,2023-11-18 00:41:48,6,0,Mikuー矢野マナツ,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
回复 @高温状态 :其实你要这么说也不是不可以，因为拉芙塔莉亚也不是普通的小浣熊背景也挺夸张的[鹿鸣_开心][鹿鸣_开心][鹿鸣_开心],2023-11-18 07:16:58,19,0,两仪-浮生,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
回复 @高温状态 : 一般血量低的情况下，攻击力会更高[doge],2023-11-18 17:12:24,2,0,俊俊吖suki,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
标题大逆天[OK],2023-11-21 18:08:44,1,0,何晟仪,5,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
回复 @俊俊吖suki :毁灭命途的是吧[doge],2023-11-22 20:29:41,0,0,落凡辞青州,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
这个白虎妹子的战斗力很强，比她哥强，肉搏能力可能是盾勇队伍里最强的，可惜是个脆皮，唉，有点惨。。。,2023-11-25 08:40:33,9,0,泰伦最爱的轻甲雷兽,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
回复 @高温状态 :血高攻低，高攻低防。这不是没毛病,2023-12-02 18:25:58,5,0,素心只会睡懒觉,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
回复 @高温状态 : 小浣熊的种族相当于专杀四圣，这样你就会理解了,2024-01-04 20:40:51,3,0,疯山谷,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
刚刚被推荐了一下，一看名字就知道不简单[吃瓜],2023-11-17 20:04:20,382,12,漓霜の鸭鸭,6,0,492925461,3,白虎兄妹,盾之勇者成名录 第三季
“哔哩哔哩译制”,2023-11-17 20:07:45,7,0,ONE-LOSTER,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
白虎兄妹？,2023-11-17 21:00:48,18,0,固燃,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
白虎族亚人兄妹,2023-11-17 21:01:38,6,0,崩坏的八重火垣,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
你这个小机灵鬼,2023-11-17 21:02:47,1,0,Soul羔羊菌,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
最喜欢的译制,2023-11-17 21:15:54,6,0,宰崴冕丶纯简拉基茨德,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
白虎[脱单doge],2023-11-18 17:30:41,1,0,不想肝的小咸鱼,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
虽然但是，如果你想到了那个，那么男的应该是青龙吧[doge],2023-11-19 06:32:42,1,0,大山上的呆毛,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
你最好真的在说白虎噢[微笑],2023-11-19 13:29:45,0,0,NieR一2B,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
回复 @半小先 :邪淫是开启万祸之门的一把钥匙,2023-11-20 09:27:40,4,0,阳光洒在傻瓜脸上,5,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
回复 @阳光洒在傻瓜脸上 :？,2023-11-21 00:42:55,0,0,NieR一2B,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
我觉得你们在开车。但是我又没有证据,2023-12-02 12:15:24,0,0,最后一基,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季
