content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
伤痕铸就最强之盾！守护伙伴，在绝望中寻找希望之路！史诗级冒险抢先看，锁定bilibili漫画！https://manga.bilibili.com/m/detail/mc28615,2025-07-09 20:01:35,511,19,哔哩哔哩漫画,6,0,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
不好意思来晚了,2025-07-09 20:23:32,3,0,擎天柱的粉丝,4,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
蛙趣俺来力,2025-07-09 20:35:09,2,0,秋枫伊,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
你们漫画到底更不更了？？？盾勇太久不更新了,2025-07-09 20:41:17,7,0,Emo丶TrueDamage,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
[呲牙],2025-07-09 20:42:44,2,0,四季枣旋,4,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
BV1hNGpzaE7D,2025-07-09 20:45:31,5,0,肥仔易出汗,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
占着矛坑不汉化，不会推荐外传吗,2025-07-09 20:46:47,139,0,未知用户5号,5,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
回复 @未知用户5号 :确实本体还不如看外传枪之勇者重生录呢好歹多个正常人，没那么憋屈和高血压[藏狐],2025-07-09 21:02:25,86,0,钴酸鎶,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
大会员过期了，  现在还窝囊吗,2025-07-09 21:31:55,3,0,谁是鹅,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
回复 @盾勇原著小说 :网上搜一下就有吧,2025-07-10 00:44:19,3,0,有脚,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
最强？,2025-07-10 02:46:23,1,0,次元世界的流浪者,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
最鳖之盾,2025-07-10 11:08:00,0,0,天雨月潮生,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
。。。。。。。。。。。。。。。。。,2025-07-10 11:45:00,0,0,莱克斯・卢瑟,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
看了都会头大的动漫居然会出到第4部？[辣眼睛][辣眼睛],2025-07-11 00:32:43,2,0,社会边角料渣,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
龟之勇者,2025-07-11 06:20:56,0,0,诗奈奈,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
枪勇呢？多久没更新了买了不更是吧？,2025-07-12 12:42:48,0,0,不要关注我呀求放过,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
回复 @insight8thSeeker :枪勇完结了，盾勇万年不更,2025-07-16 10:14:15,0,0,每天都是星期六,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
回复 @每天都是星期六 :我这边说的是b买了版权但是一直不汉化不更新好久了[幻想乡的日常 第1弹_思索],2025-07-16 10:43:01,0,0,不要关注我呀求放过,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
回复 @钴酸鎶 : 白盾确实,2025-08-14 18:50:26,0,0,雨のAmeの雨,5,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
我严重怀疑b站帮我追的番，我踏马一集没看过，愣是追了三季,2025-09-25 01:09:57,0,0,"Soli_12,",6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
"小司译制的《盾之勇者成名录 第四季》也上线啦~菲洛依旧可爱捏~
话说上一季还是一年半之前，大家还记得片中人物谁是谁吗？[嗑瓜子][嗑瓜子]
记得关注小司哦~",2025-07-10 16:55:37,831,17,魔法部译制司,6,0,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
做的好好[给心心],2025-07-10 19:57:33,7,0,14233241-5,5,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
人物都快忘记了[委屈]不过小司做的很不错呢[给心心][打call],2025-07-10 23:46:09,7,0,红心女王萝莉娜,5,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
久违了[星星眼][星星眼],2025-07-11 06:57:54,0,0,bili_89578837388,3,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
小拉芙才是最可爱的[脱单doge],2025-07-12 21:29:49,0,0,牛氓ゞ哥哥,4,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
@魔法部译制司 翻译有错，03:44 原文来看是菲洛向菲托莉亚传达盾勇的疑问：“主人在说，如果我不听你的请求，你是不是要杀四圣勇者”，菲托莉亚无奈回答“好吧，我先忍着”。目前片中出现的翻译字幕体现的内容却是菲洛向盾勇传达，“她说，若主人不答应，她就去杀四圣”这种严重错误。,2025-07-13 14:51:25,70,0,刻视梦想,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
有没有兄弟看看我投的视频啊盾勇的,2025-07-14 05:40:22,1,0,别再熬夜辣辣,5,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
回复 @刻视梦想 : 收到，会尽快修改~感谢指正~[给心心][给心心],2025-07-14 10:53:39,5,0,魔法部译制司,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
回复 @刻视梦想 : ？我听日语原文就是菲洛在耍滑头一直在歪曲鸟王的话，这里并没有翻译错误。,2025-07-15 00:23:06,2,0,是恁大爷,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
回复 @是恁大爷 :是有严重错误的如果你对自己日语水平有自信，就好好思考一下原文的句型是这样的：Aがね、xxだって（言ってるよ）,2025-07-15 20:47:33,4,0,刻视梦想,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
回复 @是恁大爷 :把这个句型结合原意，把原句子缺少的成分补全之后，是这样：ご主人様が、「もしフィトリアの頼みを聞かないと、フィトリアは四聖を殺すのか？」だって聞いてるよ。,2025-07-15 20:56:06,1,0,刻视梦想,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
回复 @刻视梦想 : 也对，就这分镜，这段话就不可能是女王对盾勇说的，而是盾勇对着女王说的，如果是这样的话，这段就是主人说，如果不答应你的请求的话，就要杀掉4圣勇者吗？ 后面翻译人称全错,2025-07-16 01:22:47,1,0,是恁大爷,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
有生之年还能看到第四季要哭了,2025-07-16 20:01:42,0,0,轻醉无痕,4,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季
陪我初中到大学[笑哭][笑哭][笑哭],2025-07-16 20:07:44,1078,96,橙嗷嗷-,6,0,114787161738396,2,款待,盾之勇者成名录 第四季
口味很独特啊,2025-07-16 20:08:11,222,0,TuiChang1,5,1,114787161738396,2,款待,盾之勇者成名录 第四季
回复 @TuiChang1 :习惯了………[doge]习惯的力量,2025-07-16 20:12:15,38,0,witcher01,6,1,114787161738396,2,款待,盾之勇者成名录 第四季
回复 @witcher01 :我也看习惯了，虽然多人喷，但我每季都看[笑哭],2025-07-16 20:15:00,59,0,格利索斯托莫,6,1,114787161738396,2,款待,盾之勇者成名录 第四季
太有生活了,2025-07-16 20:35:21,11,0,凉凉力量,6,1,114787161738396,2,款待,盾之勇者成名录 第四季
俺也一样[OK],2025-07-16 20:36:23,0,0,阿尔宙斯克,6,1,114787161738396,2,款待,盾之勇者成名录 第四季
[笑哭],2025-07-16 20:37:23,1,0,迪奥之光,5,1,114787161738396,2,款待,盾之勇者成名录 第四季
刚追的时候高二，现在大学快毕业了,2025-07-16 20:38:52,5,0,风景不及迷人眼,5,1,114787161738396,2,款待,盾之勇者成名录 第四季
我是听不知道哪个博主说补番看这玩意，跑去看看到现在[笑哭],2025-07-16 20:44:49,41,0,聂断,5,1,114787161738396,2,款待,盾之勇者成名录 第四季
我是高中到大学太爱了,2025-07-16 20:49:41,6,0,雷manba,5,1,114787161738396,2,款待,盾之勇者成名录 第四季
一样初二到大二[汤圆],2025-07-16 20:50:23,8,0,凉宫春日OuO,6,1,114787161738396,2,款待,盾之勇者成名录 第四季
同[doge_金箍][支持],2025-07-16 20:53:54,0,0,遥望夜空深处,5,1,114787161738396,2,款待,盾之勇者成名录 第四季
大二到工作五年,2025-07-16 20:54:53,1,0,小四daisiki,6,1,114787161738396,2,款待,盾之勇者成名录 第四季
是我了[笑哭],2025-07-16 20:55:43,0,0,幻翼天使DP,5,1,114787161738396,2,款待,盾之勇者成名录 第四季
小馋猫烤肉拌饭,2025-07-16 20:58:39,0,0,lyleis,5,1,114787161738396,2,款待,盾之勇者成名录 第四季
俺也一样,2025-07-16 20:58:49,0,0,琪玖,6,1,114787161738396,2,款待,盾之勇者成名录 第四季
现在大二了，还是喜欢吃[Mygo表情包_害羞],2025-07-16 21:01:37,1,0,-TheDawn_,6,1,114787161738396,2,款待,盾之勇者成名录 第四季
俺也一样,2025-07-16 21:09:23,1,0,子峰-,6,1,114787161738396,2,款待,盾之勇者成名录 第四季
俺也一样[笑哭],2025-07-16 21:10:19,2,0,Duan公爵与MiKu,5,1,114787161738396,2,款待,盾之勇者成名录 第四季
卧槽我也是,2025-07-16 21:14:33,2,0,sad-kk,6,1,114787161738396,2,款待,盾之勇者成名录 第四季
一样,2025-07-16 21:23:55,1,0,笑了三天的小李,6,1,114787161738396,2,款待,盾之勇者成名录 第四季
想看慎勇续集[笑哭]不知道什么能出[doge],2025-07-16 20:02:43,482,69,宇宙之墙,5,0,114787161738396,2,款待,盾之勇者成名录 第四季
这个得等等吧,2025-07-16 20:03:05,6,0,企业lpcv-6,6,1,114787161738396,2,款待,盾之勇者成名录 第四季
想看丨勇续集[笑哭]不知道什么能出[doge],2025-07-16 20:07:22,72,0,坏蛋_诺基亚,6,1,114787161738396,2,款待,盾之勇者成名录 第四季
我还想看游戏人生续集呢，也不知道何年何月出[笑哭],2025-07-16 20:08:12,98,0,静夜落星雨,6,1,114787161738396,2,款待,盾之勇者成名录 第四季
回复 @Stewfishkk :这个出了b站也买不了[笑哭],2025-07-16 20:10:49,12,0,宇宙之墙,5,1,114787161738396,2,款待,盾之勇者成名录 第四季
商业价值不高，很难,2025-07-16 20:14:33,6,0,星际v熬夜,6,1,114787161738396,2,款待,盾之勇者成名录 第四季
回复 @Stewfishkk :哥们儿我看你是想看18禁了,2025-07-16 20:16:34,9,0,倚楼听风雨巛,6,1,114787161738396,2,款待,盾之勇者成名录 第四季
这个很难，漫画更新的篇章其实很多了[笑哭]不过也停更三四年了,2025-07-16 20:19:04,20,0,坡土沌圆肝,6,1,114787161738396,2,款待,盾之勇者成名录 第四季
回复 @宇宙之墙 :b站买不了的动漫在b站不是随便看[滑稽],2025-07-16 20:25:06,15,0,攻魔师南宫那月,6,1,114787161738396,2,款待,盾之勇者成名录 第四季
回复 @坡土沌圆肝 :[笑哭],2025-07-16 20:57:18,2,0,宇宙之墙,5,1,114787161738396,2,款待,盾之勇者成名录 第四季
回复 @攻魔师南宫那月 :确实[笑哭],2025-07-16 20:57:32,3,0,宇宙之墙,5,1,114787161738396,2,款待,盾之勇者成名录 第四季
回复 @坡土沌圆肝 :停更这么久的吗？[笑哭],2025-07-16 20:59:14,2,0,宇宙之墙,5,1,114787161738396,2,款待,盾之勇者成名录 第四季
亚朵拉：亚人是很单纯的，是专门为盾勇而生的!,2025-07-23 20:13:56,497,17,乔克乔斯达,6,0,114787161736641,3,何为真正的国民,盾之勇者成名录 第四季
没错，正是尚文的初心：为他人着想的心；这就是往届盾之勇者的共同理念。,2025-07-23 20:34:30,53,0,神王之后龙之战士,5,1,114787161736641,3,何为真正的国民,盾之勇者成名录 第四季
