content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
举报了一个”因为画质高看得眼睛酸所以差评”的一星评论。。。无奈啊,2018-01-11 16:17:22,98698,244,余留锋芒,6,0,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
哈哈哈哈,2018-01-11 16:19:08,294,0,NagatoYukii,5,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
豆瓣上EVA的差评还有因为看的时候太卡了··········,2018-01-11 16:19:16,5015,0,无心大天使_,6,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
哈哈哈哈哈哈哈哈,2018-01-14 19:49:16,217,0,ファイちゃん,6,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
其实我之前也因为京阿尼的free里的某些片段帧数太高看的眼睛酸过，因为高过头了 生动过头。( ´_ゝ｀),2018-04-22 18:13:23,2649,0,伤心的打工人,6,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
你时隔1年零1季度后上热评了。😂,2019-04-13 00:04:58,322,0,安如AR薇尔莉特,6,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
回复 @安如AR薇尔莉特 :哈哈哈,2019-04-13 00:38:08,42,0,余留锋芒,6,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
这操作可太秀了,2019-04-19 14:17:15,117,0,天殇雪璃,6,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
不想用眼睛请捐给需要它的人。,2019-07-31 19:47:47,432,0,若星Sama,6,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
差不多就行了的就不是京阿尼了。,2019-09-15 20:42:45,439,0,巫仔一定早睡,6,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
"还有声音像某某某，差评
          今天没吃饭，差评
           手痛，选了个差评的恶心评论。真的好无语。[小电视_发愁][小电视_发愁]",2019-10-05 03:37:39,2157,0,buff叠满了属于是,6,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
他就不能调下分辨率。。。,2019-10-21 17:11:55,173,0,Star_Map,6,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
这张纸吹起来好美,2019-11-02 10:42:23,32,0,九霜巳,5,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
近视眼是容易这样,2019-11-06 14:09:47,46,0,糖麦时刻,4,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
人家用玩笑方式表达画质很高吧～,2019-11-12 23:51:47,66,0,豪有菱气,6,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
回复 @寒冬的一抹初霞 :但一星差评是事实了,2019-11-14 13:17:34,298,0,森のくまさん,6,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
还有说这番看得一点都不流畅，每个画面都要截图影响观感的[喜极而泣],2019-11-20 10:20:46,383,0,大祥老师是GO,6,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
每一帧都是壁纸啊,2019-11-23 17:26:19,54,0,账号已注销,0,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
回复 @威威神 :其实我挺喜欢丽和香香在电梯里的那一段静止镜头，表现氛围很妙啊,2019-12-07 21:44:38,42,0,余留锋芒,6,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
想灭了他。还有你艾特我干嘛？[嫌弃],2019-12-29 12:06:16,18,0,渚-坡道下的离别,6,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
cao,2019-12-29 12:08:02,4,0,渚-坡道下的离别,6,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园
