content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
"再度认领~新一季的《致不灭的你》和大家准时见面啦~
从上一季直接过来的小伙伴会不会感到画风突变呢[滑稽]
欢迎译制相关讨论，也记得关注译制司~",2025-10-05 13:48:59,1353,11,魔法部译制司,6,0,115292776695159,1,安稳的世界,致不灭的你 第三季
3：18名字错了，水月,2025-10-05 13:53:28,60,0,フシ,6,1,115292776695159,1,安稳的世界,致不灭的你 第三季
回复 @フシ : 收到，感谢提醒~,2025-10-05 13:57:53,25,0,魔法部译制司,6,1,115292776695159,1,安稳的世界,致不灭的你 第三季
回复 @魔法部译制司 :好奇为什么你们和b漫那边翻译的角色名不一致呀，是版权方要求的吗,2025-10-05 14:20:02,11,0,フシ,6,1,115292776695159,1,安稳的世界,致不灭的你 第三季
回复 @フシ :应该 毕竟是@羚邦动漫 代理,2025-10-05 21:41:54,3,0,不忘-彩研-汪wonderful,6,1,115292776695159,1,安稳的世界,致不灭的你 第三季
3:18秒建议把“水月”改为“水叶”,2025-10-05 21:47:51,6,0,账号不想理,5,1,115292776695159,1,安稳的世界,致不灭的你 第三季
画风没上一季好看了，感觉人物好粗糙啊，尤其是那个穿迷彩服的小胖子,2025-10-08 17:35:01,4,0,账号已注销,0,1,115292776695159,1,安稳的世界,致不灭的你 第三季
好喜欢！！！,2025-10-08 22:51:55,1,0,鎶集空间,5,1,115292776695159,1,安稳的世界,致不灭的你 第三季
为什么不翻译成瑞叶,2025-10-13 00:57:36,1,0,老师好我叫符珏儿,4,1,115292776695159,1,安稳的世界,致不灭的你 第三季
三季了，5年了，5年，可以告诉我，可以告诉我第一季第一集的那个男主明子叫什么么吗？,2025-10-13 10:25:57,1,0,彩云遇见幸运,3,1,115292776695159,1,安稳的世界,致不灭的你 第三季
趁着视频还热乎，赶紧发一下，为什么没关心不灭里这个病娇，从侏罗纪追到，现代，平时也不带他玩,2026-01-04 16:30:59,0,0,违规昵称1520692,5,1,115292776695159,1,安稳的世界,致不灭的你 第三季
@你也 @他们也 @他们都在 [tv_难过][tv_呕吐][tv_呕吐][tv_呕吐][tv_难过][tv_难过][tv_呕吐][tv_呕吐][tv_呕吐][tv_呕吐][tv_呕吐][tv_难过][热词系列_发刀大队][热词系列_谢谢老师][热词系列_发刀大队][星星眼][蹲蹲][蹲蹲][蹲蹲][蹲蹲]@他们都在,2026-02-03 03:49:05,0,0,lz你不懂我,5,1,115292776695159,1,安稳的世界,致不灭的你 第三季
"第一季《球的古代史》
第二季《球的近代史》
第三季《球的现代史》",2025-10-05 09:38:03,3294,39,逆天丸子,5,0,115292776695159,1,安稳的世界,致不灭的你 第三季
这是真的,2025-10-05 09:44:43,149,0,无面无魂,4,1,115292776695159,1,安稳的世界,致不灭的你 第三季
哈哈哈哈哈中肯的，一针见血的,2025-10-05 09:54:21,24,0,最喜欢鸭舌,5,1,115292776695159,1,安稳的世界,致不灭的你 第三季
第四季不会是未来世界吧,2025-10-05 10:48:23,297,0,scorpio360,6,1,115292776695159,1,安稳的世界,致不灭的你 第三季
回复 @scorpio360 :真相了兄弟,2025-10-05 10:52:37,62,0,童烦,5,1,115292776695159,1,安稳的世界,致不灭的你 第三季
回复 @scorpio360 : 猜的真准,2025-10-05 11:13:01,40,0,是-曦月雨星城-哒,6,1,115292776695159,1,安稳的世界,致不灭的你 第三季
回复 @scorpio360 :对的兄弟，第四季就是《球的未来史》,2025-10-05 11:37:41,96,0,曦岚_,6,1,115292776695159,1,安稳的世界,致不灭的你 第三季
该不会第5部是地球爆炸，一切重新轮回吧[思考],2025-10-05 12:42:50,49,0,空虚的小空,6,1,115292776695159,1,安稳的世界,致不灭的你 第三季
回复 @scorpio360 :看样子你找到规律了[笑哭],2025-10-05 13:56:56,8,0,知行得一,6,1,115292776695159,1,安稳的世界,致不灭的你 第三季
回复 @空虚的小空 :看漫画就知到了,2025-10-05 13:59:59,6,0,狸猫柚叶,3,1,115292776695159,1,安稳的世界,致不灭的你 第三季
第四季《球的未来史》,2025-10-05 14:15:30,11,0,搏牢,6,1,115292776695159,1,安稳的世界,致不灭的你 第三季
回复 @scorpio360 :对的， 当时看完第二季以后特意去看了漫画，那个时候漫画已经到未来了,2025-10-05 15:20:36,17,0,AnimalsDoctor,4,1,115292776695159,1,安稳的世界,致不灭的你 第三季
