content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
"Tv动画《葬送的芙莉莲》在b站开始播出了！⚡️
有更多人能够看到这部精彩的作品真令人开心。
我自己也在每周不落地快乐追番《葬送的芙莉莲》，希望大家也能够和作品一起期待ED主题曲《Anytime Anywhere》。

本日からビリビリでTVアニメ『葬送のフリーレン』の放送が開始しました⚡️
より多くの方にこの素晴らしい作品が届くことが私も嬉しいです。
私も毎週かかさず楽しみに観ている『葬送のフリーレン』をEDテーマ「Anytime Anywhere」と一緒ににおたのしみください。",2023-10-24 21:21:19,37445,235,milet_music,6,0,450096728,1,冒险的结束,葬送的芙莉莲
我先来！米门！,2023-10-24 21:28:21,350,0,葡满猕猴萄,6,1,450096728,1,冒险的结束,葬送的芙莉莲
[初音未来_喜欢],2023-10-24 21:28:25,329,0,Xiao_Gina,6,1,450096728,1,冒险的结束,葬送的芙莉莲
milet![打call],2023-10-24 21:28:35,27,0,CRITERIONV,5,1,450096728,1,冒险的结束,葬送的芙莉莲
[明前奶绿爱丽丝表情包_早安][明前奶绿爱丽丝表情包_早安][明前奶绿爱丽丝表情包_早安],2023-10-24 21:29:30,5,0,吱吱文化人,6,1,450096728,1,冒险的结束,葬送的芙莉莲
米门[保佑],2023-10-24 21:29:48,42,0,-星星尘-,6,1,450096728,1,冒险的结束,葬送的芙莉莲
milet桑love,2023-10-24 21:30:03,10,0,Lsd2jg,6,1,450096728,1,冒险的结束,葬送的芙莉莲
milet演唱的ED真的好听[打call],2023-10-24 21:30:23,15,0,海月シェル_Official,6,1,450096728,1,冒险的结束,葬送的芙莉莲
神一般的ED！如听仙乐耳暂明！,2023-10-24 21:33:05,121,0,星海晨Chen,6,1,450096728,1,冒险的结束,葬送的芙莉莲
[幻想乡的日常 第1弹_给心],2023-10-24 21:35:00,5,0,1mol個艦娘,6,1,450096728,1,冒险的结束,葬送的芙莉莲
米门[保佑],2023-10-24 21:35:15,2,0,La_Espero,6,1,450096728,1,冒险的结束,葬送的芙莉莲
米门[打call],2023-10-24 21:37:05,0,0,祈丶の,6,1,450096728,1,冒险的结束,葬送的芙莉莲
米酱,2023-10-24 21:37:13,0,0,離れないで-----,5,1,450096728,1,冒险的结束,葬送的芙莉莲
米门[打call],2023-10-24 21:42:04,2,0,ChizSSSS,6,1,450096728,1,冒险的结束,葬送的芙莉莲
一把抱住milet,2023-10-24 21:47:02,2,0,游人浪虚,6,1,450096728,1,冒险的结束,葬送的芙莉莲
米门～,2023-10-24 21:49:19,0,0,Sour-Dumplings,6,1,450096728,1,冒险的结束,葬送的芙莉莲
米门！,2023-10-24 21:49:35,0,0,纯黑少爷,6,1,450096728,1,冒险的结束,葬送的芙莉莲
好好听的ed！！喜欢！！,2023-10-24 21:50:02,4,0,咚咚最帅气,6,1,450096728,1,冒险的结束,葬送的芙莉莲
米门！,2023-10-24 21:50:10,1,0,秒針を噛むね,5,1,450096728,1,冒险的结束,葬送的芙莉莲
米门,2023-10-24 21:51:32,1,0,CHkirafuwa啾啾,6,1,450096728,1,冒险的结束,葬送的芙莉莲
我们分开的时间，已经比我们在一起还要长了…[大哭],2023-10-25 10:30:01,2584,9,次元书馆,6,0,492526141,2,也不一定要是魔法…,葬送的芙莉莲
[doge],2023-10-26 10:13:50,4,0,宇宙的原子集合体,6,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲
回复 @MikuMate :[脱单doge],2023-10-26 11:51:35,1,0,次元书馆,6,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲
早买了[傲娇],2023-10-27 02:28:58,2,0,清泧,6,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲
回复 @田中浩太 :5-6简中也要出了,2023-11-15 12:18:12,0,0,西野七瀬が大好きです,6,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲
我看过这句话，最早出自哪里呀,2023-11-19 23:21:57,1,0,猫猫虫序列四,6,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲
回复 @举个狸仔 :之前听deft说过,2023-12-10 01:28:58,1,0,靓女你也要打,6,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲
艾泽站着才有他们坐着高[doge]不愧是矮人,2023-12-22 17:36:33,1,0,咆哮形态废羊羊,5,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲
华中科技大学出版社还出版这个？,2024-01-11 14:49:36,4,0,燔典之人,6,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲
在哪里买正的？[脱单doge],2024-08-02 22:46:59,0,0,木木疋后,5,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲
今天在学校的花坛看见苍月草了，看来是芙莉莲种的吧,2024-03-22 20:53:46,1149,13,原谅一世,6,0,492526141,2,也不一定要是魔法…,葬送的芙莉莲
阿拉伯婆婆纳，其实影片里的苍月草是喜林草,2024-03-26 17:36:17,206,0,会越来越有钱的,5,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲
不过阿拉伯婆婆纳真的很美，现实动漫的平替,2024-03-26 17:37:09,113,0,会越来越有钱的,5,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲
你们学校居然种阿拉伯婆婆纳，原来连片了这么好看，平时一直都是路边的野花,2024-07-29 18:06:08,40,0,玄-小羽,6,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲
虽然但是这就是喜林草啊,2024-08-31 14:44:00,6,0,Kyriekiky,6,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲
好看呐[星星眼],2024-10-12 23:19:10,0,0,一颗鱼丸子sk,6,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲
回复 @夏寻羽 :这好像就是喜林草，阿拉伯婆婆纳的花瓣是4瓣，照片里是5瓣，符合喜林草的特征[doge],2024-10-15 09:40:56,23,0,想要红光的芙芙lucky,6,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲
回复 @想要红光的芙芙lucky :确实，图片放大了能看见中心的五个黑色的花药，就是喜林草的特征[脱单doge],2024-10-15 19:22:59,12,0,EC是屑中之屑,6,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲
回复 @夏寻羽 :不是婆婆纳，阿拉伯婆婆纳是总状花序，而图片放大后能在花的中心看见五个黑点，这是喜林草的特征[脱单doge],2024-10-15 19:23:56,14,0,EC是屑中之屑,6,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲
我找到了苍月草[桃源_给花花],2024-10-20 18:50:11,5,0,失伶,6,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲
怪不得她要学让葡萄变酸的魔法。。。,2023-12-15 10:55:46,863,6,最帅的宋歌,6,0,535104247,3,杀人魔法,葬送的芙莉莲
哇～,2024-01-09 22:47:25,10,0,养老鼠-咬布袋,6,1,535104247,3,杀人魔法,葬送的芙莉莲
原来如此，没注意,2025-06-03 22:58:38,8,0,十六夜雨晨,6,1,535104247,3,杀人魔法,葬送的芙莉莲
这是第几集出现的,2025-08-11 23:39:27,0,0,拯救世界的小蜜蜂,4,1,535104247,3,杀人魔法,葬送的芙莉莲
