content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
“既然你在为过去后悔，就该庆幸自己醒悟得及时啊。”                            ——灵幻新隆,2022-10-06 00:22:12,40474,71,涅鹿西斯,6,0,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
悟已往之不谏，知来者之可追,2022-10-06 08:41:04,3125,0,呼噜呼噜小狗毛-,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
往者不可谏 来者犹可追,2022-10-06 09:50:12,1029,0,太阳底下好暖和啊,5,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
实迷途其未远，觉今是而昨非。,2022-10-06 09:53:04,1123,0,-Airl,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
灵幻新隆有着真正意义上的超能力啊[保卫萝卜_哭哭],2022-10-06 10:47:37,267,0,星茶天空,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
所以“逸一时误一世”,2022-10-06 11:12:13,186,0,凌璟,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
秦人哀之而不鉴之，亦使后人复哀后人也。,2022-10-06 11:33:27,226,0,随和,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
错过了夕阳，就不要再错过星辰[保卫萝卜_哭哭],2022-10-06 11:46:22,114,0,河北数贸聊跨境,3,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
灵幻是真的普通人中的超能力者啊[保卫萝卜_哭哭],2022-10-06 11:58:55,84,0,鱼籽糕糕,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
我超有道理,2022-10-06 12:08:32,5,0,草莓小懒,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
这一层大家的知识都好渊博哈哈哈哈直接梦回高中语文课,2022-10-06 12:09:01,185,0,-amireux_,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
无需追忆昨日,2022-10-06 12:10:28,25,0,颜司卓今天下跪了吗,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
醒悟了但是迷茫，因为我的问题不能解决，只能等问题真的要面对时解决自己了[保卫萝卜_哭哭],2022-10-06 12:27:21,26,0,望舒玥,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
回复 @轻风衔宇 :老祖宗真是把我们想的都说尽了啊[笑哭],2022-10-06 17:11:08,564,0,阳菜并不菜,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
太阳底下，没有新鲜事。,2022-10-06 19:29:53,47,0,事无常师z,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
回复 @轻风衔宇 :《归去来兮辞》点了赞,2022-10-06 20:04:08,38,0,新世纪恐怖屋陈大锤,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
我真的好爱,2022-10-06 20:29:39,0,0,栋宝小7,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
回复 @轻风衔宇 :还得是老祖宗,2022-10-06 21:01:42,19,0,大卫刘老根,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
回朕车以复路兮，及行迷之未远,2022-10-07 10:18:05,20,0,Fklife_,5,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
回复 @阳菜并不菜 :古今情同，不外如是,2022-10-07 11:09:44,29,0,林如意-,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
东隅已逝，桑榆非晚,2022-10-07 12:13:26,26,0,克里姆森村长,5,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
"听到灵能要出第三季的消息
脑子：做的这么好，快夸啊
嘴：卧……卧槽！",2022-10-06 01:17:24,27219,107,野艹丛生,6,0,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
卧……卧槽！,2022-10-06 10:41:25,32,0,越越养橘猫,5,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
卧……卧槽,2022-10-06 10:43:12,14,0,晚饭丷,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
卧……卧槽！,2022-10-06 10:57:46,3,0,玛卡巴卡感到疑惑,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
卧……卧槽,2022-10-06 11:05:33,3,0,难桉の梓檀,4,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
卧……卧槽！,2022-10-06 11:10:35,3,0,杰宝大王-鳕鱼君,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
卧……卧槽！,2022-10-06 11:20:44,2,0,满0_o,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
卧……卧槽,2022-10-06 11:22:23,1,0,萝葱拌饭,5,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
卧……卧槽！,2022-10-06 11:29:20,1,0,乌波波波波波波波boboo,5,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
我也……[喜极而泣][喜极而泣],2022-10-06 11:32:55,1,0,月夜-无音,5,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
卧……卧槽！,2022-10-06 11:36:53,0,0,Phantomholic,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
卧……卧槽！,2022-10-06 11:38:15,0,0,梦丶无愁,6,1,516179755,1,将来～志愿～,路人超能100 III(灵能百分百 第三季)
师匠怎么越来越帅 骨头社你好爱他,2022-10-13 00:11:51,12076,5,成步堂鼠吱介,6,0,773967336,2,妖怪猎人·天草晴明登场！～百鬼的威胁!!～,路人超能100 III(灵能百分百 第三季)
感谢立川监督用爱帅着师匠,2022-10-13 07:44:38,734,0,子鼠乃生肖,6,1,773967336,2,妖怪猎人·天草晴明登场！～百鬼的威胁!!～,路人超能100 III(灵能百分百 第三季)
确实，尤其侧脸,2022-10-13 11:24:34,138,0,岸,5,1,773967336,2,妖怪猎人·天草晴明登场！～百鬼的威胁!!～,路人超能100 III(灵能百分百 第三季)
侧脸太帅了[喜欢][喜欢],2022-10-13 12:11:09,58,0,罔夕岙,6,1,773967336,2,妖怪猎人·天草晴明登场！～百鬼的威胁!!～,路人超能100 III(灵能百分百 第三季)
原来是中2富二代啊，那好说话了，有钱能使鬼中2[笑哭][滑稽][doge],2022-10-20 10:21:39,22,0,专业的割韭菜,6,1,773967336,2,妖怪猎人·天草晴明登场！～百鬼的威胁!!～,路人超能100 III(灵能百分百 第三季)
偷偷美颜,2022-10-24 12:15:40,1,0,先先先先先闪了,6,1,773967336,2,妖怪猎人·天草晴明登场！～百鬼的威胁!!～,路人超能100 III(灵能百分百 第三季)
芹泽的武器，从社长送的伞，到灵幻送的名片[脱单doge],2022-10-13 01:11:05,17869,37,_Binah_,6,0,773967336,2,妖怪猎人·天草晴明登场！～百鬼的威胁!!～,路人超能100 III(灵能百分百 第三季)
伞和名片只是一个寄托物，能力强但是能力有代价，伞代表躲避消极，名片代表能直面社会能够向生活展示自己，芹泽的能力是大海，伞和名片只是释放超能力的水龙头。,2022-10-13 01:21:36,8422,0,看看世界更加宽广,6,1,773967336,2,妖怪猎人·天草晴明登场！～百鬼的威胁!!～,路人超能100 III(灵能百分百 第三季)
是ova里送的吧，这段原创真不错，芹泽也真帅。,2022-10-13 01:46:44,1302,0,赤みあかみアカミ,6,1,773967336,2,妖怪猎人·天草晴明登场！～百鬼的威胁!!～,路人超能100 III(灵能百分百 第三季)
是遁天梭,2022-10-13 06:57:12,95,0,超级阿坝,6,1,773967336,2,妖怪猎人·天草晴明登场！～百鬼的威胁!!～,路人超能100 III(灵能百分百 第三季)
[支持],2022-10-13 09:41:46,13,0,马奶喔,6,1,773967336,2,妖怪猎人·天草晴明登场！～百鬼的威胁!!～,路人超能100 III(灵能百分百 第三季)
看到你说伞，我总与想起来他是谁了，刚开始半天还没印象。,2022-10-13 10:04:02,312,0,大乱斗虾混,6,1,773967336,2,妖怪猎人·天草晴明登场！～百鬼的威胁!!～,路人超能100 III(灵能百分百 第三季)
回复 @JOJODBABA :哈哈哈,2022-10-13 11:08:22,16,0,香草老师,6,1,773967336,2,妖怪猎人·天草晴明登场！～百鬼的威胁!!～,路人超能100 III(灵能百分百 第三季)
回复 @大王问我几时复山河 :芹泽多摩雄,2022-10-13 11:58:18,39,0,青空白鹿,5,1,773967336,2,妖怪猎人·天草晴明登场！～百鬼的威胁!!～,路人超能100 III(灵能百分百 第三季)
回复 @大王问我几时复山河 :时间隔太久了,2022-10-13 12:08:32,22,0,神话电视剧,6,1,773967336,2,妖怪猎人·天草晴明登场！～百鬼的威胁!!～,路人超能100 III(灵能百分百 第三季)
一个是前老板送的，一个是现老板送的,2022-10-13 12:42:54,190,0,MintBobaTea,6,1,773967336,2,妖怪猎人·天草晴明登场！～百鬼的威胁!!～,路人超能100 III(灵能百分百 第三季)
回复 @あさもや :啊，我以为芹泽就是那个送伞的会长，忘记的太多了,2022-10-13 14:12:45,34,0,老子可是懶大王,6,1,773967336,2,妖怪猎人·天草晴明登场！～百鬼的威胁!!～,路人超能100 III(灵能百分百 第三季)
什么纯爱战神,2022-10-13 17:20:17,35,0,天蛾人尤厄-奥格助教,6,1,773967336,2,妖怪猎人·天草晴明登场！～百鬼的威胁!!～,路人超能100 III(灵能百分百 第三季)
哈哈哈哈草,2022-10-13 17:45:55,4,0,名字正在加载中呢,6,1,773967336,2,妖怪猎人·天草晴明登场！～百鬼的威胁!!～,路人超能100 III(灵能百分百 第三季)
