content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
"让我想起有个教日语老师说过国人可能觉得“瓦库瓦库”很可爱，但是霓虹人听着就很奇怪一般不会这么说。
然后在中配版里，“激动激动”一出来我就明白老师为啥会这么说了哈哈哈哈[笑哭][笑哭][笑哭]",2022-10-22 21:48:09,14250,170,爱迦尔纳真是太好了,6,0,474335517,1,任务1 <枭>行动,间谍过家家 中配版
我觉得翻译成真劲爆会比较好,2022-10-22 22:08:53,139,0,C1rkU3c,5,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版
真得劲[doge],2022-10-22 22:10:44,88,0,槙野みなみ,6,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版
“卧槽卧槽”,2022-10-22 22:15:39,988,0,XLQDMZ,6,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版
"我去我去！
好耶好耶！",2022-10-22 22:23:23,292,0,饮茶会-Macchiato,6,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版
“牛掰牛掰”[喜极而泣],2022-10-22 22:24:11,169,0,今天想挠花铲屎官的脸,6,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版
确实，我觉得不用翻译的这么直，完全可以改成“好玩好玩”“刺激刺激”什么的[喜极而泣],2022-10-22 22:24:37,1495,0,别再揪Tom胡子了,6,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版
哈哈哈哈哈哈哈不行，我觉得我个中国人还是看日版配音吧，中文说这些花突然就怪起来了，就像那个激动激动和父亲，一样[笑哭][笑哭][笑哭],2022-10-22 22:24:42,672,0,橘子炸虾球,6,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版
四川话版：我靠我靠,2022-10-22 22:25:31,295,0,Angelisa,6,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版
碉堡碉堡,2022-10-22 22:27:14,52,0,壹壹夭妖,6,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版
牛蛙牛蛙,2022-10-22 22:30:34,47,0,锦绣色衬衫,6,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版
或者说“好棒好棒”[笑哭],2022-10-22 22:32:17,94,0,账号已注销,0,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版
册那扎劲！,2022-10-22 22:34:26,15,0,吃香蕉聪明的呱呱,5,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版
沃丢沃丢,2022-10-22 22:36:50,15,0,透明收纳包,6,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版
回复 @吃花蕉的緢醤 :确实，母语尴尬现象就是这么来的，听不懂词就可以把更多注意力放在语调音色上，体验的更纯粹[喜极而泣][喜极而泣],2022-10-22 22:40:28,172,0,别再揪Tom胡子了,6,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版
但是粤语的“好兴奋啊”感觉很好[doge],2022-10-22 22:53:27,53,0,-_-呐呐呐,5,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版
我记得以前看过一个中配版忘了哪群大佬自己配的，哇酷哇酷翻译成“太牛逼啦”毫无违和感[笑哭],2022-10-22 22:56:23,64,0,新鲜竹荚鱼,6,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版
回复 @C1rkU3c :真牛逼,2022-10-22 22:57:04,5,0,天空的裁缝师,5,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版
回复 @别再揪Tom胡子了 :直接改成好酷好酷也可以,2022-10-22 23:05:45,274,0,StuartNero,6,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版
回复 @睡不着的璐 :[笑哭][笑哭][笑哭],2022-10-22 23:16:55,0,0,爱迦尔纳真是太好了,6,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版
标题好想接一句 两个女鹅,2022-10-29 21:34:51,2250,43,洒水车今天唱啥,6,0,261753014,2,任务2 寻找妻子,间谍过家家 中配版
+1,2022-10-29 21:36:37,1,0,原来爱是一场自我教育,6,1,261753014,2,任务2 寻找妻子,间谍过家家 中配版
妻子麻花辫柳叶眉[doge],2022-10-29 21:42:23,111,0,老板来份炸梨酥,5,1,261753014,2,任务2 寻找妻子,间谍过家家 中配版
我就是进来找这个的[脱单doge]，心满离,2022-10-29 21:47:02,66,0,还是谢谢啦,6,1,261753014,2,任务2 寻找妻子,间谍过家家 中配版
高鼻梁,2022-10-29 21:56:19,36,0,AAA碎玉专家纥骨,6,1,261753014,2,任务2 寻找妻子,间谍过家家 中配版
回复 @TFBOYS1113号 :地,2022-10-29 22:03:04,1,0,TFBOYS1113号,6,1,261753014,2,任务2 寻找妻子,间谍过家家 中配版
心满离,2022-10-29 22:03:39,1,0,木昜君,6,1,261753014,2,任务2 寻找妻子,间谍过家家 中配版
双眼皮,2022-10-29 22:05:14,19,0,偷不到的蒋干,6,1,261753014,2,任务2 寻找妻子,间谍过家家 中配版
意满离,2022-10-29 22:08:45,2,0,黔驴季琼,6,1,261753014,2,任务2 寻找妻子,间谍过家家 中配版
我脑海里出现这个语音进来的，然后就看到了你[doge],2022-10-29 22:32:55,15,0,家有莫莉花茶,6,1,261753014,2,任务2 寻找妻子,间谍过家家 中配版
第一眼就是这句[妙啊],2022-10-29 22:36:02,4,0,有颗豆豆糖,6,1,261753014,2,任务2 寻找妻子,间谍过家家 中配版
进来就是为了找你,2022-10-29 22:45:11,3,0,聊以餘生,6,1,261753014,2,任务2 寻找妻子,间谍过家家 中配版
心满离,2022-10-29 23:09:05,2,0,霁暖茶,6,1,261753014,2,任务2 寻找妻子,间谍过家家 中配版
