content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
今天去看了，大屏看就是爽[doge]，还拿了个立牌,2024-05-01 00:04:01,526,29,久远寺_有珠,6,0,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
啊怎么有立牌[抓狂]我领了个杯垫,2024-05-01 00:08:20,3,0,暖果Q,6,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
看电影还有周边的吗[笑哭]都是怎么领的,2024-05-01 00:12:17,16,0,白兔_usagi,6,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
回复 @白兔_usagi :特殊场吧,2024-05-01 00:13:22,4,0,萌萌哒冷曦酱,6,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
今天刚看完特殊场结果什么都没有,2024-05-01 00:17:24,7,0,星瞳小男友丷,5,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
回复 @星瞳小男友丷 :要拿票根换,2024-05-01 00:20:58,5,0,春日影爽世,6,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
回复 @星瞳小男友丷 :拿票根去前台问，我就是问了才拿到周边的,2024-05-01 00:21:50,3,0,阿梦吃香菜,6,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
我在万达看的特殊场，本以为至少票根是那种定制票，结果啥都没有，就是个IMAX[笑哭],2024-05-01 00:26:17,2,0,澪夕耶,5,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
回复 @澪夕耶 :我的万达有海报,2024-05-01 00:32:19,2,0,阿穆叭_Ther,6,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
我是海报[藏狐]我也想要立牌,2024-05-01 00:36:43,3,0,Ametrice,6,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
回复 @白兔_usagi :看地方吧，大城市会有，我这啥都没有……本来就2电影院，每个都在5个展厅左右，都很小，能有礼物才奇怪,2024-05-01 01:11:38,30,0,破幻星尘,6,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
我特殊场都5知系边度领,2024-05-01 01:38:22,8,0,Isoncon,6,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
哪来的立牌,2024-05-01 01:46:28,4,0,cn禹澄,5,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
我们这里领的是海报[OK],2024-05-01 05:48:17,2,0,暗中观察的20001号,6,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
我们这啥也没有,2024-05-01 06:43:53,2,0,北冥有鱼_其名为坤,5,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
回复 @北冥有鱼_其名为坤 :但是包场了,2024-05-01 06:44:11,2,0,北冥有鱼_其名为坤,5,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
回复 @破幻星尘 : [辣眼睛]武汉选的特殊场，啥都没送,2024-05-01 09:08:35,0,0,korosensei,6,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
cgv特殊场有闪光海报,2024-05-01 09:22:04,2,0,真特喵小天才,6,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
可恶，给我的是海报[大哭],2024-05-01 12:07:37,1,0,花z镜,6,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
回复 @破幻星尘 :我这小城市领了两个哈哈 一个海报一个反光卡片,2024-05-01 12:25:22,0,0,奈何没有冰可乐,6,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
回复 @奈何没有冰可乐 :估计不小,2024-05-01 13:28:17,0,0,破幻星尘,6,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
今天刚看完电影，没想到我们这犄角旮旯的地方也能领周边，长这么大头一次[doge],2024-05-01 00:04:35,410,26,闲部尚书,6,0,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
电源叫啥啊,2024-05-01 08:32:54,0,0,是雨落樱本人,6,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
我也领到了，但我当时带的包太小了，选择的镭射票，也好看捏[给心心],2024-05-01 08:54:30,5,0,月台卖橘翁,6,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
回复 @月台卖橘翁 :我们这是一张海报和三张卡，总觉得卡能用，但不知道怎么用。,2024-05-01 10:04:16,4,0,闲部尚书,6,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
回复 @闲部尚书 :@闲部尚书  黑龙江哪个位置啊，我看看也去[脱单doge][脱单doge],2024-05-01 13:09:39,0,0,尼古拉斯_只因,5,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
一个很偏的区而已，你去稍微大点的一个市都比我们这强[doge],2024-05-01 13:19:26,3,0,闲部尚书,6,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
虽然看电影很好 但是好像剧版和电影版的中配好像是不一样的吧,2024-05-01 18:30:10,0,0,账号已注销,0,1,1903778747,26,任务26 跟踪父亲和母亲,间谍过家家 第二季 中配版
