content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
"【译制笔记】
01集的副标题为拉丁语Sub rosa. 标题译名：秘密。
短语释义：秘密地、私下地。
字面含义：在玫瑰之下。
该短语源自古罗马神话故事：
爱神维纳斯（Venus）给了自己的孩子丘比特（Cupid）一朵玫瑰，丘比特转而将玫瑰交给了缄默之神哈尔波克拉特斯（Harpocrates），确保他母亲有失检点的行为（也有说法是众神有失检点的行为）不会暴露。从此，”玫瑰“与”缄默之神“便建立起了联系。
在中世纪，议事厅的天花板上会悬挂或雕刻一朵玫瑰，以提醒在场的所有人保守秘密，Sub rosa从此有了“秘密/守秘”的意思。
而在英语中，它也被写作字面含义相同的「Under the rose」。

扩展阅读详见链接专栏：
https://www.bilibili.com/opus/1017856224961495081
欢迎译制相关反馈与讨论，也欢迎关注我们，知晓更多动态哦~",2025-01-02 22:04:31,23912,196,魔法部译制司,6,0,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
厉害[Mygo表情包_Love][Mygo表情包_Love],2025-01-02 22:12:28,16,0,玛雅凌云,5,1,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
"MyGO_Ave Mujica的分析看我的视频
这是我将近一年前发的文章
MyGO死婴说
在同一家医院里面，1月14日，睦的母亲生下双胞胎姐妹祥睦。2月14日，祥子母亲生下死婴。祥子父亲为了
不让祥子母亲过度伤心或者是为了维持自己在丰川家的地位又或者是出于出轨的罪恶感，祥子父亲和睦的母亲一起给医院塞了钱以后交换了婴儿的身份，祥子成为了死婴母亲的女儿，死婴成为了睦（不畏死亡）的双胞胎姐妹。选择的是祥子是因为婴儿都继承了丰川家的血脉，祥子和死婴长得很相像的原因。丈夫出轨加上一直以来精心培养的女儿也是假的，这样的话会选择死亡也能够理解。
睦小的时候对于自己误以为是自己姐妹的死婴的死亡感到罪恶感，现在对于祥子母亲的死亡（自杀）感到罪恶感。组乐队对于睦来说不过是为了满足祥子的愿望所进行的赎罪而已，并没有什么开心的，唱卡拉OK的时  候不过是为了让祥子开心所表演的演技而已（毕竟若叶一家所参演的喜剧类电视剧里所表演的表里不一的演技让灯都感到可怕），在祥子被要求第一个唱歌感到困扰的时候睦也抢先第一个唱歌。

祥子和睦：父母出轨所生的的双胞胎姐妹，被拆散到了不同的家庭所收养
祥子和初华：远亲，三角这个姓氏是用夏季大三角修改的
立希和MANA：姐妹，MANA原本的名字里面除了和立希的名字里面唯一一个不一样的字以外全部都进行了修改
祥子父亲和睦的母亲：出轨，祥子的母亲受到了自己最信任的两个人所背叛
祥子母亲和睦的母亲：姐妹，原本属于祥子母亲的和睦的母亲相似的人偶由祥子继承
海铃和初华：佣兵和雇主，在第十一集在阳台上拍照被猫猫看到",2025-01-02 22:18:48,3,0,不畏真相,6,1,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
"我有祥子和睦是双胞胎姐妹的证据，图片可以看我的动态。
ether开头的星座，水瓶座被修改的部分是一半的摩羯座。",2025-01-02 22:19:02,95,0,不畏真相,6,1,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
喵梦这是在干嘛呀？看的我血压都上来了，这精神是出啥异常,2025-01-02 22:24:12,824,0,万野长寂,5,1,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
请问OP的字幕用的是什么字体,2025-01-02 22:24:48,42,0,您懵茶,6,1,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
回复 @万野长寂 :她想要出名和赚钱，没有其他人那种远大志向,2025-01-02 22:25:49,590,0,两颗半土豆,5,1,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
回复 @万野长寂 :想出名呗，估计和和公司串通好了[BanGDream_多惠-震惊],2025-01-02 22:25:57,874,0,德氪托尔,6,1,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
回复 @万野长寂 : 祥子前面刚说了在最好的时刻和最好的舞台，在在喵梦看来这就是最好的时刻和最好的舞台,2025-01-02 22:27:12,637,0,虚掩之下,6,1,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
"回复 @万野长寂 : 个人利益最大化，她根本没想过维持乐队，只在乎自己的利益如何
首先，其实五人中只有祥子没有ave mujica以外的身份，其他人都是摘面具比戴着更有价值的
其次，武道馆已经可以说是比较重要的环节了，这里不是不能摘，事务所那边说得过去
第三，再找一个鼓手也不容易，喵梦仅自身才能就能要挟祥子，更别说潜在的解散传言等问题更能要挟祥子了",2025-01-02 22:28:11,1149,0,Jlannister,6,1,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
回复 @虚掩之下 : 那句话她没听到吧，就是想早点揭露炒名气,2025-01-02 22:28:39,91,0,络络苏,6,1,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
回复 @万野长寂 : 喵梦入团就是为了带火自己，戴面具和她的入团目的不符,2025-01-02 22:28:48,390,0,荷塘月色lwk1,6,1,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
回复 @konoha0402 :天才,2025-01-02 22:29:03,18,0,鴻サユミ,6,1,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
最早我是在达芬奇密码里看到这个拉丁短语的，感觉mujica的标题和世界观都好有这种氛围感,2025-01-02 22:29:27,52,0,百里香酚蓝,6,1,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
回复 @万野长寂 :大喵更想要名气吧,2025-01-02 22:30:27,38,0,食我西瓜冰嘅,6,1,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
回复 @络络苏 : 听到了，我确定听到了,2025-01-02 22:31:04,12,0,虚掩之下,6,1,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
回复 @万野长寂 : 你可以去回看一下祥子但是招她进乐队的时候说的话你就懂了,2025-01-02 22:31:18,63,0,Djent-man,6,1,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
回复 @万野长寂 : 有一说一，本来祥子就是用成员全员顶流来引诱大喵加入的，结果迟迟不把流量变现,2025-01-02 22:31:27,257,0,您懵茶,6,1,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
回复 @万野长寂 :大喵老师是炒作狗,2025-01-02 22:31:29,45,0,Foss__,6,1,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
回复 @konoha0402 : 人神共愤aa,2025-01-02 22:31:51,10,0,片亿桐,6,1,113740078909891,1,秘密。（Sub rosa.）,颂乐人偶
