content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
嫌义勇话痨的，义勇至少把这一季四分之三的话都说完了，就珍惜一下吧→_→,2019-04-07 14:58:17,31674,73,丿皮卡丶皮卡,6,0,48487753,1,残酷,鬼灭之刃
真实,2019-04-07 15:12:28,125,0,赖床传奇,6,1,48487753,1,残酷,鬼灭之刃
过于真实[无语]以后想让他说话是真的艰难,2019-04-19 13:13:30,1248,0,咔擦咔擦咔擦咔擦咔,6,1,48487753,1,残酷,鬼灭之刃
哈哈哈哈哈哈事实无误,2019-04-28 22:41:42,134,0,Sickle君眠,6,1,48487753,1,残酷,鬼灭之刃
居然有人嫌弃义勇话唠？？？？他台词到上三之前有10句吗？？,2019-06-29 01:54:50,2266,0,牢狗一只,6,1,48487753,1,残酷,鬼灭之刃
我考哥声音不好听么！怎么会嫌弃,2019-09-07 20:26:13,342,0,张起灵不做零,6,1,48487753,1,残酷,鬼灭之刃
弹幕才是话唠啊…主角说一句他们发一堆吐槽这个那个[蛆音娘_扶额],2019-10-05 21:35:13,667,0,楠翕cc,6,1,48487753,1,残酷,鬼灭之刃
义勇是什么,2019-10-09 00:24:14,25,0,开心的肥仔水,6,1,48487753,1,残酷,鬼灭之刃
下一次说这么多是回忆杀了。,2019-10-19 21:29:51,89,0,可可貘,6,1,48487753,1,残酷,鬼灭之刃
上三弦五到底是个啥阿所以？,2019-12-23 21:05:42,10,0,迫于生计的小橘喵,6,1,48487753,1,残酷,鬼灭之刃
回复 @迫于生计的小橘喵 :呃，我没看懂你到底想说什么。。。,2019-12-24 19:29:45,9,0,丿皮卡丶皮卡,6,1,48487753,1,残酷,鬼灭之刃
回复 @开心的肥仔水 :建议先往下看下去，了解人物后再发言,2020-02-02 17:03:18,26,0,空心魔女,6,1,48487753,1,残酷,鬼灭之刃
看到义勇的第一感觉就是楚子航[微笑],2020-02-24 14:32:00,25,0,白色才是真爱,5,1,48487753,1,残酷,鬼灭之刃
回复 @白色才是真爱 :都是师兄吗,2020-04-17 15:54:31,5,0,归鸥,6,1,48487753,1,残酷,鬼灭之刃
回复 @bili_94783267008 :你看得懂楼主的话?,2020-06-07 13:35:48,4,0,剑夜尽,4,1,48487753,1,残酷,鬼灭之刃
回复 @剑夜尽 :你觉得我说的对象是楼主?,2020-06-10 06:47:26,0,0,玻璃石查,5,1,48487753,1,残酷,鬼灭之刃
回复 @bili_94783267008 :那也别这么暴躁呀,2020-06-14 14:04:57,1,0,游手好闲的青子大人,6,1,48487753,1,残酷,鬼灭之刃
回复 @迫于生计的小橘喵 :？是说上弦五和上弦三吗，是鬼的等级,2020-07-18 22:24:42,3,0,诸伏,6,1,48487753,1,残酷,鬼灭之刃
义勇几乎不说话,2020-08-09 18:59:18,16,0,互相监督神病,5,1,48487753,1,残酷,鬼灭之刃
义勇：我没有被讨厌,2020-10-07 20:16:41,28,0,小酌不捉急,6,1,48487753,1,残酷,鬼灭之刃
妹妹擅长远射，哥哥擅长头球。加入中国队可夺世界杯。,2019-04-15 16:44:32,37026,142,随便叫个名就行,6,0,49109190,2,培育师 鳞泷左近次,鬼灭之刃
你要早一点就是热评了2333,2019-04-15 17:36:09,76,0,空压大王,6,1,49109190,2,培育师 鳞泷左近次,鬼灭之刃
哈哈,2019-04-15 18:19:00,15,0,宇智波湘,6,1,49109190,2,培育师 鳞泷左近次,鬼灭之刃
飞碟社的打斗画面质量没话说。但是观看过程中觉得个别严肃场面有、沙雕。炭治郎真的很善良啊。最后，我永远喜欢弥豆子。,2019-04-20 00:01:10,1358,0,凌安qwqqqq,6,1,49109190,2,培育师 鳞泷左近次,鬼灭之刃
回复 @取名好难-ZSQ :只能是妹妹踢的,2019-04-21 10:19:38,149,0,随便叫个名就行,6,1,49109190,2,培育师 鳞泷左近次,鬼灭之刃
少林功夫棒啊，真的棒，她是金刚腿，我是铁头功。,2019-04-22 08:23:31,787,0,龙骑士谢鲁,6,1,49109190,2,培育师 鳞泷左近次,鬼灭之刃
回复 @取名好难-ZSQ :小时候为了保护弟弟被烧水壶烫伤的,2019-04-22 13:06:28,140,0,鱼啊羽啊雨,6,1,49109190,2,培育师 鳞泷左近次,鬼灭之刃
你已经是一个成熟的五级号了,2019-04-23 00:51:50,16,0,云中仙君,6,1,49109190,2,培育师 鳞泷左近次,鬼灭之刃
