content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
"被人类逼的成了弦
被凶鬼逼的成了柱",2022-03-05 20:09:26,35971,154,房石阳明Official,6,0,381941309,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇
"柱是顶天立地的柱，
弦是崩断即换的弦。",2022-03-05 20:49:23,2622,0,小老花生,6,1,381941309,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇
"柱是支离破碎的柱，
弦是百年不变的弦",2022-03-05 21:05:44,609,0,迷糊的爱理,6,1,381941309,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇
查重率100%[doge],2022-03-05 21:06:37,87,0,寒山转苍翠_,5,1,381941309,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇
回复 @凡悠散人 :但是他砍了无惨,2022-03-05 21:11:37,74,0,沐音清城,6,1,381941309,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇
"炭治郎兄妹被鬼伤害成为了柱
岐夫太郎兄妹被人伤害成为了弦
一弦一柱思华年",2022-03-05 21:16:48,3722,0,忆玖年,6,1,381941309,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇
回复 @沐音清城 :说的跟那一堆柱没砍过似的,2022-03-05 21:29:49,129,0,旗落ノ理能,6,1,381941309,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇
回复 @凡悠散人 :炭治郎不是头柱？[doge],2022-03-05 21:30:44,141,0,微笑中的苦涩a,6,1,381941309,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇
回复 @混响散歌 :好家伙，雷军,2022-03-05 21:51:48,17,0,阿格尼1145,6,1,381941309,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇
回复 @山东最帅雨神 :我佛了[热词系列_不愧是你],2022-03-05 21:56:35,9,0,明日_赤瞳,4,1,381941309,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇
