content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
游郭的中配都上了那我催一下锻刀篇的中配不过分吧[doge],2023-08-12 18:28:26,675,19,羽沫嫇夏147369,5,0,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版
这得等无限城出来吧[doge],2023-08-12 18:37:01,12,0,Tortoise蛇屠箱,6,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版
强烈支持！！！[打call],2023-08-13 08:42:01,2,0,水门_TXC,6,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版
无限城的中配出了，你什么都不用期待了,2023-08-14 10:26:43,36,0,卍jue,5,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版
回复 @Tortoise蛇屠箱 :@,2024-01-31 01:25:52,0,0,哎呦nini,6,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版
"l
saaaa
a

a",2024-06-16 18:44:05,0,0,69岁扶墙止戈,5,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版
只有中配了吗,2024-07-02 01:20:47,0,0,bkk哈哈,5,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版
"回复 @卍jue :l，我，，
，
跑塞",2024-08-08 01:00:13,0,0,宋宋0533,5,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版
回复 @卍jue :笑死我了，无限城哪里有中配，咱们大陆没中配，只有台湾地区有,2024-11-07 02:48:25,0,0,龙森湖,4,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版
锻刀村篇不会出中配了，前几季的中配版播放量太少了，口碑也不好，以后可能大概率不会再出中配了,2024-11-07 02:49:15,4,0,龙森湖,4,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版
回复 @叼棒棒糖装13 :是这样吗？,2024-11-07 09:42:04,0,0,卍jue,5,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版
回复 @卍jue :呦西,2024-11-07 09:48:14,0,0,龙森湖,4,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版
回复 @叼棒棒糖装13 :啊？？？？？不要呀[大哭][大哭]我还想看中配呢[大哭],2024-11-09 10:17:40,1,0,羽沫嫇夏147369,5,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版
回复 @羽沫嫇夏147369 :唉，配音公司不愿意啊关键是,2024-11-09 10:33:40,0,0,龙森湖,4,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版
台湾已经有中配版了，,2025-01-07 03:55:19,0,0,龙森湖,4,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版
回复 @哎呦nini :U,2025-02-11 10:50:00,0,0,咸鱼中的咸鱼中的咸鱼,5,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版
回复 @龙森湖 :第一季中配不算低了吧？1.8亿在站内至少高过一半的日漫了。第二季低一些只有2000多万。我觉得之后应该还会出，只不过这得看这边愿不愿意继续赞助出了。[笑哭],2025-03-07 12:27:55,9,0,88岁自信守家,5,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版
回复 @88岁自信守家 :屁，第二季是游郭篇，大哥，无限列车篇属于剧场版，只不过B站把它划分成7集了,2025-03-07 12:40:07,5,0,龙森湖,4,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版
