content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
小说插画太好看了,2023-07-11 15:58:48,461,4,兰花の预言者,6,0,329827456,1,见习魔女伊蕾娜,魔女之旅
怎么保存啊[妙啊],2024-06-07 15:49:13,3,0,odaahhh,2,1,329827456,1,见习魔女伊蕾娜,魔女之旅
回复 @odaahhh :点开图片，长按[doge],2024-06-07 17:20:57,7,0,兰花の预言者,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅
在哪里可以买实体书？,2025-03-30 17:01:43,1,0,尤羡优酱,4,1,329827456,1,见习魔女伊蕾娜,魔女之旅
回复 @尤羡优酱 :我是看的电子版，你某宝搜一搜，应该都有卖的，里面的插图画的特别好,2025-04-03 22:54:57,3,0,兰花の预言者,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅
[doge],2023-04-14 10:29:15,291,3,院长莫,6,0,329827456,1,见习魔女伊蕾娜,魔女之旅
回复 @时钟杂记 :这是伊蕾娜亲妈画的.....不是ai[藏狐],2023-06-17 20:17:08,20,0,English艾玛电动车,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅
[妙啊],2023-07-16 07:14:57,0,0,只玩双door,5,1,329827456,1,见习魔女伊蕾娜,魔女之旅
好可爱[喜欢][喜欢][喜欢],2023-08-11 01:37:18,1,0,火车主义者,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅
"师父：我和城里的魔女不一样
女主：哪不一样？
师父：我是收了钱的",2020-10-03 10:22:05,36260,52,月夜の芙兰,6,0,329827456,1,见习魔女伊蕾娜,魔女之旅
女主回家第一句话：爸妈，你们为什么雇人打我,2020-10-05 06:00:43,2065,0,-但丁-,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅
回复 @-但丁- :毕竟是亲生的，不好自己动手[OK],2020-10-07 10:22:20,1017,0,superxiang,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅
师傅打徒弟，有啥不行的吗,2020-10-20 23:26:52,140,0,弱鸡弱中弱,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅
回复 @superxiang :[doge]自己动手怕忍不住打死了,2020-11-30 18:35:54,154,0,kakaxa,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅
屑魔女的自恋合集[tv_doge]https://www.bilibili.com/video/BV1dy4y1q7XK/,2020-12-05 19:17:59,70,0,ZV哇咔咔咔,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅
师傅的钱都敢收[doge]不怕被妮可安排的明明白白,2021-01-12 00:37:09,136,0,呼吉玛露立姿嘎,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅
因 财 施 教,2021-01-20 01:58:28,130,0,c_o_s_m_o,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅
师父的师父叫徒弟打徒弟的徒弟[doge],2021-01-27 00:58:17,471,0,yymkx,5,1,329827456,1,见习魔女伊蕾娜,魔女之旅
我寻思那不是自家闺女给自家学生做学生？[doge],2021-02-02 21:56:08,87,0,金坷垃使者圣地亚哥,5,1,329827456,1,见习魔女伊蕾娜,魔女之旅
回复 @伊蕾娜せかい第一可爱 :老毛子了（套娃）[doge],2021-02-17 15:32:25,8,0,耀尘星海,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅
[doge],2021-04-01 00:24:17,2,0,祐天寺_若麦,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅
回复 @kakaxa :[惊讶][惊讶][惊讶][囧][囧][囧][热词系列_害怕],2021-04-18 17:41:43,9,0,挪威的大鲑鱼,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅
回复 @伊蕾娜せかい第一可爱 :雷欧：这戏码我熟，是吧赛罗？,2021-04-20 19:42:15,21,0,英格拉姆98式MK2,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅
实际上不收钱老师也是一定会收她为徒的（再说就剧透了（虽然好像已经剧透了）,2021-06-20 16:46:13,45,0,栖锦溪,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅
真是的，我可不是那种见钱眼开的魔女[doge],2021-06-28 17:20:28,28,0,剑崎牌辛味增X,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅
她给的实在是太多了[doge],2021-07-23 13:27:47,13,0,人偶师言和,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅
666,2021-08-16 19:29:51,1,0,我被绑架到哔站搞比利,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅
"芙兰：我和城里的魔女不一样
伊蕾娜：哪里不一样？
芙兰：我是我师父的徒弟的老师的弟子",2021-08-22 12:31:50,38,0,或许无痕,5,1,329827456,1,见习魔女伊蕾娜,魔女之旅
星尘飘落之夜,2021-08-22 12:32:46,8,0,或许无痕,5,1,329827456,1,见习魔女伊蕾娜,魔女之旅
这么可爱的魔女被刀了肯定会自闭很久吧[偷笑][偷笑],2021-08-22 13:40:23,11,0,月亮一纯,5,1,329827456,1,见习魔女伊蕾娜,魔女之旅
这番我看到op和故事构架，我就知道我会很喜欢，怎么说呢，它太浪漫了，成为魔女，去旅行，见识这世上的山河人情，自由洒脱，我相信很多人都幻想过,2020-10-10 01:16:07,1303,12,鲸与岛屿zZ,6,0,842411812,2,魔法使之国,魔女之旅
+1,2020-10-10 01:17:11,0,0,白夜澪衣,6,1,842411812,2,魔法使之国,魔女之旅
+1,2020-10-10 01:39:09,0,0,waedaf,6,1,842411812,2,魔法使之国,魔女之旅
它太浪漫了，幻想冒险的故事还是让人欲罢不能,2020-10-10 20:39:48,48,0,伯克郡宫殿,6,1,842411812,2,魔法使之国,魔女之旅
＋1,2020-10-11 16:46:39,1,0,Varcolyn,6,1,842411812,2,魔法使之国,魔女之旅
太喜欢这种题材了，但是貌似后边的剧情不治愈[小电视_嘟嘴],2020-10-11 17:15:47,22,0,奥莉薇亚单推人,6,1,842411812,2,魔法使之国,魔女之旅
后面太鬼了，全是些可怜的故事和可怜的人和........................................................................................一些高纯度的萌豚饲料,2020-10-18 12:57:57,73,0,啥迪斯,6,1,842411812,2,魔法使之国,魔女之旅
我就不一样了，我要成为魔男[滑稽],2021-07-18 13:11:28,3,0,黄金小金船,5,1,842411812,2,魔法使之国,魔女之旅
确实很有意思，我也想过这样子的生活,2023-01-11 00:18:09,7,0,起个B站名字真难呀,6,1,842411812,2,魔法使之国,魔女之旅
+1,2023-01-30 20:57:41,0,0,哈薯,5,1,842411812,2,魔法使之国,魔女之旅
+1，真的梦想着下辈子也可以成为魔女去旅行…幻想中的生活啊,2023-02-01 14:32:50,9,0,一碗千秋,6,1,842411812,2,魔法使之国,魔女之旅
…我就没幻想过…[笑哭]听起来就很麻烦不安定感,2024-06-07 19:12:17,1,0,卜刂卜刂,6,1,842411812,2,魔法使之国,魔女之旅
回复 @黄金小金船 :放开点，去当魔王[妙啊],2026-03-03 14:49:58,0,0,栈门口的榆木桩子,5,1,842411812,2,魔法使之国,魔女之旅
"沙耶没偷胸针
那位大婶的原话是这么说的：
「不是有个跟你相撞的女孩吗？你急急忙忙飞走后，被她捡走啰。」",2021-07-17 00:06:15,660,11,白露百鹭,6,0,842411812,2,魔法使之国,魔女之旅
观众才不会想那么多,2021-07-30 10:52:25,61,0,_--下次见--,6,1,842411812,2,魔法使之国,魔女之旅
那捡走了，一见面为什么不还呢？,2021-09-13 14:16:48,44,0,我爱祐子もがみがわ,6,1,842411812,2,魔法使之国,魔女之旅
回复 @天子司书张甲乙 :建议去看小说吧,2021-09-13 20:48:16,12,0,白露百鹭,6,1,842411812,2,魔法使之国,魔女之旅
回复 @炭之魔女-沙耶_ :动画是动画，小说是小说。这已然是两部作品了。纵使沙耶有万般不得已之处，但事实如此。确实很败好感。,2021-09-13 21:01:05,95,0,我爱祐子もがみがわ,6,1,842411812,2,魔法使之国,魔女之旅
回复 @天子司书张甲乙 :嗯，说得对,2021-09-14 20:30:39,4,0,白露百鹭,6,1,842411812,2,魔法使之国,魔女之旅
跟伊蕾娜相撞的女孩不就是沙耶吗,2025-08-12 05:52:08,3,0,某科学の千幕交响,5,1,842411812,2,魔法使之国,魔女之旅
回复 @䀑艹 :朋友，我没说不是沙耶啊[doge],2025-08-12 08:42:54,0,0,白露百鹭,6,1,842411812,2,魔法使之国,魔女之旅
回复 @白露百鹭 :把我搞懵了,2025-08-12 09:25:07,0,0,某科学の千幕交响,5,1,842411812,2,魔法使之国,魔女之旅
这是俺拾哩！（doge）,2025-08-27 22:00:34,7,0,云溪-yunxi,5,1,842411812,2,魔法使之国,魔女之旅
回复 @云溪-yunxi :哈哈(*¯︶¯*),2025-08-27 22:53:47,0,0,白露百鹭,6,1,842411812,2,魔法使之国,魔女之旅
读书人的能叫偷吗？那叫窃,2025-09-06 12:36:29,1,0,第六感妈呀,5,1,842411812,2,魔法使之国,魔女之旅
