content,time,mode,color,send_time,cid,episode,episode_title,anime_title,aid
不凉就是发炎了,182.537,1,16777215,2020-02-01 11:54:57,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
瞬间下岗,533.733,5,16777215,2020-01-30 16:29:43,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
伞兵一号酒井户准备就绪,474.517,5,16777215,2020-03-01 13:33:05,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
世界上没有两个完全一样的脑洞,168.292,5,10546688,2020-02-06 18:52:04,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
亲完就跑，不愧是我,15.83,5,16646914,2020-03-02 12:50:27,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
学到了，这就去表白！,762.489,5,41194,2020-03-03 14:21:06,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
没讲到重点上，你还被亲了呢,42.238,5,16777215,2020-01-31 20:58:39,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
这里妹子被亲了紧张和思考案情的结合的神态做得好传神噢,53.909,1,16777215,2020-02-02 21:04:13,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
因为他感到屏幕前大量杀意粒子形成,302.796,5,15138834,2020-03-03 15:21:12,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
我也想吐槽这TM什么剧情啊,22.512,5,16777215,2020-03-02 20:33:23,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
在开洞潜意识里JW很弱，在他潜意识里JW很强，两个人对JW的印象并不一致！,870.687,5,15138834,2020-08-21 15:38:46,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
牛顿:井不归我管,496.293,1,16777215,2020-03-02 21:48:30,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
绅士个鬼，越漂亮越可能是心上人，你们想啥呢,807.781,1,16777215,2020-01-28 19:32:19,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
隔离吧，发烧了，没救了,62.956,5,16777215,2020-01-27 21:42:14,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
突然疑问，有脑洞该怎么洗澡呢？,267.059,1,16777215,2020-01-28 23:28:31,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
意思是说要是个男的他也会亲上去吗,819.026,1,15138834,2020-03-03 14:54:06,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
这分明是爱啊兄弟们,1003.756,1,6830715,2020-03-01 17:46:04,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
主要还是对方长得还行,222.044,1,16777215,2020-01-27 12:35:35,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
学到了，现在就去直接强吻,214.621,5,16777215,2020-02-29 22:45:46,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
好听吗？好听就是好头,859.656,5,15138834,2020-02-29 21:03:58,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
春姐有勇有谋心里有数，什么叫没警戒心,1156.46,5,16777215,2020-02-02 00:56:36,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
人生三大错觉之一,1165.567,5,16707842,2020-03-03 13:02:27,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
掘墓人认为他是在保护自己爱的人？,957.737,1,16777215,2020-01-27 23:34:14,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
自从开了脑洞，就越来越可爱了,1181.77,5,16777215,2020-01-29 23:33:03,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
现在我宣布这里是酒井户广场！,480.521,5,15138834,2020-03-01 15:46:19,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
台词指导：迪奥布兰度,1319.498,5,16776960,2020-03-03 15:41:33,145545301,5,FALLEN 坠落世界,异度侵入 ID:INVADED,85126891
