content,time,mode,color,send_time,cid,episode,episode_title,anime_title,aid
老父亲恨不得代替阿尼娅自己入学读书了hhhhhhh,918.845,1,16777215,2022-10-15 23:13:17,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
一次攻略两个 一石二鸟捏,1257.106,1,16777215,2022-11-03 02:51:24,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
 次子噩梦的源头,676.965,5,16777215,2022-10-21 05:49:23,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
粤式英语绷不住了,221.476,5,16777215,2022-10-22 16:53:16,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
开  幕  雷  击,1309.638,5,16707842,2022-10-16 02:18:21,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
 社交悍匪阿妮亚,468.847,1,16777215,2022-10-22 23:57:39,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
这 全 都 是 计 划 的 一 部 分,331.823,5,52480,2022-10-15 22:02:58,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
前进 前进 前进进,459.752,1,16777215,2022-10-22 14:32:02,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
攻略目标错了,1261.479,1,16777215,2022-10-16 00:49:38,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
万物皆可优雅 哇哈哈哈哈,1272.28,1,16777215,2022-10-15 19:48:34,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
大人的松茸（？,1105.772,5,16777215,2022-10-15 18:37:56,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
要不是阿尼娅在这，估计就见血了23333333,654.475,5,14811775,2022-10-23 17:06:35,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
病人（指管理官）,270.126,5,16646914,2022-10-25 15:34:04,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
普通妈妈：指的是一掌劈烂南瓜,703.868,1,16777215,2022-10-15 19:27:48,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
光之逆子【doge】,380.719,5,16707842,2022-10-22 06:37:23,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
一只老父亲失去了梦想,1321.156,1,16777215,2022-10-16 20:44:11,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
服务员：讲英文啊，A餐，B餐，C餐，D餐啊,240.042,1,16777215,2022-10-22 14:39:27,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
次子的噩梦起源,690.791,5,16707842,2022-10-30 21:39:21,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
阿尼亚这时候已经起杀心了哈哈哈哈,1070.09,1,16777215,2022-10-22 19:30:59,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
以下内容纯属虚构,864.157,5,16707842,2022-10-22 14:51:56,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
撞衫哈哈哈哈哈,754.063,1,16777215,2022-10-17 11:24:46,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
杉菜和道明寺 楚雨荨和慕容云海（幻视）,1169.695,1,16777215,2022-11-08 12:49:20,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
另一种则是自己的安全甚至生命受到威胁时,1244.675,5,15138834,2022-11-06 17:47:45,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
怕羞笑死,897.282,5,16777215,2022-10-22 17:03:16,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
这段配音简直超神。。。哈哈哈,1218.331,1,16777215,2022-10-22 00:58:21,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
这个眼神，对史旺的杀意还是没有完全褪去,496.919,1,16707842,2022-10-16 02:02:49,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
注意右上角次子旁边也没有家长在,1341.167,5,16777215,2022-10-15 19:28:58,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
很不安怎去优雅,425.442,1,16777215,2022-10-20 00:34:35,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
现在收手还来得及,546.383,5,15138834,2022-10-22 20:20:52,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
约儿每次都先关心安尼亚有没有受伤,1301.573,5,16777215,2023-10-01 22:25:48,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
太太和阿尼娅扎的是马尾诶,715.06,5,16707842,2022-10-21 21:39:08,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
我今日就要带她走，我看宾果够胆拦住我,600.565,5,15138834,2022-10-19 17:27:52,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
老师这时候怎么不管了,1064.836,1,16777215,2022-10-16 01:42:24,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
出现了，顺拐人,872.849,5,15138834,2022-10-15 18:43:37,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
你哋个女去到华附省实读书喔（,129.831,5,11890,2022-10-24 23:37:40,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
无他，唯自动挡熟尔,87.687,5,15138834,2022-10-23 09:07:54,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
罗辑：这是计划的一部分,343.033,1,16777215,2022-10-21 18:42:06,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
哈哈～～,887.732,5,41194,2022-10-15 18:26:41,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
名场面预警,1040.715,5,16646914,2022-10-22 18:34:46,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
十三区是吧,298.477,1,16777215,2022-10-16 15:00:35,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
粤语报菜名好好笑哈哈哈,234.94,1,16777215,2022-10-16 15:07:50,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
稍移玉步可太优雅了,965.171,1,16777215,2022-10-22 12:04:08,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
是女婿大作战吧,851.683,5,16777215,2022-10-16 15:35:06,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
漆 黑 意 志,1183.082,5,16646914,2022-10-15 20:53:48,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
她家有一整个国库的存款…,1056.019,1,16777215,2022-10-29 23:36:23,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
我老豆都未打过我！,1205.416,5,11890,2022-10-24 23:53:15,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
这表情笑死,1112.485,5,15138834,2022-10-22 20:29:50,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
win~win~win~,309.574,5,16777215,2022-10-17 23:38:22,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
路上小心（无感情）,281.741,1,16777215,2022-10-21 20:49:11,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
这个表情真系撩交打,1100.622,1,16777215,2022-10-21 00:53:24,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
完了，要出事了（指的是他们）,540.458,1,16777215,2022-10-15 19:24:38,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
微笑就可以了,1081.809,5,41194,2022-11-03 12:22:06,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
有冇点都德，鸿星海鲜酒家，名盈轩，稻香果d架,997.805,5,16707842,2022-10-22 14:55:07,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
不，太太，这不是多事，而是必要，很必要,1316.14,5,15138834,2022-11-06 17:50:00,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
反正组织报销,199.203,1,16777215,2022-10-16 13:16:09,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
名场面,1096.271,5,16777215,2022-10-15 18:21:14,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
有效避免了菜进化后杀死一家人,659.849,5,16777215,2022-10-30 00:04:50,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
你明白条铁咩,983.872,1,16777215,2022-10-29 00:51:23,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
康而寿，出来只抽,1147.857,1,16777215,2022-10-17 23:34:52,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
必杀铁拳要用来对付坏蛋波士的仔,1074.869,1,16777215,2022-10-15 23:55:02,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
能否别把灯打开,1122.492,5,16707842,2022-10-15 18:49:16,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
这段如果是美丽战场的刘佩玥来配音，会恶很多（doge哈哈哈哈哈）,636.527,1,16777215,2022-10-29 22:45:51,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
应该叫马仔,934.799,1,16777215,2022-10-21 21:20:08,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
喂～姐姐仔，我要打你荷包啊,571.67,5,15138834,2022-10-15 19:42:13,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
好像马尔福和他两个跟班,1026.406,5,16777215,2022-11-03 22:32:29,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
培养杀手要从娃娃抓起（doge）,702.644,1,16776960,2022-10-15 20:32:12,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
小胡子（警觉）,734.504,5,16777215,2022-10-16 16:55:05,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
好喜欢这个大姐姐的,321.895,5,15138834,2022-10-15 22:03:20,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
有种哈利波特入学嘅感觉,811.786,5,16646914,2022-10-15 21:52:58,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173
