text,label,source,anime
今日份的氧气送到了，请签收 B站的朋友大家好，2021年也和细胞们一起健康生活吧,positive,bilibili,工作细胞 第二季
回复 Josuke桑 我知道了！dio的替身能力就是控制楼梯,negative,bilibili,JOJO的奇妙冒险 黄金之风
东映做电影才用的3d太烧钱了，不可能给路人全3d,negative,bilibili,少女乐队的呐喊
326京阿尼拍乐器可以说积淀深厚。以前不懂，现在看学生社团不用烦恼生存，挥发活力的“放学后tea time”，就很开心。正如海明威言，一个人无法同时拥有青春和对青春的感受,negative,bangumi,轻音少女 第二季
seisen,neutral,bilibili,魔女之旅
毫无疑问攻壳sac2是动画中政治戏的巅峰，但其实我更喜欢第一季。单元回的上限很高，ep2、ep11应该是神山攻壳里我最喜欢的两个单元回，其他单元回也兼有趣味性又富有哲思，但整出ep10这种大烂活还是要扣分的，总体的水平大概和第一季持平。押井守参与制作，sac2主线讲了一个更为宏大的政治博弈。国民与难民的矛盾、久世的革命、执政府内部政变、内厅的幕后操纵、美日关系，加了这么多元素，剧情逻辑还能滴水不漏，历史第一确实当之无愧。第一季主线剧情紧凑，主线回很能带动观众情绪，尽管没有那么宏大的叙事，但这种政治戏简直是享受。而第二季主线节奏略显沉闷，一些主线回甚至全程对话推进，疯狂堆长句看的很累，不过文本的质量毋庸置疑，极具思辨性。主线收尾过于仓促，元素的堆砌导致前期铺垫过长，用最后一集来解决这个事件确实有点太赶了。另外感情线有点多余了。位置太小，有空写个日志吧,positive,bangumi,攻壳机动队 S.A.C. 2nd GIG
"ep4 哇，一个不关心海鼠只在乎赏金的男主实在是太有魅力了。以及炸弹投放出去瞬间就能开放悬赏也太雷厉风行了，这故事逻辑真缜密。
ep5 好拙劣的推进而且这看起来还是重要的主线吧？",negative,bangumi,星际牛仔
RAS,neutral,bilibili,颂乐人偶
Rock roll ！,neutral,bilibili,少女乐队的呐喊
怎么才能找到札克这种good man。。。,neutral,bilibili,Angels of Death
不愧为治愈系的巅峰。1是初识揭开aqua神秘的面纱，2是回归日常感受aqua的温柔与暗藏的神秘，3回归到主角身上，见证他们成长的烦恼与幸福。本季作画更加精良了，全集也几乎都是神回，剧情不断的高潮与依旧的平和温柔，带给人难以言表的感动，再加上一切结束后因美好结束而感到的空虚，我大概真的这辈子也忘不了aria了,positive,bangumi,水星领航员 第三季
“每一集都是电影品质的季度动画”，就是我能给的最直观评价。从小就玩moba游戏，对lol的感情虽肯定不如很多玩家深，但至少也在我的年轻时候留下了一种特别的向往。我小时候就有这种幻想，如果能够将英雄联盟整个世界观塑造完整，并将战斗、角色、剧情等一个不少地用心打磨做成一部动画或电影，那是多梦幻的事情啊。曾经那个少年已然长至青年，我没有再渴求过这种动画，就像是藏在自己心底里很久没有再想起过的梦。但是那一年，拳头做到了。这部完完全全实现了我理想中模样的动画是那么突然地闯进我的世界里，好得太过不真实了。这是一部冲着“好看”绝对不会让你失望的动画，它一定会在哪个地方炸裂地满足你的期望，这就是我对双城之战最简洁的夸赞。我的评分系里，8分与9分隔着一层说不清的神作分割线，我认为双城是非常好的动画，但就是难以用“神作”形容，或许9分线差的，就是对这个老IP纯粹的热爱吧,positive,bangumi,英雄联盟：双城之战
叫AAA乐队出租,negative,bilibili,少女乐队的呐喊
e8好现实。e10,negative,bangumi,∀高达
heyheyhey,neutral,bilibili,四月是你的谎言
客服小祥太乖了www,negative,bilibili,mygo
Op是op，他回来,neutral,bilibili,魔女之旅
用了18话的平a了,neutral,bilibili,葬送的芙莉莲
因为dna不会说谎,negative,bilibili,少女乐队的呐喊
"别总是跟奇诺之旅比了，两者除了都有旅行元素，主要卖点都不一样，单纯比剧情那是在欺负人。
就目前来看，有趣的人设、生草的脚本、轻百合这些才是这部剧卖点，典型就如ep11。
屑魔女伊蕾娜人设很讨喜（1分）。",neutral,bangumi,魔女之旅
回复 Esson丶Z 一个人oo的日子,negative,bilibili,国王排名 勇气的宝箱
Aniya：哇哭哇哭,positive,bilibili,夏目友人帐 第七季
ko：闪光掷出,positive,bilibili,少女乐队的呐喊
我是重音TETO,negative,bilibili,颂乐人偶
mgF升,neutral,bilibili,比宇宙更远的地方
NO！！,neutral,bilibili,少女乐队的呐喊
怪不得是intp,neutral,bilibili,少女乐队的呐喊
说实话我有点不知道该怎样评价这部动画了，就我可以看出它是优秀的，但是不觉得sac有完全匹配当前地位的实力。作为主线的笑脸男事件，确实优秀，无论是从动画制作上还是与主题的符合程度，“在所有的情报共享并同步的时候就丧失了单一性，而内藏与无动机的他人的潜意识中，或者是有动机的他人的意识中了”，我反复品味这句话，确信了提出这一问题的本动画是非常优秀的，再借由本篇中最喜爱的角色塔奇克马，给出找回个体性的可能性，好奇心。从巴特偏爱某个塔奇克马并给它特殊的标记时，就开始以上理论的验证，而到后来，刚诞生ghost不久，就为了九课的大家而牺牲，这种刚诞生的美丽事物被摧毁时的感伤，实在令人共情。但是让我稍感不足的就是sac的单元剧了，我实在无法给出很高的评价。如果sac是个将背景塑造与笑脸男融进一个12集或更短的篇幅中，我觉得我会给出我的最高评价。该看无罪了,positive,bangumi,攻壳机动队 STAND ALONE COMPLEX
nasaamp小司：以前都是咱们给别人发糖，今天咱们也嗑一对儿,neutral,bilibili,总之就是非常可爱 第二季
补标，3D好丝滑，486可爱捏，歌也不错喵,neutral,bangumi,girls band cry
niubi,neutral,bilibili,颂乐人偶
